inc_lat,inc_lon,est_lat,est_lon,distancia,pos_estacion,fecha
37.0886,-5.8802,37.16444444444444,-5.6113888888888885,25.327145047965757,156,2021-01-02
36.6599,-4.8777,36.53861111111111,-4.618333333333334,26.827762216673047,123,2021-01-02
36.8729,-2.4486,36.84638888888889,-2.3569444444444447,8.686749947343793,18,2021-01-02
36.8745,-2.4347,36.84638888888889,-2.3569444444444447,7.603230687685509,18,2021-01-02
40.2352,-0.8699,40.35055555555556,-1.1241666666666668,25.129336029856397,166,2021-01-04
40.8273,-0.2433,40.946666666666665,-0.2377777777777777,13.264008694999026,168,2021-01-04
40.2329,-0.8569,40.35055555555556,-1.1241666666666668,26.213082008934823,166,2021-01-04
43.5413,-5.8322,43.35333333333333,-5.874166666666667,21.15781203458843,24,2021-01-04
41.6403,-3.8539,41.66583333333333,-3.742777777777778,9.68105220757942,39,2021-01-07
41.6448,-3.8641,41.66583333333333,-3.742777777777778,10.372173708516351,39,2021-01-07
40.17,-6.4271,40.00361111111111,-6.5575,21.564154731938025,42,2021-01-11
43.5317,-5.8404,43.35333333333333,-5.874166666666667,20.004372224971014,19,2021-01-11
42.8393,-8.9623,42.92472222222222,-9.29138888888889,28.51101201889029,4,2021-01-12
42.1231,-6.5841,41.94138888888889,-6.279722222222222,32.290282807807465,167,2021-01-12
42.117,-6.5575,41.94138888888889,-6.279722222222222,30.16014769891697,167,2021-01-12
41.8279,-5.7817,42.01083333333333,-5.666666666666667,22.447922274522423,181,2021-01-13
43.5398,-5.8373,43.35333333333333,-5.874166666666667,20.93050480574007,23,2021-01-13
37.4925,-6.2313,37.41666666666666,-5.879166666666667,32.27306855211982,154,2021-01-14
38.8857,-6.2679,38.91583333333333,-6.385555555555556,10.740501232856442,29,2021-01-14
38.807,-6.8319,38.88333333333333,-6.813888888888889,8.616989755568095,30,2021-01-14
38.6785,-4.0482,38.51805555555556,-3.5666666666666664,45.57261410909609,65,2021-01-15
37.3141,-6.5847,37.09805555555556,-6.738055555555556,27.572028038870474,88,2021-01-16
38.2837,-3.6152,38.51805555555556,-3.5666666666666664,26.35754014551097,65,2021-01-16
38.7012,-3.7307,38.51805555555556,-3.5666666666666664,24.8486360668171,65,2021-01-16
38.7031,-3.7189,38.51805555555556,-3.5666666666666664,24.449101687578615,65,2021-01-16
38.6641,-2.8393,39.16916666666666,-3.0075,57.93580936501901,63,2021-01-16
43.5342,-5.8365,43.35333333333333,-5.874166666666667,20.32451377170016,23,2021-01-16
42.14,-5.3423,42.01083333333333,-5.666666666666667,30.435863321029405,55,2021-01-18
40.7427,-6.4446,40.635,-6.6,17.764805079798403,60,2021-01-18
37.1143,-5.8738,37.16444444444444,-5.6113888888888885,23.96984206866365,110,2021-01-18
38.4497,-1.2532,38.60166666666667,-1.159722222222222,18.735435071247274,137,2021-01-18
38.4477,-1.2655,38.60166666666667,-1.159722222222222,19.42150560016985,137,2021-01-18
39.7172,-0.7113,39.485,-0.4747222222222222,32.825311037430865,149,2021-01-18
37.5881,-1.637,37.65472222222222,-1.6872222222222222,8.62171716737474,136,2021-01-18
43.3108,-4.7987,43.42027777777778,-4.748055555555555,12.836985426625256,20,2021-01-21
37.8237,-1.341,38.00194444444445,-1.1708333333333334,24.805799532551067,132,2021-01-22
37.822,-1.3299,38.00194444444445,-1.1708333333333334,24.383901084251026,132,2021-01-22
37.9884,-1.0817,38.00194444444445,-1.1708333333333334,7.972326438783664,132,2021-01-22
36.8731,-2.8967,37.14138888888889,-2.779722222222222,31.541862184833242,15,2021-01-22
36.8922,-2.9014,37.14138888888889,-2.779722222222222,29.69879466836617,15,2021-01-22
36.8611,-2.8886,37.14138888888889,-2.779722222222222,32.5804459267744,15,2021-01-22
36.866,-2.8805,37.14138888888889,-2.779722222222222,31.85109728396189,15,2021-01-22
36.8634,-2.8954,37.14138888888889,-2.779722222222222,32.52331908709014,15,2021-01-22
41.1808,1.2364,41.05805555555556,-0.1416666666666666,116.53281604412786,170,2021-01-23
36.8749,-2.9014,37.14138888888889,-2.779722222222222,31.49470718368079,15,2021-01-23
36.869,-2.9127,37.14138888888889,-2.779722222222222,32.46348937535909,15,2021-01-23
40.6904,0.51,41.05805555555556,-0.1416666666666666,68.44308831675491,171,2021-01-24
39.5544,-0.3823,39.480555555555554,-0.3663888888888889,8.311970729770136,178,2021-01-25
37.6461,-1.373,37.41722222222222,-1.5869444444444445,31.668268717615945,122,2021-01-26
37.6427,-1.3813,37.41722222222222,-1.5869444444444445,30.929878063060393,124,2021-01-27
37.6483,-1.3739,37.65472222222222,-1.6872222222222222,27.65868439849957,130,2021-01-27
37.6512,-1.3894,37.65472222222222,-1.6872222222222222,26.28407932022823,130,2021-01-27
38.5652,-1.6431,38.54194444444444,-1.7030555555555555,5.82901544827387,8,2021-01-27
38.3209,-1.6775,38.54194444444444,-1.7030555555555555,24.638153685232698,8,2021-01-27
41.1808,1.2285,41.05805555555556,-0.1416666666666666,115.87395264234483,164,2021-01-27
28.0259,-15.4234,28.08972222222222,-15.416111111111112,7.108991456150698,106,2021-01-28
41.1767,1.2275,41.05805555555556,-0.1416666666666666,115.74139398937206,169,2021-01-28
38.6648,-4.054,38.98916666666667,-3.9202777777777778,37.83456239854955,61,2021-01-28
41.1799,1.2358,41.05805555555556,-0.1416666666666666,116.47190520761123,168,2021-01-29
42.3805,-1.7939,42.3325,-1.9394444444444443,13.122883005121464,78,2021-01-29
41.1597,-0.464,40.946666666666665,-0.2377777777777777,30.354505155968962,167,2021-01-29
