Latitude,Longitude,acq_date,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),fire
37.0886,-5.8802,2021-01-02,12.303982170596305,-0.509447305099054,5.897267432748625,22.482428498248662,14.48242849824866,0.0,0.0,0.0,0.0,0.0,1
36.6599,-4.8777,2021-01-02,12.378086849112464,4.47710656599318,8.44756913674813,32.93546637751226,16.50334364606441,0.0346122512592475,0.0,0.0,0.0346122512592475,0.0,1
36.8729,-2.4486,2021-01-02,14.52610878228848,7.572479163339529,11.056317204561108,53.75651092139425,37.52234155422824,0.0,0.0,0.0,0.0,0.0,1
36.8745,-2.4347,2021-01-02,14.592195049211334,7.830186578571535,11.217721823167889,54.4926960306995,38.231562432411536,0.0,0.0,0.0,0.0,0.0,1
40.2352,-0.8699,2021-01-04,7.471121024868133,-2.6784433609645646,2.4463388319517847,29.316718745290267,14.414541917859992,0.4475225131876396,0.0,0.2983483421250931,0.0,0.1491741710625465,1
40.8273,-0.2433,2021-01-04,8.04945618740266,-0.8177517144884915,3.665852236457084,42.22026947609586,25.48212817011169,0.0155298025602521,0.0,0.0103532017068347,0.0,0.0051766008534173,1
40.2329,-0.8569,2021-01-04,7.574218839487572,-2.6043064883195064,2.5349561755840337,29.279196053127443,14.364689666541173,0.441053551243405,0.0,0.2940357008289367,0.0,0.1470178504144683,1
43.5413,-5.8322,2021-01-04,5.707467982514529,2.309476766208389,4.00875916503723,36.403186290066685,19.453393392778555,21.389410345921974,9.439055292226785,6.162699726661289,5.029265138563271,0.7583901884706304,1
41.6403,-3.8539,2021-01-07,2.490018074327125,-7.039790271389505,-2.2748860985311903,28.412678621113457,15.994162516204478,0.0,0.0,0.0,0.0,0.0,1
41.6448,-3.8641,2021-01-07,2.531802230126634,-7.019241566018357,-2.2437196679458613,28.380824321805108,15.94001133104609,0.0,0.0,0.0,0.0,0.0,1
40.17,-6.4271,2021-01-11,7.861270832302732,-0.1639976533514829,3.883710017313863,53.52202835147169,29.3229965681425,0.0,0.0,0.0,0.0,0.0,1
43.5317,-5.8404,2021-01-11,10.79873378930121,0.7855106352682217,5.815886867363259,23.823231464944936,13.730370491702653,0.0,0.0,0.0,0.0,0.0,1
42.8393,-8.9623,2021-01-12,10.900617563380258,1.4563071939525778,6.201168269163773,32.44419612245001,23.451269502267664,0.0,0.0,0.0,0.0,0.0,1
42.1231,-6.5841,2021-01-12,9.577497825719217,-7.812691906394154,0.8956168059050369,15.178258782828356,8.669916376205943,0.0,0.0,0.0,0.0,0.0,1
42.117,-6.5575,2021-01-12,9.641578946469124,-7.898792250908359,0.8831371310615581,15.04504830173101,8.572711257842602,0.0,0.0,0.0,0.0,0.0,1
41.8279,-5.7817,2021-01-13,7.024896306564037,-7.137305615244345,-0.0564897304155009,15.371320561036493,7.19987971077091,0.0,0.0,0.0,0.0,0.0,1
43.5398,-5.8373,2021-01-13,12.15999204832802,1.0582743494361542,6.609133198882088,23.36339152212544,15.44671372770926,0.0,0.0,0.0,0.0,0.0,1
37.4925,-6.2313,2021-01-14,13.3401281222349,0.8068808363369815,7.045018153651888,25.71483992896825,19.167354712529644,0.0,0.0,0.0,0.0,0.0,1
38.8857,-6.2679,2021-01-14,8.580908181369239,-4.051115133920866,2.264896523724186,10.488660542753674,6.07507291170104,0.0,0.0,0.0,0.0,0.0,1
38.807,-6.8319,2021-01-14,10.113125223095608,-2.243579190533732,3.965771800715184,14.766260864517063,9.993631469064583,0.0,0.0,0.0,0.0,0.0,1
38.6785,-4.0482,2021-01-15,10.901684747827089,-1.9681036827003235,4.466790532563381,19.69556090318887,12.186523713879778,0.0,0.0,0.0,0.0,0.0,1
37.3141,-6.5847,2021-01-16,17.99046593784008,1.7124932075756156,9.820275875966816,27.66377080523018,18.633838269563697,0.0,0.0,0.0,0.0,0.0,1
38.2837,-3.6152,2021-01-16,11.652039396492995,0.4420279903207973,6.045824482874449,25.1209210532447,13.428508390823598,0.0,0.0,0.0,0.0,0.0,1
38.7012,-3.7307,2021-01-16,11.760822379957196,-2.919221660349572,4.416670083651489,20.586705702970896,10.302460107954657,0.0,0.0,0.0,0.0,0.0,1
38.7031,-3.7189,2021-01-16,11.706636938375638,-2.96204980515108,4.366544778909299,20.597341578351063,10.289419494574872,0.0,0.0,0.0,0.0,0.0,1
38.6641,-2.8393,2021-01-16,10.734763484447711,-2.897709958411076,3.8813790671328094,21.12720094645772,11.197785591102896,0.0,0.0,0.0,0.0,0.0,1
43.5342,-5.8365,2021-01-16,12.873711202792762,0.4355205953330457,6.654615899062906,24.009793399851663,15.927891811099398,0.0,0.0,0.0,0.0,0.0,1
42.14,-5.3423,2021-01-18,4.771401108000396,-5.205112617934058,-0.1822787910173005,21.481236062337125,5.943903138974791,0.0,0.0,0.0,0.0,0.0,1
40.7427,-6.4446,2021-01-18,15.094475484388896,-4.446371322042385,5.330873827909263,15.338478288988766,10.2020433542686,0.0,0.0,0.0,0.0,0.0,1
37.1143,-5.8738,2021-01-18,16.695495341206435,0.496619656924509,8.615418510570546,19.04127901535392,11.59015993575988,0.0,0.0,0.0,0.0,0.0,1
38.4497,-1.2532,2021-01-18,16.268717115785055,-0.1462981262591988,8.0525720544802,31.279835987411424,20.17768152958635,0.0,0.0,0.0,0.0,0.0,1
38.4477,-1.2655,2021-01-18,16.240726358182897,-0.0509745273614532,8.08752020136461,31.175417513000426,20.173920778622964,0.0,0.0,0.0,0.0,0.0,1
39.7172,-0.7113,2021-01-18,14.4678538002815,0.2261020041740473,7.359926653295027,22.483506367451795,17.343848243712994,0.0,0.0,0.0,0.0,0.0,1
37.5881,-1.637,2021-01-18,17.749301179857884,3.393374372424963,10.571337776141425,21.03264266756656,12.72685384191853,0.0,0.0,0.0,0.0,0.0,1
43.3108,-4.7987,2021-01-21,20.57203080923058,8.600764757365106,14.592223872271092,45.68409704175235,19.05743289776437,0.1356406745317267,0.0446107551557248,0.0487962159819831,0.0422337033940188,0.0,1
37.8237,-1.341,2021-01-22,21.31556990757538,10.84995017888006,16.09569636036626,83.67462649765717,49.64294962877997,0.0556862010713301,0.0,0.0,0.0556862010713301,0.0,1
37.822,-1.3299,2021-01-22,21.39016332459245,10.928787905465564,16.173212411736753,83.83714287216692,49.78722214051857,0.0398627989695513,0.0,0.0,0.0398627989695513,0.0,1
37.9884,-1.0817,2021-01-22,21.52240377280229,11.2425820411165,16.389668793727235,76.01159509503636,48.05927848262333,0.0,0.0,0.0,0.0,0.0,1
36.8731,-2.8967,2021-01-22,16.443369124103597,7.640053819128536,12.086333433646406,52.978647406557215,27.157115416019305,0.7066206906204946,0.0,0.0752925315752885,0.0,0.631328159045206,1
36.8922,-2.9014,2021-01-22,16.373407696811903,7.589246549696957,12.025566757764928,52.90384917579981,27.17687651927644,0.7163566969472175,0.0,0.0806451168530627,0.0,0.6357115800941547,1
36.8611,-2.8886,2021-01-22,16.494056024849648,7.668419729714599,12.12640236447238,52.97141268797037,27.048092943558736,0.6992837436837755,0.0,0.0676971793364406,0.0,0.631586564347335,1
36.866,-2.8805,2021-01-22,16.488279094289627,7.64895833041726,12.114231695197574,52.85418118873322,26.87850127607557,0.6995756057276424,0.0,0.0614182401821499,0.0,0.6381573655454925,1
36.8634,-2.8954,2021-01-22,16.4774776686776,7.666607144856744,12.116794694721674,53.02808528010677,27.16748007735772,0.7019338703581866,0.0,0.0734679686370018,0.0,0.6284659017211847,1
41.1808,1.2364,2021-01-23,16.088835298173997,6.854825235991589,11.423923084504857,66.28093223397536,41.895862824263006,0.010300717162244,0.0,0.0,0.0,0.010300717162244,1
36.8749,-2.9014,2021-01-23,14.537542354860996,7.4457305217679535,11.028840508050722,44.35947524600032,21.71886174992652,0.1019539877944654,0.0,0.0,0.0,0.1019539877944654,1
36.869,-2.9127,2021-01-23,14.53399425532709,7.448116689762005,11.027471889011755,44.15124476855675,21.662043867138834,0.1133099323936565,0.0,0.0,0.0,0.1133099323936565,1
40.6904,0.51,2021-01-24,17.975787392129742,8.379922872833669,13.220416883859995,74.03521126161044,45.34071637960071,0.5719265092750323,0.0958785974856555,0.4760479117893768,0.0,0.0,1
39.5544,-0.3823,2021-01-25,20.515745916642388,11.757691751675887,16.16441359370446,60.28085712620235,36.99397679976695,0.0,0.0,0.0,0.0,0.0,1
37.6461,-1.373,2021-01-26,19.99619400579587,11.815799198411309,15.90799533865881,25.3978364463605,15.138638303139476,0.0,0.0,0.0,0.0,0.0,1
37.6427,-1.3813,2021-01-27,23.59460810595368,9.769818977168727,16.661435043965312,22.36046957935847,13.102989481465736,0.0,0.0,0.0,0.0,0.0,1
37.6483,-1.3739,2021-01-27,23.602012430813573,9.802705765956986,16.681640171497666,22.68457181057917,13.376876747396931,0.0,0.0,0.0,0.0,0.0,1
37.6512,-1.3894,2021-01-27,23.659281863692303,9.799286169101412,16.70983649085203,22.54866373460036,13.176834879746147,0.0,0.0,0.0,0.0,0.0,1
38.5652,-1.6431,2021-01-27,17.154354692562755,8.561500788057291,12.820764366308142,47.02109217186689,27.87152707950236,0.0513891681990564,0.0256945840995282,0.0256945840995282,0.0,0.0,1
38.3209,-1.6775,2021-01-27,20.224374647521618,8.479310890717223,14.318048414848665,40.10406822820448,23.09352599847005,0.0,0.0,0.0,0.0,0.0,1
41.1808,1.2285,2021-01-27,18.989112664519737,5.409343040377578,12.165845420167816,28.521737892991386,18.028630939369343,0.0,0.0,0.0,0.0,0.0,1
41.1767,1.2275,2021-01-28,24.17268398657645,7.949975913344056,16.061329949960253,50.25094926076185,33.394374176736434,0.0,0.0,0.0,0.0,0.0,1
38.6648,-4.054,2021-01-28,19.66168334322415,7.684272316211959,13.69199459032041,16.528648785375875,9.001826984296855,0.1762497408391082,0.0237502591608917,0.1524994816782164,0.0,0.0,1
41.1799,1.2358,2021-01-29,22.03732196821886,13.593168857578451,17.858508232911195,49.43786176242446,36.224164443511306,0.0,0.0,0.0,0.0,0.0,1
42.3805,-1.7939,2021-01-29,17.36476169394016,7.398542358968339,12.40721148389516,31.5335932654843,17.77798578156038,0.0,0.0,0.0,0.0,0.0,1
41.1597,-0.464,2021-01-29,19.605414800060373,10.374987489822864,15.00600925561789,40.43232600012329,25.737523558884988,0.0,0.0,0.0,0.0,0.0,1
41.1811,1.2214,2021-01-29,22.037662996399355,13.653135999947246,17.890439281570004,49.29543323041056,35.99275201164881,0.0,0.0,0.0,0.0,0.0,1
41.1836,1.2355,2021-01-29,22.02287109363122,13.575896757655755,17.84287875733405,49.3202723992748,36.045460282006594,0.0,0.0,0.0,0.0,0.0,1
38.3459,-1.6932,2021-01-29,25.027927668508006,8.434721240392316,16.700998175220647,26.810689585106363,16.606525584590266,0.0,0.0,0.0,0.0,0.0,1
41.2392,-0.8165,2021-01-29,18.96541595860692,9.095126696101492,14.052358260862135,37.670708647859264,22.599481034911584,0.0,0.0,0.0,0.0,0.0,1
41.1882,1.2396,2021-01-30,19.47823028115267,9.024712292006283,14.251471286579475,74.36485704937184,48.6738824774323,0.0265223504513538,0.0,0.0,0.0132611752256769,0.0132611752256769,1
38.8936,-0.3718,2021-01-30,21.3039542753235,11.969416720333069,16.642602700033752,71.01370489389,33.60462222302242,0.0,0.0,0.0,0.0,0.0,1
38.9183,-0.44,2021-01-30,21.12743364717,12.244548801260256,16.68724463796555,73.52511732823241,34.567633492517245,0.0,0.0,0.0,0.0,0.0,1
38.8952,-0.3559,2021-01-30,21.30199465034317,11.880065237222894,16.59865327134014,70.76032108743128,33.553620653989086,0.0,0.0,0.0,0.0,0.0,1
41.1801,1.2122,2021-01-30,19.498274181462964,9.05920422434321,14.27873920290309,74.74075283532454,48.83023652467418,0.0233952695065164,0.0,0.0,0.0116976347532582,0.0116976347532582,1
38.92,-0.4242,2021-01-30,21.124841491616948,12.155382238325632,16.643069929560017,73.27829474963445,34.51954795994156,0.0,0.0,0.0,0.0,0.0,1
37.3478,-6.0614,2021-01-31,18.38657398007876,11.116555806593873,14.762046494275957,37.85749808081342,25.58284374081914,0.0,0.0,0.0,0.0,0.0,1
41.1816,1.232,2021-01-31,18.096790167479533,10.334523733992272,14.258451842626616,81.05734192330506,55.51836670356352,0.0,0.0,0.0,0.0,0.0,1
41.3458,-0.6994,2021-01-31,16.642341739350385,8.223367700572041,12.40318359753154,63.77322413943372,33.94217741280611,0.0,0.0,0.0,0.0,0.0,1
