Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,30.5 (15:50),14.8 (05:20),22.7,61 (16:10),39 (16:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,26.2 (15:50),15.7 (06:50),21,52 (14:00),37 (14:00),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,27.3 (19:20),16.2 (04:20),21.8,49 (17:40),22 (17:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,20.5 (10:50),15.3 (07:00),17.9,35 (16:10),24 (13:30),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,23.0 (13:10),13.8 (05:30),18.4,17 (13:40),6 (13:40),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,21.5 (13:30),11.4 (02:30),16.4,23 (13:50),12 (14:10),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,23.6 (14:20),11.8 (06:00),17.7,33 (16:20),22 (20:40),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,24.9 (13:10),10.9 (01:40),17.9,28 (15:50),13 (15:50),0.6,0,0,0,0.6,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,16.4 (08:10),13.8 (15:40),15.1,42 (09:40),30 (10:30),7.8,0.3,7,0.5,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,16.0 (08:00),8.6 (23:50),12.3,35 (11:30),21 (11:20),5.3,0,3.6,1.7,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,15.8 (08:20),13.9 (11:10),14.8,59 (10:50),38 (11:00),1.9,0.1,1.7,0.1,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,14.5 (10:30),11.5 (23:59),13,32 (11:00),12 (11:10),1.4,0,1.4,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,15.9 (06:10),12.4 (14:20),14.1,79 (10:00),63 (10:30),7.8,1.2,6,0.6,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,18.5 (02:20),13.9 (14:00),16.2,47 (10:10),29 (10:30),3.5,0.3,2.8,0.4,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,14.7 (08:00),11.6 (22:50),13.2,31 (10:50),18 (10:40),1.8,0,1.5,0.3,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,15.5 (00:00),13.2 (12:30),14.3,55 (10:00),36 (10:30),1.9,0,1.5,0.4,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,15.8 (16:30),13.1 (23:10),14.5,61 (09:30),30 (09:30),5.5,0.6,4.9,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,15.9 (14:50),13.5 (22:20),14.7,42 (08:40),26 (08:40),11.8,3,8.8,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,15.9 (18:40),13.1 (09:30),14.5,49 (08:40),34 (08:40),15.6,7.4,8.2,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,16.2 (05:10),12.8 (08:50),14.5,54 (08:30),31 (08:30),11.5,6.3,5.2,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.8 (15:50),12.7 (08:40),14.7,46 (08:00),27 (08:00),9.2,7,2.2,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,18.4 (18:30),12.7 (09:00),15.5,44 (19:20),21 (16:40),3.8,3,0.6,0.2,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,16.6 (14:50),11.6 (07:40),14.1,59 (07:30),39 (04:50),11.6,10.9,0.7,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,18.5 (16:10),11.2 (08:10),14.8,45 (15:40),24 (16:00),1.4,0,1.4,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,20.3 (17:30),13.0 (06:40),16.6,51 (17:40),27 (19:30),0.2,0.2,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,16.2 (13:30),12.8 (04:40),14.5,80 (15:50),69 (02:50),1.2,1.2,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.8 (15:00),13.4 (23:59),15.6,49 (15:10),28 (15:10),1.6,1.6,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,17.4 (15:40),12.4 (23:20),14.9,49 (00:20),37 (00:20),0.1,0.1,0,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,15.9 (15:40),10.0 (23:59),12.9,42 (00:50),23 (16:10),2.6,2.5,0,0.1,0,42.88805555555555,-8.410555555555556
