Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,22.1 (17:00),10.2 (05:30),16.2,68 (13:50),45 (14:00),0.2,0.2,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,24.0 (15:40),13.1 (06:00),18.6,58 (17:10),48 (17:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,20.1 (17:00),9.1 (07:30),14.6,40 (11:20),21 (15:00),0.2,0.2,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,22.5 (16:00),14.3 (23:30),18.4,68 (16:40),55 (16:40),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,20.8 (13:30),10.5 (23:40),15.6,26 (14:30),11 (16:10),0.5,0,0,0.4,0.1,41.587500000000006,2.54
Santa Susanna,Barcelona,18.3 (14:50),7.3 (23:59),12.8,31 (13:20),15 (14:10),1.2,0,0,1.2,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,21.2 (13:30),7.4 (23:59),14.3,42 (14:30),28 (14:30),24.4,0,0,22.5,1.9,41.91166666666666,2.763333333333333
Porqueres,Girona,20.7 (12:40),8.3 (23:59),14.5,44 (14:10),23 (14:10),1.3,0,0,1.3,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,17.7 (17:40),10.0 (06:20),13.9,41 (13:30),25 (13:30),8,6.3,1.7,0,0,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,18.1 (18:40),9.9 (05:50),14,51 (13:30),34 (13:40),5.5,5.5,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,16.4 (15:00),7.4 (07:30),11.9,24 (16:50),13 (16:50),3,2.9,0.1,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,15.6 (18:40),9.6 (03:30),12.6,66 (12:40),54 (13:10),1.8,1.8,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,17.0 (16:30),11.4 (04:10),14.2,35 (13:50),21 (11:00),0.6,0.4,0.1,0.1,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,17.8 (14:00),6.1 (06:40),11.9,30 (01:20),17 (02:00),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,17.1 (15:30),7.5 (07:10),12.3,39 (12:10),26 (11:20),1,1,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,16.1 (17:10),10.4 (06:00),13.3,53 (00:10),31 (01:20),0.1,0.1,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,17.8 (16:30),8.2 (06:40),13,41 (11:30),25 (12:50),0.9,0.9,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,15.6 (13:40),9.8 (00:50),12.7,49 (10:40),34 (06:10),0.8,0.8,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,16.4 (14:50),7.3 (07:30),11.8,35 (12:20),23 (12:30),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.0 (17:50),8.8 (07:10),12.9,41 (12:50),29 (12:50),0.2,0,0,0,0.2,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.5 (13:30),7.4 (01:50),12.5,40 (14:50),24 (14:50),1,0,0,0,1,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,16.1 (13:30),8.7 (02:20),12.4,50 (12:40),33 (10:30),0.8,0,0,0,0.8,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,16.4 (17:00),6.1 (04:30),11.2,58 (11:10),31 (11:50),2.4,0,0,0,2.4,43.35333333333333,-5.874166666666667
Castropol,Asturias,17.2 (15:20),7.6 (07:00),12.4,48 (23:40),21 (14:00),0.6,0.3,0,0.2,0.1,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,14.5 (14:30),8.6 (06:20),11.6,75 (02:30),60 (02:40),5,1.6,1.8,0,1.6,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,16.3 (13:10),8.9 (08:10),12.6,50 (22:30),25 (15:10),8.4,2.8,4.2,0.4,1,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,16.0 (14:40),9.3 (05:30),12.7,87 (23:59),61 (23:59),26.2,0.1,0.2,2.1,23.8,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,13.8 (15:40),4.9 (02:50),9.4,45 (15:10),27 (15:30),12.5,2.5,1.4,1.9,6.7,42.88805555555555,-8.410555555555556
Padrón,A Coruña,16.7 (15:20),6.1 (07:30),11.4,43 (15:40),17 (16:00),13.3,2,1.4,1.2,8.7,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,14.6 (15:50),6.1 (05:00),10.4,38 (16:00),16 (16:50),15.3,3.7,0.5,1.8,9.3,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,15.8 (15:20),6.6 (07:40),11.2,42 (11:30),21 (13:20),11,2.8,0.4,0.2,7.6,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,14.6 (15:40),6.6 (07:00),10.6,42 (18:30),28 (16:20),14.8,3.1,4.4,1.8,5.5,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,14.5 (15:00),4.6 (06:40),9.5,43 (15:20),25 (15:20),2.8,0.4,0,0,2.4,43.11138888888889,-7.4575000000000005
Ponferrada,León,15.6 (17:30),5.6 (02:10),10.6,37 (16:00),16 (16:00),1.2,0.4,0.4,0,0.4,42.56388888888888,-6.6
A Pobra de Trives,Ourense,13.2 (16:40),2.4 (03:00),7.8,46 (13:20),19 (13:20),5.6,5,0,0.2,0.4,42.339444444444446,-7.2825
Ourense,Ourense,17.7 (15:50),6.8 (05:50),12.3,35 (16:00),18 (16:00),2.6,1.2,0.4,0.4,0.6,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,13.7 (14:00),4.7 (06:30),9.2,27 (17:50),13 (15:00),5.6,1.3,0.9,0.7,2.7,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,13.0 (15:40),2.6 (01:50),7.8,35 (14:20),16 (15:30),3.2,2,0.1,0,1.1,42.07916666666667,-7.733611111111111
Soria,Soria,11.9 (17:30),3.2 (06:20),7.5,39 (05:20),21 (17:00),0.6,0,0.4,0.2,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,14.9 (17:40),5.0 (07:40),9.9,50 (16:10),14 (15:40),0.2,0.2,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,3.8 (20:00),-2.5 (07:20),0.6,68 (07:40),24 (06:10),4.6,4.4,0,0.2,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,13.4 (18:00),-1.7 (07:50),5.8,52 (11:30),22 (15:50),1.8,0,0,0.2,1.6,42.870555555555555,-4.52
Burgos Aeropuerto,Burgos,13.3 (16:00),1.9 (06:20),7.6,50 (12:30),32 (13:10),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,16.1 (17:40),0.6 (07:20),8.4,41 (15:50),14 (19:00),0.4,0,0,0,0.4,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,13.7 (18:20),1.6 (07:10),7.6,42 (18:00),30 (18:00),0.1,0.1,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,16.3 (17:40),4.3 (06:50),10.3,39 (17:40),18 (17:50),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,13.5 (18:50),2.7 (07:20),8.1,37 (09:20),21 (09:40),0.2,0.2,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,5.1 (19:40),-2.9 (08:20),1.1,52 (08:20),20 (08:40),3.6,3.4,0.2,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,12.9 (18:30),3.5 (06:40),8.2,36 (13:00),23 (15:00),1,0.8,0.2,0,0,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,4.7 (23:59),-3.4 (06:50),0.6,65 (23:30),41 (23:30),9.2,0,1,8.2,0,40.355000000000004,-5.69
Zamora,Zamora,16.2 (17:00),5.2 (07:40),10.7,47 (14:00),15 (14:40),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,8.8 (16:10),-3.4 (07:40),2.7,43 (18:10),24 (00:30),2.6,0,0,0,2.6,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,13.2 (17:10),2.7 (05:50),7.9,50 (19:50),37 (19:40),0.4,0,0,0,0.4,42.58833333333334,-5.651111111111112
Benavente,Zamora,15.1 (17:50),2.6 (05:50),8.9,47 (16:30),21 (15:00),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,13.1 (16:40),3.2 (06:20),8.2,55 (14:40),25 (16:10),0.2,0,0,0,0.2,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,15.4 (17:30),3.3 (07:10),9.3,46 (17:40),32 (17:10),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,16.3 (19:00),4.9 (05:10),10.6,36 (16:00),18 (16:00),0,0,0,0,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,16.6 (17:50),2.5 (04:00),9.6,45 (17:40),31 (17:30),0.2,0,0.2,0,0,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,16.5 (17:50),5.2 (05:10),10.8,38 (13:40),18 (17:50),0.2,0,0.2,0,0,40.635,-6.6
Molina de Aragón,Guadalajara,14.7 (16:50),4.8 (23:59),9.8,41 (12:30),19 (17:20),0.2,0.2,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,17.4 (17:40),6.3 (08:10),11.8,42 (13:50),22 (01:40),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Buitrago del Lozoya,Madrid,13.4 (18:00),5.0 (06:50),9.2,43 (03:00),19 (03:30),2,0,2,0,0,41.00694444444444,-3.613611111111111
Madrid Aeropuerto,Madrid,18.6 (18:10),7.6 (06:30),13.1,46 (10:20),33 (10:30),0,0,0,0,0,40.46666666666667,-3.5555555555555554
Sigüenza,Guadalajara,13.9 (15:40),4.4 (23:59),9.1,31 (00:30),17 (00:20),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,17.1 (18:20),6.7 (07:30),11.9,35 (16:50),18 (01:00),0,0,0,0,0,40.63027777777778,-3.15
Colmenar Viejo,Madrid,13.7 (18:20),3.3 (06:30),8.5,37 (07:20),19 (02:20),0,0,0,0,0,40.69611111111111,-3.765
Toledo,Toledo,18.3 (17:40),6.6 (07:10),12.4,47 (17:30),27 (17:30),0,0,0,0,0,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,9.2 (18:20),-1.0 (08:00),4.1,77 (02:00),51 (01:50),0.2,0.2,0,0,0,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,16.8 (17:40),6.2 (06:10),11.5,44 (14:30),19 (03:50),0,0,0,0,0,40.42777777777778,-4.25
Talavera de la Reina,Toledo,20.7 (16:40),5.5 (04:50),13.1,42 (17:50),26 (19:20),0,0,0,0,0,39.95861111111111,-4.863611111111111
Trujillo,Cáceres,17.6 (18:40),5.5 (07:10),11.6,30 (14:20),15 (16:50),0,0,0,0,0,39.4825,-5.854166666666666
Cáceres,Cáceres,18.3 (18:50),7.5 (05:30),12.9,36 (05:50),22 (06:40),0,0,0,0,0,39.47138888888889,-6.338888888888889
