Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,31.9 (13:20),20.5 (06:20),26.2,30 (11:40),16 (14:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,30.5 (13:30),22.5 (06:30),26.5,30 (14:20),22 (14:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,36.7 (14:50),17.8 (07:20),27.3,35 (15:40),17 (15:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,28.4 (09:40),23.4 (06:20),25.9,33 (13:00),27 (14:10),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,32.4 (11:10),22.5 (00:20),27.5,28 (14:50),13 (13:50),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,38.7 (14:10),17.3 (06:40),28,54 (13:40),39 (12:50),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,39.2 (13:40),18.2 (06:40),28.7,48 (18:00),24 (14:40),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,23.6 (12:00),19.1 (23:59),21.4,28 (16:40),15 (13:40),2.5,0,0,1.9,0.6,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,24.5 (12:40),14.7 (23:59),19.6,34 (13:20),22 (13:40),0.5,0.3,0,0.2,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,23.3 (12:30),17.7 (23:59),20.5,39 (16:40),28 (16:30),0.1,0.1,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,21.7 (12:10),15.4 (23:59),18.6,19 (13:30),10 (13:30),0.8,0.6,0.1,0.1,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,20.6 (18:30),17.7 (22:40),19.2,55 (15:30),48 (17:00),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,23.9 (10:40),19.5 (22:40),21.7,35 (17:30),18 (15:10),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,22.7 (11:40),16.1 (23:50),19.4,26 (17:40),10 (19:00),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,23.2 (18:10),16.5 (23:59),19.9,35 (17:10),23 (18:10),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,22.3 (17:00),17.8 (22:50),20,38 (14:30),24 (14:40),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,24.1 (17:40),19.2 (01:20),21.7,35 (13:40),23 (15:20),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,22.0 (17:30),18.6 (01:50),20.3,37 (15:30),26 (15:00),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,21.6 (15:30),18.6 (23:50),20.1,33 (11:30),22 (11:50),1.8,0.1,1.4,0.3,0,43.39333333333333,-4.392222222222222
