Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,21.5 (16:00),15.5 (05:20),18.5,26 (07:30),17 (07:30),13.4,3,10.4,0,0,41.144999999999996,1.163611111111111
Manresa,Barcelona,18.5 (18:10),13.4 (05:40),15.9,20 (05:50),9 (13:50),3.2,1,1.8,0.4,0,41.72,1.840277777777778
Barcelona,Barcelona,21.7 (16:30),17.0 (04:30),19.4,53 (11:00),34 (11:10),13,6.7,1.8,4.5,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,20.9 (16:40),15.7 (00:30),18.3,41 (10:50),17 (10:40),26.1,14.2,6.9,5,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,21.0 (17:00),13.9 (23:59),17.4,46 (06:50),34 (06:50),0.4,0.4,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,21.8 (16:00),13.6 (23:59),17.7,32 (06:50),18 (06:40),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,20.2 (08:20),14.2 (23:50),17.2,48 (10:30),25 (00:20),2.5,0.6,1.1,0.8,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,15.2 (07:50),10.6 (23:50),12.9,36 (02:50),16 (06:10),6.1,0.5,3.8,1.8,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,20.1 (07:50),13.9 (23:50),17,63 (06:20),36 (09:20),4,0.4,1.8,1.8,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,19.0 (07:50),11.0 (23:59),15,44 (06:40),17 (07:00),2.6,0.1,1.7,0.8,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,19.9 (07:40),14.8 (02:00),17.3,71 (07:50),51 (12:00),1.8,1.8,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,17.5 (12:40),11.3 (23:59),14.4,31 (00:10),14 (00:10),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,20.1 (07:20),12.8 (22:40),16.5,42 (05:50),23 (08:20),0.4,0.4,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,20.4 (06:30),14.5 (01:30),17.4,52 (09:30),31 (09:30),0.5,0.5,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,19.6 (05:30),14.1 (23:50),16.9,39 (00:10),23 (01:10),0,0,0,0,0,43.42388888888889,-3.8255555555555554
San Vicente de la Barquera,Cantabria,17.8 (13:00),12.6 (01:20),15.2,33 (10:50),20 (14:10),0.4,0.4,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,18.0 (12:40),14.0 (00:10),16,28 (12:50),16 (09:40),1.2,1.2,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.5 (15:20),11.3 (22:50),14.4,21 (01:20),12 (01:10),7.4,7.4,0,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,16.7 (16:00),12.7 (02:00),14.7,45 (09:00),32 (00:50),8.6,8.6,0,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,16.1 (13:50),12.2 (03:10),14.2,39 (10:50),26 (10:40),11.3,11.1,0.2,0,0,43.566944444444445,-6.0441666666666665
