Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,26.7 (15:50),8.5 (08:10),17.6,30 (14:20),21 (14:30),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,23.4 (14:50),12.9 (07:50),18.1,32 (07:40),25 (07:50),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,23.5 (17:30),7.1 (09:10),15.3,14 (15:50),8 (17:00),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,22.5 (13:00),14.3 (08:30),18.4,27 (14:20),22 (14:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,23.6 (13:30),12.5 (07:50),18.1,15 (11:30),8 (00:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,23.2 (16:30),6.0 (07:30),14.6,22 (16:00),15 (17:40),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,24.1 (17:10),7.0 (06:40),15.6,16 (16:20),9 (18:30),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,17.6 (17:00),9.7 (04:20),13.7,26 (15:40),14 (13:50),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,15.8 (14:10),4.8 (08:10),10.3,21 (16:00),11 (16:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,17.8 (17:30),10.1 (07:40),13.9,21 (13:10),13 (13:00),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,17.0 (15:00),7.9 (08:20),12.5,19 (16:00),10 (16:20),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,17.0 (12:30),11.9 (21:50),14.4,20 (13:10),13 (13:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,18.9 (15:20),7.1 (08:50),13,17 (16:00),6 (14:50),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,18.8 (15:20),8.3 (02:00),13.5,28 (15:30),17 (15:30),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,16.8 (14:10),10.9 (04:10),13.8,14 (15:40),8 (15:40),0.3,0,0,0.3,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,19.2 (14:20),4.5 (08:10),11.9,35 (16:10),26 (15:30),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,17.6 (14:20),11.7 (08:40),14.7,35 (15:50),25 (15:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,17.6 (12:00),7.9 (08:10),12.8,40 (16:40),29 (16:30),0,0,0,0,0,43.39333333333333,-4.392222222222222
