Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,25.6 (17:40),15.7 (00:00),20.7,30 (21:10),19 (10:10),0.6,0,0,0.6,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,25.1 (14:30),17.8 (07:50),21.4,52 (13:20),41 (13:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,23.5 (16:10),12.2 (09:00),17.8,12 (18:40),7 (13:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,23.1 (15:20),18.8 (02:00),20.9,51 (13:50),42 (13:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,26.5 (14:40),18.8 (07:50),22.6,33 (05:50),15 (09:30),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,24.3 (16:10),14.0 (07:50),19.1,35 (12:40),25 (12:40),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,24.5 (16:20),12.4 (07:50),18.4,21 (12:40),13 (12:40),0,0,0,0,0,42.10444444444445,2.763611111111111
Zumarraga,Gipuzkoa,20.0 (15:30),10.1 (06:20),15.1,21 (16:40),11 (15:00),0.4,0.3,0.1,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,21.9 (16:30),13.9 (07:40),17.9,21 (13:30),14 (13:30),1.4,1.3,0.1,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,19.4 (14:20),13.0 (04:50),16.2,24 (14:40),13 (14:40),1.1,1,0,0.1,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,19.8 (16:50),15.2 (07:20),17.5,47 (00:40),33 (00:40),2.8,2.6,0,0.2,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,21.4 (15:00),11.1 (07:00),16.3,27 (01:20),12 (01:20),18.3,16.8,1.5,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,22.2 (16:20),13.5 (07:30),17.9,33 (16:40),21 (16:50),9.7,9.7,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,20.3 (16:30),14.9 (08:00),17.6,28 (15:10),18 (02:10),7.4,7.4,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,22.6 (15:00),14.6 (07:20),18.6,35 (16:50),25 (17:10),4.4,4.4,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,20.2 (16:00),15.7 (05:20),18,46 (03:10),31 (03:10),1.4,1.4,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,20.9 (14:50),15.6 (08:00),18.3,29 (17:40),21 (17:40),20.1,19.8,0,0.3,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,23.0 (15:40),15.4 (08:00),19.2,29 (17:00),22 (16:50),30.4,28.6,1.8,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,22.0 (14:50),13.5 (23:59),17.8,29 (17:50),17 (15:00),4.6,0.6,4,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,19.9 (13:40),16.1 (09:30),18,33 (18:30),21 (18:30),3.9,0.3,3.6,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,19.5 (14:40),14.0 (08:10),16.8,32 (19:10),19 (18:40),11.3,5.3,6,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,19.0 (14:20),12.6 (05:30),15.8,36 (17:10),22 (17:10),9.6,0.4,9,0.2,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,21.1 (13:40),12.0 (08:10),16.6,43 (14:40),18 (14:40),3.7,0,3.7,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,19.4 (15:10),16.5 (03:20),17.9,50 (05:30),40 (03:50),0.2,0.2,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,21.7 (14:40),16.3 (08:20),19,53 (18:30),31 (18:30),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,20.4 (13:30),14.8 (07:20),17.6,73 (03:10),48 (03:10),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,21.8 (15:50),10.9 (06:50),16.3,33 (16:40),16 (23:30),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,24.1 (16:40),11.8 (07:30),18,42 (13:30),29 (13:30),0,0,0,0,0,42.73833333333334,-8.627222222222223
Pontevedra,Pontevedra,24.3 (16:00),14.3 (08:40),19.3,34 (13:40),16 (18:50),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,24.4 (15:00),12.6 (05:40),18.5,42 (13:10),22 (13:10),0.2,0,0,0,0.2,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,20.2 (15:50),8.4 (07:20),14.3,44 (18:20),21 (14:50),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Ponferrada,León,18.9 (18:00),8.9 (06:10),13.9,22 (17:00),9 (13:10),3.6,0,0,2.2,1.4,42.56388888888888,-6.6
A Pobra de Trives,Ourense,18.1 (15:10),6.2 (08:30),12.2,52 (17:40),20 (17:40),0.2,0,0,0.2,0,42.339444444444446,-7.2825
Ourense,Ourense,25.6 (18:10),8.8 (09:00),17.2,35 (18:50),11 (16:50),1,0,0,0,1,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,19.0 (18:20),1.1 (08:40),10.1,19 (13:20),13 (13:20),0.6,0,0,0.6,0,42.07916666666667,-7.733611111111111
Soria,Soria,20.0 (16:30),6.6 (07:30),13.3,34 (11:50),17 (16:20),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,21.0 (17:40),10.3 (03:20),15.7,42 (18:10),20 (19:00),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,12.4 (16:50),3.9 (08:50),8.1,62 (15:50),40 (08:00),2.8,0,2.4,0,0.4,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,20.3 (16:40),7.8 (08:10),14,30 (14:20),15 (09:50),0.4,0.2,0,0,0.2,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,19.1 (16:20),5.9 (06:20),12.5,44 (17:00),26 (18:10),0.2,0,0.2,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,20.0 (17:00),9.4 (06:00),14.7,48 (17:30),33 (17:10),1.2,1.2,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,20.3 (17:00),9.6 (08:00),14.9,36 (18:30),16 (18:30),2.8,2.4,0,0,0.4,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,19.3 (17:20),8.2 (07:20),13.7,43 (15:00),29 (15:00),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,21.6 (16:40),10.3 (08:40),16,37 (17:10),19 (17:10),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,19.2 (17:10),9.6 (06:30),14.4,33 (16:20),18 (13:20),1.4,0,0,0,1.4,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,12.3 (17:10),4.0 (05:10),8.2,48 (22:40),29 (15:40),3,0,0.4,0.2,2.4,40.793055555555554,-4.010555555555555
Segovia,Segovia,19.3 (16:40),8.1 (05:20),13.7,46 (23:50),29 (23:59),0,0,0,0,0,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,12.2 (13:20),4.6 (03:30),8.4,41 (23:59),30 (23:59),0.4,0,0,0.4,0,40.355000000000004,-5.69
Zamora,Zamora,22.0 (17:30),9.7 (07:50),15.8,28 (16:40),15 (16:40),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,14.5 (17:00),5.0 (23:10),9.8,36 (12:10),21 (15:50),1.4,0.2,1.2,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,19.6 (16:00),8.2 (04:00),13.9,52 (16:20),37 (16:40),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,16.5 (15:40),5.7 (06:10),11.1,47 (16:00),23 (16:00),9.7,0,0,9.7,0,42.3775,-6.196666666666667
Benavente,Zamora,20.5 (18:20),9.1 (05:10),14.8,42 (17:10),24 (17:10),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,17.5 (17:10),4.4 (07:50),11,39 (15:40),18 (14:00),2.6,0,0,2.4,0.2,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,20.1 (19:00),9.7 (07:50),14.9,39 (01:00),27 (01:20),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,20.3 (14:10),11.2 (07:10),15.7,29 (00:40),14 (14:00),0.9,0,0,0.9,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,19.2 (17:00),9.2 (08:20),14.2,38 (00:30),25 (00:10),0.8,0,0,0,0.8,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,21.8 (14:40),11.2 (23:59),16.5,51 (17:30),34 (17:30),1.2,0,0,0.6,0.6,40.635,-6.6
Molina de Aragón,Guadalajara,20.2 (16:50),6.3 (04:50),13.3,33 (16:10),17 (16:10),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,22.4 (15:30),11.7 (09:00),17,25 (22:30),13 (22:10),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Aranjuez,Madrid,23.2 (16:30),12.9 (11:00),18.1,27 (14:00),15 (14:10),4.1,0,4.1,0,0,40.06722222222223,-3.546111111111111
Buitrago del Lozoya,Madrid,19.5 (18:20),6.3 (05:00),12.9,23 (18:10),9 (18:10),0,0,0,0,0,41.00694444444444,-3.613611111111111
Sigüenza,Guadalajara,18.9 (15:00),7.3 (04:00),13.1,38 (16:20),16 (16:00),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,23.3 (16:50),11.6 (07:30),17.4,33 (01:00),21 (01:00),2.4,0,1.6,0,0.8,40.63027777777778,-3.15
Colmenar Viejo,Madrid,19.3 (17:50),9.4 (06:30),14.3,48 (22:00),31 (22:20),1.1,0,0.3,0,0.8,40.69611111111111,-3.765
Toledo,Toledo,23.2 (17:00),14.1 (20:10),18.7,73 (19:50),36 (19:50),16.6,0,0,0,16.6,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,13.8 (18:00),5.7 (08:10),9.8,39 (01:40),21 (01:50),4.8,0,3.9,0,0.9,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,20.3 (17:30),12.6 (12:00),16.4,30 (01:30),17 (13:50),6.4,0,0.4,0.4,5.6,40.42777777777778,-4.25
Talavera de la Reina,Toledo,24.6 (19:30),15.6 (07:40),20.1,40 (03:10),19 (16:10),0,0,0,0,0,39.95861111111111,-4.863611111111111
Navalmoral de la Mata,Cáceres,24.6 (17:30),14.1 (02:20),19.4,45 (13:30),26 (13:00),0,0,0,0,0,39.94583333333333,-5.5825
Cáceres,Cáceres,24.8 (17:50),13.7 (02:20),19.2,42 (20:40),23 (20:50),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,24.8 (17:40),15.6 (04:30),20.2,39 (12:50),17 (12:50),0,0,0,0,0,40.043055555555554,-6.085833333333333
Coria,Cáceres,24.9 (17:00),15.4 (05:30),20.1,47 (14:10),25 (14:10),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,24.7 (17:10),12.0 (09:00),18.4,37 (16:50),19 (17:00),0,0,0,0,0,39.414722222222224,-7.231111111111111
Madridejos,Toledo,20.9 (15:30),12.1 (08:20),16.5,66 (18:00),36 (18:10),1.8,0,0,0.6,1.2,39.49194444444444,-3.5283333333333333
San Clemente,Cuenca,23.0 (15:40),12.6 (08:20),17.8,42 (15:00),24 (15:40),0,0,0,0,0,39.416666666666664,-2.4205555555555556
Ciudad Real,Ciudad Real,22.2 (13:30),13.0 (07:50),17.6,29 (16:10),14 (10:10),1.4,0,0,1.4,0,38.98916666666667,-3.9202777777777778
Valdepeñas,Ciudad Real,24.9 (14:50),12.8 (08:20),18.8,29 (15:40),14 (15:40),3.2,0,0,3.2,0,38.75055555555556,-3.391388888888889
Puebla de Don Rodrigo,Ciudad Real,24.9 (14:30),13.1 (07:50),19,37 (21:50),26 (22:00),0.4,0,0,0.1,0.3,39.08861111111111,-4.616388888888888
Herrera del Duque,Badajoz,26.1 (15:10),13.5 (08:30),19.8,40 (17:40),25 (17:40),8.8,0,0,8.6,0.2,39.169444444444444,-5.062222222222222
Llerena,Badajoz,25.1 (15:50),12.8 (08:30),19,31 (21:10),21 (23:59),1,0,0,0,1,38.23166666666667,-6.016944444444444
Mérida,Badajoz,28.0 (17:00),14.3 (04:00),21.2,44 (23:59),30 (23:59),3,0,0,0,3,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,28.6 (18:00),12.2 (07:30),20.4,33 (21:50),24 (21:50),8,0,0,0,8,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,28.8 (15:50),13.5 (08:10),21.1,50 (22:10),30 (22:10),3,0,0,0,3,38.29861111111111,-6.765
Ayamonte,Huelva,28.8 (13:40),19.2 (08:20),24,18 (00:30),12 (16:10),0,0,0,0,0,37.19472222222222,-7.3950000000000005
