Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,18.3 (14:40),2.2 (08:20),10.2,15 (02:20),14 (04:30),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,18.8 (14:40),5.8 (08:20),12.3,33 (04:20),25 (09:30),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,14.4 (16:50),-1.2 (08:20),6.6,9 (18:50),5 (05:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,16.4 (13:40),6.0 (08:00),11.2,18 (09:20),15 (09:10),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,17.1 (11:40),6.5 (02:40),11.8,13 (05:30),8 (08:10),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,17.8 (14:20),-0.4 (08:20),8.7,15 (17:30),9 (17:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,17.0 (14:30),1.2 (06:50),9.1,13 (14:50),9 (21:00),0,0,0,0,0,42.10444444444445,2.763611111111111
Zumaia,Gipuzkoa,11.3 (14:30),3.2 (08:50),7.3,13 (01:50),8 (01:00),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Machichaco,Bizkaia,8.8 (00:00),6.3 (08:30),7.6,30 (18:10),22 (18:10),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,13.5 (14:40),-0.5 (08:00),6.5,9 (13:30),3 (08:00),0.1,0,0.1,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,13.5 (14:50),1.4 (08:20),7.4,15 (05:10),12 (04:50),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,10.1 (16:40),4.8 (08:50),7.5,14 (19:00),9 (03:20),0.1,0,0.1,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,11.4 (16:00),5.0 (20:30),8.2,17 (15:00),11 (01:50),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,10.4 (15:30),7.2 (10:40),8.8,42 (19:40),32 (19:20),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,9.1 (14:50),4.4 (23:50),6.8,18 (13:50),11 (19:50),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,11.1 (14:10),8.2 (09:10),9.7,22 (14:20),15 (14:10),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,13.0 (15:00),1.4 (08:20),7.2,23 (12:20),13 (15:20),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,11.5 (14:50),3.2 (08:30),7.4,30 (12:00),22 (12:40),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,10.8 (16:20),1.9 (07:20),6.4,12 (05:50),10 (05:50),0,0,0,0,0,43.35333333333333,-5.874166666666667
