Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,20.7 (14:30),11.0 (04:30),15.9,26 (15:00),17 (13:30),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,19.3 (16:20),15.1 (07:20),17.2,30 (16:20),24 (21:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,19.9 (13:20),12.4 (07:10),16.1,28 (17:40),14 (16:50),14.6,0,0,14.2,0.4,41.72,1.840277777777778
Barcelona,Barcelona,17.9 (14:40),14.1 (07:20),16,31 (21:50),28 (21:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,20.4 (11:20),13.0 (01:00),16.7,17 (11:30),7 (01:30),0.2,0.2,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,17.1 (11:30),11.4 (07:30),14.3,23 (12:50),14 (13:20),8.4,0.8,7.6,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,20.0 (13:00),12.2 (07:40),16.1,28 (14:50),18 (16:30),2.3,0,0.6,1.7,0,41.91166666666666,2.763333333333333
Porqueres,Girona,18.4 (13:30),11.2 (23:59),14.8,24 (16:30),14 (16:30),2.4,0.1,0.1,2.2,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,13.6 (13:30),10.4 (23:59),12,17 (10:30),11 (02:10),10.9,3.7,2.9,0.3,4,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,8.3 (16:20),5.9 (06:20),7.1,15 (10:30),9 (10:30),11.2,5.7,1.5,0.5,3.5,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,13.8 (16:30),9.9 (09:30),11.8,27 (19:30),18 (19:10),13.2,3.6,6.5,0.2,2.9,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,11.2 (16:20),7.9 (09:10),9.5,15 (16:50),9 (17:00),7.4,2.7,1.1,1.4,2.2,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,12.3 (16:30),8.6 (23:59),10.5,40 (00:40),30 (00:50),9,5.2,1,1.4,1.4,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,14.9 (15:20),10.2 (23:59),12.5,26 (00:40),15 (00:40),5.7,2.4,1.2,1.3,0.8,43.375,-3.0216666666666665
Güeñes,Bizkaia,12.5 (16:00),7.5 (07:40),10,17 (18:00),9 (18:10),6.4,1.6,1.7,2,1.1,43.20333333333333,-3.104722222222222
