Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,26.2 (13:10),14.8 (23:50),20.5,61 (23:50),41 (23:50),1.2,0,0.4,0,0.8,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,26.7 (14:50),22.4 (23:00),24.6,45 (09:30),34 (09:30),0.1,0.1,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,25.3 (16:50),17.8 (23:59),21.5,34 (16:40),16 (16:40),0.2,0,0,0,0.2,41.72,1.840277777777778
Barcelona,Barcelona,24.4 (13:00),22.1 (23:59),23.3,46 (09:10),33 (09:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,26.5 (15:10),18.7 (23:59),22.6,36 (03:10),16 (15:50),0.8,0.8,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,25.8 (17:30),15.8 (22:50),20.8,55 (11:50),40 (12:20),1.4,0,0,0,1.4,41.91166666666666,2.763333333333333
Porqueres,Girona,26.4 (16:00),16.8 (23:00),21.6,48 (12:40),25 (12:40),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,27.0 (01:00),13.0 (23:50),20,68 (09:10),41 (01:10),47.3,0,24.4,9.3,13.6,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,21.7 (00:10),7.7 (22:50),14.7,42 (09:20),25 (09:20),20.6,0,16.5,4.1,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,26.3 (00:20),12.7 (23:10),19.5,72 (04:50),47 (06:30),27,0.5,23,3.3,0.2,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,24.0 (00:20),9.7 (23:50),16.8,59 (04:10),16 (05:10),20.7,0,16.5,4.2,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,25.3 (00:00),12.0 (13:10),18.6,100 (07:50),80 (07:50),31.6,7,18.6,4.4,1.6,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,23.7 (00:40),9.5 (23:59),16.6,48 (03:40),20 (14:20),17,3,13.9,0.1,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,26.7 (00:00),11.7 (23:59),19.2,78 (02:00),40 (03:50),22.8,5.3,16.7,0.5,0.3,43.29805555555556,-2.906388888888889
Santander Aeropuerto,Cantabria,26.0 (00:10),13.4 (23:30),19.7,71 (02:40),42 (03:00),18.9,12.1,6.8,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,25.1 (00:10),13.5 (08:50),19.3,84 (06:20),57 (06:20),16.4,9.6,6.6,0.2,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,26.7 (02:10),11.7 (23:59),19.2,77 (05:40),50 (05:50),10.6,8.1,2.4,0.1,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,23.2 (01:00),12.7 (23:59),18,69 (02:30),37 (02:30),14.6,11,3.6,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,25.1 (00:10),10.4 (23:59),17.8,59 (01:40),30 (01:40),23.2,23,0.2,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,23.8 (00:50),12.4 (10:30),18.1,88 (01:20),53 (04:20),25.7,24.3,1.4,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,25.0 (00:50),11.9 (04:40),18.4,80 (01:40),54 (01:50),26.8,26.6,0.2,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,21.9 (01:00),10.5 (07:50),16.2,62 (02:50),33 (04:30),17.4,17.2,0.2,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,19.8 (00:00),12.1 (08:30),15.9,58 (00:50),30 (00:50),34.1,32.9,0.1,1.1,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,17.4 (16:40),11.8 (03:10),14.6,93 (03:00),76 (03:00),9.6,9.6,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,18.8 (16:10),12.9 (03:50),15.8,62 (01:20),39 (01:20),9.6,9.2,0.4,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,16.5 (16:00),11.6 (01:40),14.1,82 (00:50),55 (00:10),1.2,1.2,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,17.3 (00:00),8.7 (08:50),13,65 (00:20),37 (00:20),25.8,25.4,0.1,0.3,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,20.3 (16:00),9.7 (08:40),15,49 (00:10),21 (00:10),16.6,16.5,0.1,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,18.9 (15:40),10.9 (08:30),14.9,30 (00:30),9 (00:50),18.6,18.5,0.1,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,18.8 (00:10),11.0 (09:10),14.9,60 (00:40),26 (00:50),26.8,26.4,0.4,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,18.5 (00:50),10.1 (09:00),14.3,63 (00:40),39 (00:50),42.9,42.9,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,16.6 (00:00),8.4 (09:00),12.5,48 (01:00),22 (01:10),37.2,33.4,0.4,3.4,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,11.7 (02:20),1.6 (12:10),6.6,101 (00:30),47 (00:40),18.4,17,1.2,0.2,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,20.6 (01:40),9.7 (23:10),15.2,39 (00:10),19 (15:00),18.8,18.8,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,17.0 (00:10),7.3 (23:59),12.2,51 (02:30),22 (02:30),30.4,27.2,3.2,0,0,42.339444444444446,-7.2825
Ourense,Ourense,20.2 (15:40),10.6 (23:59),15.4,39 (01:40),15 (01:40),20.8,20,0,0.8,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,16.6 (01:50),4.1 (23:59),10.4,41 (05:20),23 (06:10),22.6,22.4,0.2,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,16.3 (00:20),6.4 (23:59),11.3,35 (19:10),18 (18:10),4.8,0,4,0.8,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,17.9 (17:20),5.9 (23:59),11.9,42 (17:50),19 (17:50),4.6,0,4.6,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,12.3 (06:50),1.1 (22:40),6.7,80 (07:10),46 (03:30),28,0,20.2,7.8,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,13.8 (00:00),3.4 (23:50),8.6,78 (03:10),35 (03:50),9.8,5.2,3.6,1,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,15.5 (16:40),3.3 (23:40),9.4,46 (12:10),21 (12:20),5,0,3.8,1.2,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,17.0 (00:00),3.6 (23:59),10.3,54 (05:40),35 (05:00),10.8,0.2,10.6,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,17.1 (16:50),5.3 (23:59),11.2,62 (04:50),23 (04:50),7,4,3,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,15.7 (00:00),6.3 (23:40),11,54 (05:40),39 (05:40),7.4,0,7.4,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,17.4 (00:00),9.8 (23:59),13.6,36 (14:00),15 (13:50),4.8,0,4.8,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,16.0 (03:20),8.2 (23:59),12.1,43 (12:00),28 (18:30),8,0,8,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,10.4 (01:00),1.9 (20:40),6.1,60 (04:20),38 (03:30),12.4,0,10,2.4,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,18.2 (02:50),7.8 (23:40),13,46 (08:50),28 (07:40),9,0,8.6,0.4,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,18.3 (16:40),10.3 (23:59),14.3,37 (05:50),17 (06:00),7.6,2.4,5.2,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,12.2 (00:40),1.4 (23:59),6.8,59 (04:30),32 (18:00),17.4,15,2.4,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,15.6 (00:00),6.4 (23:59),11,61 (01:40),45 (01:50),9.4,9.4,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,14.4 (00:00),3.5 (22:20),8.9,52 (08:50),31 (09:50),6.3,6.3,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,17.2 (16:40),8.5 (23:59),12.9,51 (01:00),23 (04:40),10.4,7.6,2.8,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,16.8 (16:50),5.8 (23:20),11.3,75 (03:40),33 (03:30),13.4,11.4,2,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,17.1 (16:40),6.7 (23:50),11.9,61 (04:10),41 (04:10),9.8,0,9.8,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,17.1 (00:00),9.9 (23:59),13.5,45 (04:10),19 (04:10),13.4,0,13.4,0,0,40.9575,-5.662222222222223
