Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,20.9 (13:40),13.7 (01:10),17.3,39 (16:00),23 (14:30),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,19.3 (16:30),16.3 (23:59),17.8,32 (00:10),27 (00:10),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,20.9 (18:10),13.4 (09:00),17.1,41 (17:30),17 (00:50),0.2,0,0.2,0,0,41.72,1.840277777777778
Barcelona,Barcelona,17.7 (16:20),14.8 (23:59),16.3,28 (00:10),23 (00:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,21.4 (14:50),13.5 (04:10),17.4,21 (16:40),9 (16:40),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,17.8 (14:20),11.0 (03:50),14.4,32 (16:50),15 (16:50),0.3,0,0.2,0.1,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,21.3 (14:40),12.4 (04:30),16.8,26 (14:00),17 (14:50),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,19.1 (11:50),10.8 (03:50),15,21 (18:50),12 (18:50),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,18.2 (14:00),11.3 (23:50),14.8,24 (06:10),17 (10:30),1.3,0.8,0.5,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,13.4 (14:00),6.1 (23:59),9.7,21 (14:50),11 (12:00),0.7,0.7,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,20.3 (13:50),10.7 (07:30),15.5,24 (15:30),19 (15:30),0.7,0.5,0.2,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,16.0 (13:10),7.9 (23:59),12,20 (15:10),10 (13:50),2,1.9,0,0.1,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,16.0 (16:50),10.4 (23:40),13.2,64 (04:10),52 (01:30),0.6,0.2,0.4,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,17.8 (13:50),11.2 (23:50),14.5,31 (01:40),18 (00:30),0.2,0.1,0.1,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,18.1 (16:30),8.4 (07:20),13.3,32 (12:00),22 (12:00),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,18.1 (16:40),9.1 (06:50),13.6,30 (14:40),21 (15:00),0.4,0.4,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,17.0 (15:30),10.5 (23:40),13.8,32 (01:20),18 (09:30),0.1,0,0.1,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,18.3 (16:50),10.5 (23:59),14.4,32 (11:40),22 (11:40),1.1,0.2,0.9,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,15.6 (16:10),11.9 (06:30),13.8,36 (00:30),26 (00:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
