Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,30.0 (15:20),21.3 (06:30),25.6,28 (13:40),18 (14:00),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,29.0 (16:00),21.5 (07:30),25.3,45 (14:40),34 (15:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,33.2 (15:50),17.9 (06:50),25.6,32 (19:00),16 (20:20),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,27.7 (16:20),22.0 (05:30),24.9,40 (15:20),28 (13:10),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,28.9 (14:40),19.0 (07:20),23.9,29 (15:20),14 (15:20),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,32.6 (14:40),17.6 (07:40),25.1,39 (16:10),27 (16:10),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,31.0 (14:50),16.8 (07:20),23.9,25 (16:20),13 (15:50),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,27.9 (19:10),17.8 (04:30),22.8,17 (14:20),13 (14:20),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,31.3 (17:00),15.5 (07:50),23.4,19 (13:00),8 (16:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,26.4 (18:20),19.0 (05:00),22.7,27 (13:40),18 (15:50),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,32.6 (15:30),18.0 (08:40),25.3,22 (18:10),12 (18:00),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,24.3 (22:10),19.1 (07:30),21.7,33 (15:00),24 (14:30),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,33.4 (17:30),15.2 (04:20),24.3,18 (15:50),9 (15:50),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,35.6 (15:50),19.4 (08:20),27.5,28 (17:40),19 (17:40),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,24.0 (17:40),17.7 (02:50),20.9,19 (06:40),11 (08:00),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,26.3 (16:40),11.8 (07:20),19,37 (15:10),20 (16:20),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,22.4 (15:10),16.8 (04:30),19.6,36 (13:10),24 (14:00),0,0,0,0,0,43.49111111111111,-3.8005555555555555
Llanes,Asturias,24.8 (15:20),15.1 (08:00),19.9,26 (21:50),17 (21:50),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,28.6 (16:00),12.1 (07:50),20.4,23 (15:20),14 (15:10),0,0,0,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,21.8 (16:10),16.4 (07:30),19.1,44 (23:30),30 (22:50),0.1,0,0,0,0.1,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,26.1 (15:50),15.4 (05:10),20.8,50 (16:30),20 (16:10),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,29.9 (15:10),15.4 (07:40),22.6,19 (15:10),10 (14:20),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,24.7 (11:40),14.0 (07:00),19.4,21 (07:20),12 (18:40),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,20.0 (15:10),15.8 (09:40),17.9,55 (18:40),46 (18:40),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,27.7 (16:00),16.2 (08:00),22,21 (17:20),14 (19:20),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,26.9 (15:40),16.9 (04:50),21.9,29 (14:30),21 (14:50),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,29.9 (16:30),14.8 (07:30),22.3,26 (17:40),16 (17:40),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,31.1 (15:30),12.4 (08:30),21.8,25 (11:20),19 (11:20),0,0,0,0,0,42.73833333333334,-8.627222222222223
Pontevedra,Pontevedra,29.6 (14:40),15.3 (07:50),22.5,24 (16:40),13 (08:20),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,29.9 (15:00),15.5 (07:40),22.7,32 (18:00),19 (17:50),0,0,0,0,0,42.23861111111111,-8.623888888888889
