Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,14.9 (15:00),6.1 (00:40),10.5,59 (10:40),42 (10:40),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,15.9 (15:40),4.7 (04:50),10.3,33 (03:20),23 (03:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,13.3 (16:20),-0.4 (08:00),6.5,37 (00:10),22 (00:10),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,14.7 (16:00),6.2 (04:10),10.4,31 (09:10),19 (09:30),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,15.0 (12:30),3.0 (04:50),9,21 (00:20),9 (18:10),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,13.5 (14:40),-2.7 (07:10),5.4,24 (13:00),17 (13:00),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,12.7 (14:30),-0.7 (05:00),6,26 (12:10),13 (12:10),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,14.8 (19:40),11.1 (02:50),13,45 (19:30),27 (19:50),8.1,0,0,4.6,3.5,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,14.1 (19:20),10.4 (09:40),12.3,72 (02:10),50 (02:40),12.3,0.1,4.2,5.4,2.6,43.30222222222222,-2.2511111111111113
Machichaco,Bizkaia,13.8 (17:40),7.9 (00:30),10.9,97 (17:50),71 (18:00),7.4,1.8,2.2,1.6,1.8,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,11.7 (19:20),6.6 (00:20),9.1,30 (02:00),17 (02:00),7.7,2.4,1.3,2.9,1.1,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,13.7 (18:30),8.8 (00:10),11.3,52 (19:20),34 (19:20),11.7,2.2,5.6,2.7,1.2,43.29805555555556,-2.906388888888889
Santander Aeropuerto,Cantabria,15.0 (16:50),10.4 (03:40),12.7,58 (17:20),36 (17:40),4.5,3.4,0.1,0.5,0.5,43.42388888888889,-3.8255555555555554
Santander,Cantabria,14.6 (16:50),10.4 (04:20),12.5,63 (17:40),42 (17:30),2,0.6,0.4,0.8,0.2,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,15.6 (16:00),10.1 (03:20),12.9,49 (17:50),30 (17:50),6.4,1.6,0.1,4.6,0.1,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.5 (14:40),10.0 (00:10),13.3,43 (14:00),24 (19:00),6.4,1,0.2,4.8,0.4,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,14.4 (16:50),9.7 (00:50),12,25 (14:40),13 (13:30),8,1,2.4,3.2,1.4,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,15.4 (15:20),9.6 (01:30),12.5,48 (15:20),31 (15:20),7.9,0.5,3.3,4.1,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,12.6 (17:50),7.5 (02:50),10.1,19 (02:20),12 (13:00),7.6,1,1.8,4.8,0,43.35333333333333,-5.874166666666667
Cabo Busto,Asturias,15.7 (15:00),10.5 (00:10),13.1,68 (12:10),49 (12:10),2.8,0,0,2.6,0.2,43.56916666666667,-6.47
Castropol,Asturias,14.3 (16:00),9.0 (01:30),11.7,51 (11:10),22 (09:10),3.5,0,0.7,2.8,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,13.6 (14:00),10.7 (22:40),12.2,85 (09:00),69 (11:40),2.2,0,1.4,0.8,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,15.0 (13:30),11.4 (01:10),13.2,43 (11:40),27 (12:10),7.2,0,6.2,0.8,0.2,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,13.8 (13:50),10.6 (01:50),12.2,52 (12:30),44 (12:00),28.6,0.2,28,0.4,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,11.6 (17:10),6.9 (02:40),9.3,37 (10:10),21 (10:50),4.6,0,2,2.3,0.3,42.88805555555555,-8.410555555555556
Padrón,A Coruña,12.2 (15:20),7.7 (03:50),9.9,17 (09:00),7 (09:50),7.5,0.3,2.5,3.4,1.3,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,12.3 (16:50),8.0 (03:40),10.2,22 (09:00),9 (09:50),7.4,0.1,2.9,3.3,1.1,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,12.3 (17:10),9.1 (06:10),10.7,13 (09:40),6 (02:20),17.6,0,5.2,11,1.4,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,11.2 (23:50),8.6 (04:10),9.9,33 (15:40),21 (16:10),14.7,0,2.6,11.5,0.6,42.23861111111111,-8.623888888888889
Puerto de Leitariegos,Asturias,4.9 (14:20),0.1 (04:10),2.5,65 (02:10),44 (00:30),6.6,1,0,5.2,0.4,42.994166666666665,-6.4141666666666675
Ponferrada,León,10.4 (16:30),7.4 (02:50),8.9,29 (03:30),13 (00:10),2.2,0,0,2.2,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,9.9 (16:20),4.7 (03:40),7.3,38 (01:20),16 (01:20),8.4,1.6,1.2,5,0.6,42.339444444444446,-7.2825
Ourense,Ourense,12.6 (16:40),9.0 (07:10),10.8,14 (10:50),8 (10:50),2,0,0,2,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,9.2 (17:10),4.9 (03:50),7,29 (17:10),14 (14:10),2.4,0.4,0,2,0,42.07916666666667,-7.733611111111111
Soria,Soria,9.7 (13:50),0.8 (00:10),5.2,43 (17:20),26 (12:40),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,9.3 (15:20),-1.7 (02:10),3.8,29 (14:50),14 (12:00),2,0,0,2,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,3.1 (23:40),-2.5 (08:40),0.3,47 (03:00),22 (15:10),2,0,0,1.4,0.6,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,7.5 (12:40),-1.5 (08:00),3,22 (04:00),9 (15:50),14.2,0.4,1.6,10.2,2,42.870555555555555,-4.52
Burgos Aeropuerto,Burgos,7.4 (21:00),1.7 (09:00),4.6,35 (16:30),22 (16:30),4.2,1.6,0,2.6,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,8.8 (12:40),0.0 (08:30),4.4,23 (15:10),10 (12:40),1.6,0,0,1.6,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,9.4 (13:20),0.9 (06:50),5.1,42 (05:30),29 (03:10),0.2,0,0,0.2,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,11.6 (14:20),1.9 (08:30),6.8,30 (03:40),16 (00:50),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,10.2 (15:20),2.3 (07:20),6.2,40 (00:30),22 (00:10),0.2,0,0,0,0.2,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,1.9 (20:50),-3.0 (08:30),-0.6,78 (00:30),31 (00:40),2.6,0,0,0.8,1.8,40.793055555555554,-4.010555555555555
Segovia,Segovia,7.6 (16:30),2.1 (04:10),4.8,26 (00:10),15 (18:20),1,0,0,0.2,0.8,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,3.6 (17:00),-3.6 (08:00),0,39 (17:00),23 (00:40),8.6,0,0.4,4.6,3.6,40.355000000000004,-5.69
Zamora,Zamora,11.9 (13:30),4.5 (04:30),8.2,31 (14:50),14 (13:40),0.2,0,0,0.2,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,5.8 (15:40),0.1 (00:00),3,77 (00:40),48 (04:20),21,1.4,2.2,17.2,0.2,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,10.1 (13:20),3.1 (06:10),6.6,42 (09:20),29 (09:20),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,10.9 (16:40),3.3 (08:00),7.1,54 (12:10),39 (12:10),0.2,0,0,0.2,0,42.3775,-6.196666666666667
Benavente,Zamora,13.2 (13:50),3.2 (05:50),8.2,22 (14:50),12 (10:00),0.4,0,0,0.4,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,12.3 (12:20),3.8 (04:50),8.1,42 (23:40),27 (23:30),0.4,0,0,0.2,0.2,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,11.1 (14:40),0.5 (05:40),5.8,35 (15:10),26 (15:10),0.2,0,0,0.2,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,11.2 (13:40),2.9 (06:20),7,28 (14:40),14 (14:50),0,0,0,0,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,14.2 (13:10),0.9 (06:00),7.5,35 (00:30),24 (00:30),0.2,0,0,0.2,0,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,12.4 (13:50),2.9 (07:10),7.6,31 (00:40),16 (00:40),0.4,0,0,0.4,0,40.635,-6.6
Molina de Aragón,Guadalajara,9.8 (14:10),-0.1 (02:30),4.9,40 (12:20),18 (10:50),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,14.5 (15:30),2.3 (05:30),8.4,36 (14:00),18 (21:20),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Aranjuez,Madrid,14.2 (15:00),1.9 (08:40),8,30 (14:10),16 (14:10),0,0,0,0,0,40.06722222222223,-3.546111111111111
Buitrago del Lozoya,Madrid,10.9 (14:30),4.6 (00:30),7.7,41 (10:30),19 (10:40),0.4,0.2,0,0.1,0.1,41.00694444444444,-3.613611111111111
Somosierra,Madrid,4.4 (21:50),-0.5 (08:50),2,40 (00:10),10 (00:10),2.2,0,0,1.6,0.6,41.135555555555555,-3.5802777777777774
Madrid Aeropuerto,Madrid,14.4 (16:40),1.9 (06:30),8.1,35 (14:10),23 (14:10),0,0,0,0,0,40.46666666666667,-3.5555555555555554
Sigüenza,Guadalajara,10.5 (14:00),1.8 (03:50),6.1,35 (10:50),10 (10:50),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,13.3 (16:30),1.7 (08:10),7.5,22 (02:10),13 (11:40),0,0,0,0,0,40.63027777777778,-3.15
Colmenar Viejo,Madrid,11.8 (14:40),1.9 (07:20),6.9,30 (02:30),13 (16:40),0,0,0,0,0,40.69611111111111,-3.765
Puerto Alto del León,Madrid,4.5 (20:30),-1.0 (07:00),1.8,74 (01:40),49 (00:10),1.8,0,0,0.4,1.4,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,13.1 (15:50),5.5 (08:20),9.3,42 (20:00),23 (23:59),0,0,0,0,0,40.42777777777778,-4.25
Talavera de la Reina,Toledo,14.9 (15:20),-0.5 (08:40),7.2,27 (15:20),18 (15:10),0,0,0,0,0,39.95861111111111,-4.863611111111111
Navalmoral de la Mata,Cáceres,17.3 (15:50),2.2 (07:30),9.7,31 (00:10),16 (20:10),0,0,0,0,0,39.94583333333333,-5.5825
Trujillo,Cáceres,14.4 (15:40),4.5 (05:00),9.4,35 (01:20),21 (01:30),0,0,0,0,0,39.4825,-5.854166666666666
Cáceres,Cáceres,15.1 (16:40),6.8 (06:10),11,34 (00:50),21 (23:10),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,16.3 (16:30),7.2 (02:00),11.7,28 (11:10),12 (11:10),0.1,0,0,0,0.1,40.043055555555554,-6.085833333333333
Coria,Cáceres,15.5 (14:30),6.8 (05:50),11.2,34 (04:00),21 (03:50),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,14.7 (17:00),5.0 (08:30),9.8,36 (00:10),23 (00:20),0,0,0,0,0,39.414722222222224,-7.231111111111111
Quintanar de la Orden,Toledo,12.4 (15:50),0.6 (07:50),6.5,26 (14:50),14 (15:00),0,0,0,0,0,39.597500000000004,-3.0469444444444442
Madridejos,Toledo,13.7 (15:50),0.5 (08:20),7.1,36 (16:10),18 (15:40),0,0,0,0,0,39.49194444444444,-3.5283333333333333
San Clemente,Cuenca,11.2 (15:10),-0.6 (07:30),5.3,46 (13:20),33 (13:50),0,0,0,0,0,39.416666666666664,-2.4205555555555556
Tomelloso,Ciudad Real,12.5 (15:30),2.3 (08:20),7.4,30 (15:00),15 (15:00),0,0,0,0,0,39.16916666666666,-3.0075
Ciudad Real,Ciudad Real,13.2 (14:30),2.9 (08:00),8,24 (14:40),12 (15:40),0,0,0,0,0,38.98916666666667,-3.9202777777777778
Valdepeñas,Ciudad Real,12.8 (15:30),1.7 (07:40),7.3,21 (14:20),10 (13:40),0,0,0,0,0,38.75055555555556,-3.391388888888889
Viso del Marqués,Ciudad Real,12.5 (14:20),0.1 (08:30),6.3,30 (15:40),17 (00:30),0,0,0,0,0,38.518055555555556,-3.5666666666666664
Puebla de Don Rodrigo,Ciudad Real,13.8 (14:40),-1.0 (07:40),6.4,5 (07:40),1 (13:40),0,0,0,0,0,39.08861111111111,-4.616388888888888
Herrera del Duque,Badajoz,13.6 (15:40),1.3 (09:00),7.5,20 (20:00),12 (20:00),0,0,0,0,0,39.169444444444444,-5.062222222222222
