Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,26.7 (16:00),16.0 (04:00),21.4,30 (12:30),19 (16:00),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,26.2 (15:00),18.6 (07:40),22.4,35 (15:50),26 (15:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,27.0 (15:10),13.3 (08:00),20.2,24 (17:50),13 (18:20),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,25.2 (11:50),19.3 (06:30),22.3,40 (16:00),30 (14:30),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,27.1 (12:00),17.1 (04:00),22.1,32 (13:10),15 (14:10),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,26.1 (13:40),13.3 (07:50),19.7,42 (16:20),32 (16:20),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,27.1 (15:20),13.7 (07:20),20.4,31 (14:10),14 (13:10),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,21.0 (15:10),15.4 (02:40),18.2,37 (22:50),17 (23:00),6.1,0.2,0.6,0.1,5.2,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,17.8 (15:50),11.1 (08:20),14.4,27 (15:50),17 (16:00),0.9,0.2,0.1,0,0.6,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,20.2 (14:40),15.2 (08:30),17.7,50 (22:20),26 (22:20),1.7,0.5,0,0,1.2,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,19.8 (15:10),13.1 (08:30),16.4,26 (16:50),10 (16:50),0.7,0.2,0,0,0.5,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,19.5 (14:20),15.8 (21:30),17.7,57 (20:00),45 (20:10),1.6,0.2,0,0,1.4,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,21.2 (15:00),13.2 (08:10),17.2,30 (18:50),17 (18:50),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,21.4 (14:30),15.4 (08:20),18.4,41 (21:10),27 (21:10),0.1,0,0,0,0.1,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,19.6 (15:00),15.9 (21:10),17.8,37 (22:00),21 (22:30),0.4,0,0,0,0.4,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,21.0 (13:10),14.6 (05:30),17.8,35 (17:10),21 (16:50),0.7,0,0,0,0.7,43.42388888888889,-3.8255555555555554
Santander,Cantabria,20.1 (14:00),15.9 (04:40),18,40 (18:50),27 (18:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,19.8 (12:10),15.0 (04:10),17.4,39 (17:10),26 (17:10),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,18.9 (13:40),15.3 (05:10),17.1,35 (14:10),19 (14:10),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,19.8 (13:20),11.3 (23:50),15.5,28 (14:30),13 (14:00),0,0,0,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,18.5 (18:00),14.6 (07:30),16.6,36 (14:50),23 (13:40),0,0,0,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,18.3 (12:10),13.2 (23:59),15.7,37 (13:40),27 (13:50),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.2 (13:50),12.0 (07:40),14.6,26 (14:50),17 (14:50),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,21.5 (16:20),11.7 (04:30),16.6,18 (19:30),9 (20:40),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,19.7 (15:30),13.3 (09:00),16.5,61 (23:40),51 (23:20),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,20.4 (14:10),13.3 (07:10),16.8,36 (18:00),21 (17:50),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,18.8 (17:50),12.7 (04:50),15.7,35 (00:10),27 (00:50),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,18.0 (18:20),8.5 (08:40),13.3,24 (17:10),14 (17:10),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,20.7 (13:30),9.2 (09:20),15,15 (07:20),12 (07:30),0,0,0,0,0,42.73833333333334,-8.627222222222223
Pontevedra,Pontevedra,20.9 (14:40),11.0 (08:40),15.9,29 (17:50),18 (17:50),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,19.7 (13:30),10.9 (09:10),15.3,30 (16:00),21 (17:10),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,20.4 (16:00),8.7 (04:40),14.5,23 (16:20),13 (15:50),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,14.3 (13:10),4.0 (23:59),9.2,30 (18:10),21 (18:10),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,21.9 (15:10),13.2 (06:50),17.5,28 (17:30),15 (16:20),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,17.7 (17:40),9.8 (22:40),13.8,31 (15:40),14 (15:40),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,23.6 (16:10),13.4 (23:59),18.5,18 (16:30),9 (17:00),0,0,0,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,18.3 (17:10),8.6 (23:59),13.4,29 (17:30),17 (15:50),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,22.7 (17:50),9.7 (08:30),16.2,24 (16:30),13 (19:00),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,23.1 (18:10),8.6 (08:20),15.9,25 (16:50),11 (17:10),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,15.1 (13:40),10.1 (23:59),12.6,47 (03:00),33 (01:40),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,21.3 (16:00),8.7 (23:59),15,40 (15:50),19 (15:50),3.4,3.2,0,0.2,0,42.870555555555555,-4.52
