Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,22.4 (15:40),12.1 (03:20),17.3,32 (16:00),24 (16:00),2.9,0,0,0,2.9,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,21.6 (16:00),14.1 (07:00),17.9,54 (11:20),43 (11:30),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,25.1 (18:20),9.9 (07:40),17.5,28 (20:40),15 (20:10),0.6,0,0,0,0.6,41.72,1.840277777777778
Barcelona,Barcelona,18.7 (12:30),15.2 (04:50),17,43 (11:10),36 (11:30),0.2,0,0,0,0.2,41.39055555555556,2.2
Arenys de Mar,Barcelona,24.0 (13:30),12.8 (06:50),18.4,24 (15:10),7 (07:00),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,22.0 (13:30),10.3 (06:10),16.2,29 (14:50),15 (15:00),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,23.2 (12:10),11.7 (03:20),17.5,28 (12:50),18 (16:00),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,23.5 (12:30),12.0 (03:20),17.8,29 (08:50),16 (04:10),0.2,0,0,0,0.2,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,28.9 (00:00),12.1 (23:50),20.5,68 (12:20),44 (11:30),8.7,0,0,0.1,8.6,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,25.1 (15:00),11.6 (23:40),18.4,77 (11:10),44 (11:20),8.2,0,0,0.1,8.1,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,24.3 (00:10),9.9 (23:50),17.1,63 (11:10),35 (11:10),5.6,0,0,0,5.6,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,25.2 (13:20),10.8 (23:50),18,63 (21:40),52 (21:40),11.8,0,0,2.6,9.2,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,24.2 (12:20),11.4 (21:40),17.8,50 (21:30),21 (16:30),6.9,0,0,0.9,6,43.375,-3.0216666666666665
Güeñes,Bizkaia,22.8 (11:50),9.4 (22:30),16.1,48 (09:40),23 (16:20),8.2,0,0,0.1,8.1,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,25.0 (10:00),11.0 (23:20),18,50 (11:40),27 (13:40),9.5,0,0,0.5,9,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,26.3 (14:00),11.2 (21:30),18.7,45 (16:10),28 (16:00),4.6,0,0,0,4.6,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,26.2 (12:30),10.0 (06:00),18.1,58 (12:50),40 (12:50),4.6,0,0,0,4.6,43.42388888888889,-3.8255555555555554
Santander,Cantabria,23.0 (11:30),11.8 (21:40),17.4,50 (09:30),32 (14:50),7.2,0,0,0,7.2,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,17.3 (12:30),11.3 (06:00),14.3,33 (13:00),25 (14:00),3.5,0,0,0.2,3.3,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.8 (11:40),11.6 (05:40),14.7,31 (12:30),22 (12:40),5,0,0,0.4,4.6,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.6 (11:50),8.3 (07:00),13,30 (13:10),18 (12:30),12,0,0,7.2,4.8,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,15.1 (10:50),11.0 (06:40),13.1,59 (12:30),40 (12:20),2.1,0,0,1.5,0.6,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.9 (12:00),10.6 (06:30),14.3,50 (19:00),21 (20:40),4.2,0,0,4.2,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,17.6 (16:20),11.2 (22:30),14.4,47 (18:20),25 (18:20),3.7,0,1.4,1.5,0.8,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,16.7 (00:30),10.4 (09:00),13.6,73 (18:10),61 (19:10),4,0,3.2,0,0.8,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.0 (16:30),11.2 (08:40),14.1,55 (06:50),32 (06:40),9.2,0,6.2,1,2,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,16.7 (15:00),10.0 (05:20),13.4,72 (03:20),42 (16:10),21.8,17.7,3.8,0,0.3,43.160555555555554,-9.210833333333333
