Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,31.1 (14:20),20.6 (06:10),25.9,30 (15:00),17 (14:50),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,29.7 (15:30),22.8 (06:40),26.3,41 (15:20),31 (16:50),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,35.5 (17:00),18.4 (07:30),26.9,35 (16:30),18 (16:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,28.9 (11:10),24.3 (03:10),26.6,42 (16:00),32 (15:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,31.1 (11:00),22.1 (06:00),26.6,33 (14:20),17 (14:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,35.5 (16:10),18.7 (06:00),27.1,46 (17:30),32 (17:50),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,34.1 (15:40),19.4 (06:00),26.7,36 (22:20),15 (22:20),0.6,0,0,0,0.6,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,27.0 (17:10),18.2 (07:00),22.6,24 (13:40),19 (13:30),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,29.3 (14:50),13.5 (04:30),21.4,22 (16:50),12 (21:50),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,25.9 (17:00),16.4 (05:50),21.1,24 (21:40),17 (14:50),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,26.2 (12:10),13.4 (07:10),19.8,32 (16:30),15 (16:50),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,22.3 (09:10),17.8 (06:20),20,50 (23:00),41 (23:00),0,0,0,0,0,43.45388888888889,-2.7527777777777778
