Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,20.4 (13:10),6.8 (07:20),13.6,24 (13:40),18 (13:40),0,0,0,0,0,41.144999999999996,1.163611111111111
Manresa,Barcelona,23.7 (15:50),4.1 (09:00),13.9,31 (17:40),16 (17:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,15.9 (15:00),10.5 (07:40),13.2,19 (10:10),14 (11:00),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,18.3 (13:20),8.4 (06:20),13.3,17 (13:30),6 (03:00),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,16.1 (12:20),4.0 (06:00),10.1,23 (15:00),15 (13:50),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,21.4 (14:00),2.9 (07:10),12.1,33 (14:40),24 (16:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,21.9 (16:10),3.9 (07:40),12.9,44 (15:00),14 (13:30),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,27.7 (16:50),15.3 (23:59),21.5,52 (01:30),37 (01:30),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,21.6 (16:10),12.6 (07:00),17.1,37 (03:40),14 (02:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,28.4 (17:00),16.3 (05:00),22.3,58 (11:00),38 (00:30),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,25.0 (16:20),16.0 (22:10),20.5,64 (05:10),31 (05:10),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,26.5 (15:20),17.5 (05:30),22,46 (11:00),25 (11:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,26.2 (16:50),15.9 (07:50),21.1,37 (10:50),17 (11:00),0.1,0,0,0,0.1,43.375,-3.0216666666666665
Güeñes,Bizkaia,24.8 (17:30),14.3 (09:20),19.5,30 (12:30),17 (12:30),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,27.1 (16:50),16.9 (08:00),22,55 (00:30),34 (00:20),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,27.2 (16:10),17.4 (04:50),22.3,56 (07:10),35 (07:20),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,26.8 (14:40),13.2 (23:30),20,41 (09:50),24 (10:10),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,25.3 (14:00),16.1 (19:40),20.7,42 (06:30),31 (06:30),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,19.9 (13:30),13.4 (23:59),16.6,24 (15:10),17 (04:50),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,19.4 (12:40),12.9 (04:40),16.1,17 (13:10),13 (13:00),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,22.9 (16:50),10.7 (05:40),16.8,14 (17:30),10 (17:20),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,21.8 (13:50),13.9 (08:20),17.8,26 (04:40),18 (10:20),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,23.5 (16:20),13.1 (05:40),18.3,20 (18:40),11 (18:20),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,19.1 (14:00),11.5 (08:00),15.3,25 (09:00),13 (07:10),0,0,0,0,0,43.52472222222222,-7.0313888888888885
