Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,19.0 (12:50),6.2 (06:20),12.6,33 (13:30),20 (15:50),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,17.9 (11:10),9.7 (06:00),13.8,37 (12:30),24 (12:10),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,20.5 (15:50),4.9 (07:30),12.7,34 (17:30),17 (17:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,17.4 (12:10),10.5 (06:20),13.9,39 (18:20),23 (12:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,19.9 (12:00),8.0 (06:20),13.9,20 (11:20),9 (03:10),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,17.6 (12:20),4.4 (04:20),11,28 (13:50),17 (14:10),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,20.4 (14:10),4.1 (06:30),12.2,39 (14:20),27 (16:20),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,19.9 (14:40),5.2 (07:00),12.5,31 (16:20),14 (15:30),0.1,0,0.1,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,16.8 (18:20),6.7 (06:50),11.7,21 (12:50),14 (12:40),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,16.1 (16:00),1.3 (07:20),8.7,20 (14:00),10 (14:50),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,16.8 (19:50),6.1 (06:10),11.4,25 (15:10),18 (15:10),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,15.5 (13:00),3.4 (05:10),9.5,30 (18:30),13 (16:40),0,0,0,0,0,43.20944444444445,-2.413333333333333
