Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,24.0 (16:50),12.4 (07:20),18.2,45 (15:50),33 (16:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,21.9 (20:00),15.2 (05:10),18.5,52 (13:30),43 (14:40),1.1,1.1,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,25.1 (17:30),12.7 (07:00),18.9,46 (20:30),24 (17:30),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,22.3 (19:50),14.6 (04:30),18.4,48 (21:20),39 (21:30),0.3,0.3,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,22.3 (12:40),13.0 (05:30),17.6,34 (14:20),14 (15:20),1.1,1,0.1,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,20.8 (16:20),12.1 (06:30),16.4,35 (14:20),18 (15:10),1,0.9,0.1,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,24.9 (15:50),11.5 (06:30),18.2,45 (17:30),30 (17:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,24.3 (15:00),10.9 (06:10),17.6,29 (16:00),12 (12:50),0.3,0,0,0.3,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,18.1 (17:50),11.1 (05:00),14.6,42 (09:30),27 (09:20),6.8,0,5.4,1.4,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,12.6 (17:20),7.7 (04:20),10.2,40 (19:50),21 (10:30),2.3,0,1.4,0.9,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,18.6 (17:10),10.1 (04:30),14.4,68 (08:40),49 (08:40),2.3,0,1.9,0.4,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,16.8 (17:50),7.5 (04:20),12.1,36 (14:00),12 (13:50),0.9,0,0.8,0.1,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,16.2 (04:50),10.9 (00:20),13.6,82 (08:00),69 (08:00),2.8,0,2.6,0.2,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,18.0 (15:30),11.3 (00:10),14.7,49 (11:20),27 (15:30),1,0,0.9,0,0.1,43.375,-3.0216666666666665
Güeñes,Bizkaia,16.8 (16:40),6.9 (03:30),11.8,43 (17:20),23 (17:20),1.1,0,1.1,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,18.2 (16:00),9.3 (02:10),13.8,52 (08:10),38 (18:10),1.7,0,1.7,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,17.9 (18:00),10.5 (07:50),14.2,58 (21:10),32 (07:40),3.2,0,3.2,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,18.5 (16:10),11.3 (07:10),14.9,55 (14:20),35 (14:20),2.8,0,2.8,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,16.9 (17:00),11.4 (07:10),14.1,57 (13:20),37 (10:50),1.8,0,1.8,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,17.1 (16:20),11.1 (08:00),14.1,61 (06:30),41 (06:30),1.5,0,1.4,0,0.1,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.8 (16:30),11.8 (07:30),14.8,53 (06:20),30 (18:00),2.6,0,2.6,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,18.7 (15:00),11.8 (06:00),15.3,54 (04:10),28 (04:10),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,16.6 (14:30),10.7 (05:00),13.7,65 (04:20),45 (04:00),1.5,1.5,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.1 (15:00),9.9 (06:50),13.5,40 (13:20),23 (17:40),1.6,0.8,0.8,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,18.9 (15:20),11.5 (23:59),15.2,51 (00:40),21 (00:40),0.7,0.7,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,15.3 (16:30),10.6 (14:50),13,83 (00:10),73 (04:40),1.4,1.2,0,0.2,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.3 (16:40),12.1 (02:30),14.7,49 (01:50),28 (01:50),3.4,2.4,0.4,0.6,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,17.8 (13:50),11.4 (06:50),14.6,51 (00:10),39 (00:20),0.8,0.8,0,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,15.5 (15:10),8.6 (23:50),12.1,39 (17:00),26 (19:00),5.8,5.8,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,17.8 (16:10),9.7 (07:20),13.7,30 (01:40),11 (01:40),6.1,6,0.1,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,17.4 (15:20),10.2 (07:30),13.8,31 (00:10),13 (00:10),4.8,4.8,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,18.2 (16:40),11.5 (08:00),14.9,40 (03:00),19 (03:00),6,6,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,16.4 (17:40),11.0 (23:50),13.7,42 (02:50),24 (02:50),17.8,17.4,0.4,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,16.8 (18:10),7.1 (23:59),11.9,32 (12:30),13 (03:30),3.6,3.6,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,9.4 (16:40),2.6 (23:30),6,46 (08:10),23 (18:50),2,0.4,1.6,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,17.6 (18:40),9.9 (07:50),13.8,30 (10:10),15 (17:20),1,0.2,0.8,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,15.7 (19:00),7.4 (23:59),11.5,39 (07:10),17 (03:50),2,0.8,1.2,0,0,42.339444444444446,-7.2825
Ourense,Ourense,20.4 (18:30),12.9 (04:10),16.6,26 (14:30),11 (10:40),0.4,0.4,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,19.6 (16:10),10.1 (08:40),14.9,26 (11:30),10 (11:30),4.1,4,0,0.1,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,15.0 (19:40),6.8 (23:59),10.9,32 (07:10),21 (12:00),2.8,2.6,0.2,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,16.8 (19:00),5.1 (03:30),10.9,39 (12:00),21 (13:50),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,21.6 (17:30),5.8 (02:20),13.7,41 (17:00),18 (14:10),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,10.2 (19:40),1.0 (07:40),5.6,48 (05:40),18 (04:50),0.6,0,0,0.6,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,18.8 (16:00),4.7 (23:59),11.7,38 (11:00),21 (12:10),0,0,0,0,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,16.8 (17:30),2.0 (04:20),9.4,37 (18:10),21 (05:00),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,19.4 (16:40),5.1 (00:30),12.2,49 (14:40),30 (18:50),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,20.8 (16:10),7.0 (07:10),13.9,49 (08:50),15 (20:50),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,19.2 (18:50),6.2 (03:50),12.7,45 (02:50),32 (02:50),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,21.3 (17:40),8.9 (03:50),15.1,46 (14:40),19 (13:30),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,18.4 (18:20),5.5 (05:30),11.9,32 (12:00),18 (18:00),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,8.6 (19:30),0.0 (05:20),4.3,43 (06:50),22 (06:40),1.4,0,0,1.4,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,17.8 (19:10),5.3 (05:10),11.5,32 (19:10),19 (18:30),0,0,0,0,0,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,8.8 (16:30),0.7 (00:20),4.8,37 (07:10),23 (07:10),0,0,0,0,0,40.355000000000004,-5.69
Zamora,Zamora,20.6 (17:30),9.7 (03:00),15.2,33 (15:40),15 (14:40),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,9.6 (15:20),2.6 (23:59),6.1,43 (11:30),28 (11:30),3.4,0,1.8,0,1.6,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,17.4 (18:20),7.3 (23:59),12.3,54 (11:10),37 (00:30),0,0,0,0,0,42.58833333333334,-5.651111111111112
Benavente,Zamora,20.8 (16:40),8.9 (07:00),14.8,42 (16:00),18 (04:20),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,18.9 (16:20),7.6 (06:30),13.2,50 (00:10),24 (00:20),0,0,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,19.8 (17:50),6.2 (03:50),13,39 (10:40),27 (14:30),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,20.4 (18:10),7.2 (04:10),13.8,39 (17:30),16 (13:50),0,0,0,0,0,40.9575,-5.662222222222223
