Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,12.7 (22:40),6.6 (07:40),9.6,93 (00:40),63 (01:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,13.4 (13:40),6.3 (05:30),9.8,54 (14:50),39 (14:40),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,9.0 (14:40),1.7 (10:00),5.4,42 (00:10),22 (00:10),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,11.9 (14:00),6.4 (06:20),9.1,46 (07:30),26 (07:40),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,13.8 (11:50),2.9 (07:30),8.4,34 (16:10),13 (00:50),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,11.9 (14:00),-2.3 (08:10),4.8,24 (17:00),12 (16:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,10.2 (13:10),-1.2 (07:10),4.5,17 (12:30),9 (12:50),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,14.7 (15:30),8.0 (03:40),11.3,80 (23:50),45 (23:30),93.9,0.5,11.2,41.7,40.5,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,13.9 (16:10),7.3 (02:10),10.6,68 (15:20),35 (15:10),65.4,4.5,21.5,18.8,20.6,43.30222222222222,-2.2511111111111113
Machichaco,Bizkaia,14.1 (21:50),7.0 (01:50),10.6,126 (19:10),91 (15:30),39,1.4,7,20.6,10,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,13.7 (22:10),3.7 (00:20),8.7,58 (20:50),28 (20:50),50.2,10,19.8,15.4,5,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,15.7 (22:20),6.8 (03:10),11.3,72 (20:20),42 (20:30),56.9,10.2,29.7,12.8,4.2,43.29805555555556,-2.906388888888889
Santander Aeropuerto,Cantabria,15.4 (21:40),6.4 (01:40),10.9,68 (11:30),45 (11:50),59.2,27.6,18.7,11.4,1.5,43.42388888888889,-3.8255555555555554
Santander,Cantabria,14.4 (22:10),7.4 (01:20),10.9,105 (15:10),55 (11:50),46,13.2,16.6,13.8,2.4,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,16.8 (22:10),8.7 (00:50),12.7,67 (10:20),37 (20:30),18.9,2.4,9,7.1,0.4,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.5 (22:00),8.3 (00:20),12.9,66 (16:20),35 (20:00),18.8,2.6,9.4,6.8,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,15.1 (22:50),7.6 (01:00),11.4,48 (11:30),23 (09:00),21.4,4.6,14,2.6,0.2,43.52305555555555,-5.621111111111111
