Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,25.3 (14:40),14.9 (09:10),20.1,48 (08:50),31 (08:50),5.1,0,5.1,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,26.3 (15:40),17.6 (11:40),21.9,32 (08:50),24 (09:10),2.8,0.1,2.7,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,23.8 (20:10),15.5 (12:00),19.6,25 (10:30),14 (10:30),4,0,2,2,0,41.72,1.840277777777778
Barcelona,Barcelona,26.1 (15:50),17.6 (12:00),21.9,39 (10:20),24 (18:50),1,0,0.9,0.1,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,27.0 (15:50),17.3 (04:30),22.1,37 (11:30),13 (11:30),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,28.2 (15:30),13.9 (05:20),21.1,33 (11:30),23 (11:40),0.1,0,0,0.1,0,41.91166666666666,2.763333333333333
Porqueres,Girona,25.4 (18:30),14.1 (05:00),19.8,30 (12:10),16 (12:10),1.3,0,0,0,1.3,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,16.3 (00:00),14.8 (15:20),15.5,41 (11:10),24 (09:00),38.5,11.4,16.3,3.6,7.2,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,12.9 (12:50),9.8 (09:50),11.3,32 (17:30),22 (17:30),20.6,3.4,6.2,0.1,10.9,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,18.3 (14:40),14.6 (09:30),16.4,42 (03:20),24 (03:40),29.9,5.3,5.6,0.2,18.8,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,15.2 (14:10),12.6 (09:50),13.9,30 (01:20),11 (20:00),17.7,1.9,2.6,0.2,13,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,15.7 (05:30),13.6 (15:30),14.7,80 (20:50),61 (20:50),48,22.6,2.8,5.4,17.2,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,19.7 (01:00),15.5 (22:00),17.6,44 (01:40),27 (21:10),24,17.6,2,2.2,2.2,43.375,-3.0216666666666665
Güeñes,Bizkaia,15.5 (16:40),11.7 (08:10),13.6,36 (11:30),22 (11:30),9.4,7,0,2.4,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,16.3 (11:20),14.0 (08:00),15.1,35 (02:20),25 (05:30),29.2,23.2,0.3,3,2.7,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,18.7 (17:10),13.7 (21:30),16.2,72 (20:50),30 (05:00),11.7,9.3,0.4,0.4,1.6,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,15.7 (02:30),13.6 (14:00),14.7,42 (03:10),29 (03:10),18.7,11.3,1.6,3.5,2.3,43.42388888888889,-3.8255555555555554
Santander,Cantabria,16.2 (02:10),13.4 (13:00),14.8,54 (03:50),44 (03:50),21.2,15.8,1,2.8,1.6,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,15.9 (01:10),13.8 (07:00),14.8,50 (02:10),38 (01:20),0.9,0.9,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.9 (11:20),13.9 (07:10),15.4,41 (00:40),30 (01:00),0.2,0,0,0.2,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,16.6 (18:40),11.8 (06:40),14.2,26 (14:00),15 (14:00),0.2,0,0,0.2,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,16.5 (11:10),11.2 (07:10),13.8,24 (07:20),14 (11:10),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,15.9 (15:40),10.5 (07:20),13.2,19 (18:20),12 (16:30),0,0,0,0,0,43.35333333333333,-5.874166666666667
Estaca de Bares,A Coruña,17.2 (16:10),14.2 (06:50),15.7,42 (23:30),35 (23:59),0.2,0,0.2,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.6 (10:50),13.8 (05:00),15.7,43 (17:50),27 (15:10),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,16.3 (17:00),12.4 (05:20),14.3,66 (21:00),41 (21:00),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,18.5 (18:40),10.1 (05:20),14.3,37 (12:50),19 (20:10),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,21.8 (16:10),9.7 (06:40),15.7,38 (11:40),20 (13:20),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,19.3 (15:10),12.2 (07:10),15.7,33 (20:40),11 (19:50),0,0,0,0,0,42.876111111111115,-8.555833333333334
Vigo Aeropuerto,Pontevedra,22.4 (16:50),10.7 (04:40),16.5,42 (18:10),29 (18:10),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,17.7 (18:10),6.5 (07:20),12.1,35 (17:50),20 (16:40),0,0,0,0,0,43.11138888888889,-7.4575000000000005
A Pobra de Trives,Ourense,20.5 (17:50),5.0 (07:20),12.8,30 (16:50),12 (19:20),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,23.6 (16:30),8.3 (07:20),16,24 (12:50),9 (14:20),0,0,0,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,19.9 (18:20),4.3 (07:40),12.1,30 (19:30),17 (19:20),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,17.3 (18:30),9.7 (08:40),13.5,32 (10:20),18 (10:20),0.8,0,0.2,0.6,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,20.1 (16:00),10.4 (06:30),15.3,30 (20:10),13 (14:30),0.2,0.2,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,13.1 (19:20),4.7 (07:40),8.9,29 (04:10),18 (04:20),1.2,1.2,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,16.8 (17:00),5.7 (07:10),11.2,34 (19:00),16 (08:30),0,0,0,0,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,19.0 (17:00),8.1 (23:59),13.6,35 (16:10),17 (18:30),0.2,0,0.2,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,17.2 (14:20),8.5 (23:40),12.9,35 (15:30),25 (18:40),0.2,0.2,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,18.9 (15:40),9.4 (07:10),14.1,30 (19:20),14 (19:20),0.6,0,0.6,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,19.4 (17:10),9.0 (07:20),14.2,32 (22:10),21 (20:40),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,22.0 (18:20),12.0 (06:30),17,30 (23:40),13 (21:40),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,19.4 (15:10),9.6 (06:00),14.5,28 (16:20),14 (15:40),0.2,0.2,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,13.1 (17:30),4.7 (08:20),8.9,29 (15:50),14 (00:30),0,0,0,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,19.8 (18:10),8.9 (07:00),14.3,26 (23:40),17 (23:50),0,0,0,0,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,23.4 (18:30),9.8 (07:30),16.6,33 (09:30),18 (09:20),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,6.4 (17:20),3.0 (06:10),4.7,59 (01:00),28 (00:20),1.4,1.4,0,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,19.2 (18:20),6.7 (05:30),13,37 (12:40),21 (20:00),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,17.7 (19:20),4.4 (06:50),11.1,24 (13:00),13 (00:10),0,0,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,21.9 (17:40),9.9 (07:00),15.9,32 (08:50),17 (22:50),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,21.6 (18:20),8.5 (07:30),15.1,28 (17:40),13 (15:40),0.2,0.2,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,22.2 (17:30),10.1 (06:40),16.2,32 (00:10),21 (00:10),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,22.9 (19:00),12.0 (06:50),17.4,29 (09:00),13 (09:00),0,0,0,0,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,23.0 (17:50),10.1 (07:00),16.6,39 (08:40),25 (08:50),0,0,0,0,0,41.01138888888889,-6.437777777777778
Molina de Aragón,Guadalajara,18.5 (16:50),10.0 (23:59),14.3,27 (18:00),14 (18:00),4.4,3.4,0.6,0.4,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,24.7 (16:50),12.3 (06:40),18.5,32 (12:20),16 (17:20),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Aranjuez,Madrid,26.4 (17:30),12.3 (03:40),19.3,35 (17:20),11 (17:30),0,0,0,0,0,40.06722222222223,-3.546111111111111
Buitrago del Lozoya,Madrid,20.4 (18:40),10.9 (07:30),15.6,28 (11:00),17 (11:00),0.5,0.5,0,0,0,41.00694444444444,-3.613611111111111
Madrid Aeropuerto,Madrid,25.2 (19:10),14.0 (01:00),19.6,32 (15:10),17 (14:00),0,0,0,0,0,40.46666666666667,-3.5555555555555554
Sigüenza,Guadalajara,18.6 (17:00),10.6 (06:50),14.6,29 (11:00),13 (11:00),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,23.5 (19:10),13.5 (06:30),18.5,33 (14:00),15 (09:40),0,0,0,0,0,40.63027777777778,-3.15
Colmenar Viejo,Madrid,20.4 (18:20),10.6 (05:20),15.5,35 (12:40),17 (15:20),0.2,0,0,0.2,0,40.69611111111111,-3.765
Toledo,Toledo,27.7 (19:00),10.9 (06:50),19.3,33 (18:10),18 (23:10),0,0,0,0,0,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,15.8 (18:40),5.9 (09:10),10.9,37 (05:00),24 (09:40),0.1,0.1,0,0,0,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,23.7 (17:00),11.3 (02:00),17.5,29 (11:10),17 (11:50),0,0,0,0,0,40.42777777777778,-4.25
Talavera de la Reina,Toledo,29.6 (18:40),11.1 (05:00),20.4,26 (12:50),11 (12:50),0,0,0,0,0,39.95861111111111,-4.863611111111111
Trujillo,Cáceres,27.7 (18:10),11.6 (06:00),19.7,28 (20:50),12 (17:40),0,0,0,0,0,39.4825,-5.854166666666666
Cáceres,Cáceres,27.6 (17:30),13.2 (07:20),20.4,30 (18:00),14 (17:40),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,28.4 (17:20),15.0 (07:40),21.7,25 (17:50),9 (22:50),0,0,0,0,0,40.043055555555554,-6.085833333333333
Coria,Cáceres,28.2 (18:30),13.8 (07:20),21,32 (12:20),16 (10:50),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,28.3 (18:50),11.8 (07:30),20,31 (20:20),18 (20:00),0,0,0,0,0,39.414722222222224,-7.231111111111111
Madridejos,Toledo,25.5 (17:50),10.2 (06:40),17.8,35 (18:10),15 (11:30),0,0,0,0,0,39.49194444444444,-3.5283333333333333
San Clemente,Cuenca,26.3 (18:00),11.8 (08:50),19,50 (00:10),33 (00:10),2.4,2.4,0,0,0,39.416666666666664,-2.4205555555555556
Tomelloso,Ciudad Real,27.0 (18:40),11.2 (07:00),19.1,19 (15:50),10 (19:00),1.2,1.2,0,0,0,39.16916666666666,-3.0075
Ciudad Real,Ciudad Real,28.1 (19:30),11.8 (06:50),20,22 (15:50),11 (12:10),0,0,0,0,0,38.98916666666667,-3.9202777777777778
Valdepeñas,Ciudad Real,25.9 (16:40),11.9 (07:00),18.9,21 (16:10),7 (17:00),0,0,0,0,0,38.75055555555556,-3.391388888888889
Viso del Marqués,Ciudad Real,26.9 (16:40),9.4 (06:50),18.1,26 (20:00),14 (20:00),0,0,0,0,0,38.518055555555556,-3.5666666666666664
Puebla de Don Rodrigo,Ciudad Real,29.3 (15:20),8.7 (07:00),19,21 (18:00),10 (16:50),0,0,0,0,0,39.08861111111111,-4.616388888888888
Herrera del Duque,Badajoz,29.0 (19:00),10.5 (05:30),19.8,27 (18:10),15 (16:00),0,0,0,0,0,39.169444444444444,-5.062222222222222
