Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,19.3 (16:20),4.9 (06:50),12.1,55 (21:40),36 (13:50),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,16.8 (15:00),7.9 (07:10),12.3,42 (14:40),32 (15:10),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,17.1 (16:40),1.2 (07:20),9.2,31 (15:40),17 (15:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,15.4 (17:00),8.7 (07:20),12,36 (15:20),28 (15:10),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,16.3 (13:00),7.7 (23:50),12,22 (13:40),11 (06:10),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,14.2 (13:30),4.0 (03:40),9.1,29 (13:30),16 (14:40),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,16.8 (15:10),1.4 (07:10),9.1,24 (15:20),17 (16:40),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,16.9 (17:10),1.8 (06:30),9.3,20 (12:10),11 (17:40),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,12.8 (16:20),9.0 (07:30),10.9,32 (17:40),19 (16:50),1.1,0,0,0.7,0.4,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,8.0 (16:40),3.1 (04:40),5.5,29 (18:40),16 (17:30),0.4,0,0.2,0,0.2,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,15.9 (14:40),8.9 (07:30),12.4,38 (20:00),28 (15:10),0.1,0,0.1,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,11.3 (16:00),5.1 (04:40),8.2,20 (17:10),12 (17:10),0.1,0,0.1,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,11.7 (17:10),9.4 (09:30),10.5,40 (13:40),34 (13:40),0.2,0,0.2,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,14.7 (15:00),9.0 (07:10),11.8,28 (18:30),15 (18:30),0,0,0,0,0,43.375,-3.0216666666666665
Bilbao Aeropuerto,Bizkaia,12.8 (15:40),6.6 (06:40),9.7,30 (14:30),22 (14:30),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,13.5 (16:00),8.2 (04:30),10.8,26 (13:20),18 (13:20),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,15.0 (17:00),5.2 (06:00),10.1,24 (16:20),15 (18:20),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,13.3 (16:00),8.6 (06:40),11,21 (11:30),16 (18:40),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,13.4 (17:00),6.8 (07:50),10.1,20 (12:50),13 (13:40),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,14.6 (17:50),7.7 (07:30),11.2,14 (18:40),11 (18:50),0,0,0,0,0,43.42027777777778,-4.748055555555555
Asturias Aeropuerto,Asturias,13.0 (13:50),5.4 (07:40),9.2,30 (14:40),17 (13:50),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,13.9 (14:20),4.9 (08:00),9.4,28 (20:20),18 (20:00),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,14.9 (13:20),3.4 (07:10),9.1,33 (15:20),13 (15:10),0.1,0,0.1,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,12.1 (13:20),8.3 (07:00),10.2,48 (23:30),36 (23:10),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,14.9 (14:10),6.5 (07:40),10.7,38 (16:00),24 (16:00),0,0,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,13.2 (14:30),8.0 (07:20),10.6,54 (16:00),35 (15:20),0,0,0,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,19.4 (15:50),3.5 (05:20),11.4,24 (15:40),12 (18:00),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,21.3 (15:50),3.3 (07:40),12.3,32 (14:00),22 (12:50),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,20.7 (15:30),5.0 (08:00),12.9,31 (19:10),13 (19:00),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,21.0 (18:10),5.0 (06:50),13,22 (18:10),10 (05:00),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,19.8 (15:10),5.8 (08:00),12.8,30 (16:50),17 (23:00),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,16.4 (14:50),-0.3 (07:10),8,25 (16:00),11 (13:50),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,11.0 (11:40),-0.1 (05:20),5.4,30 (16:10),17 (15:50),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,20.9 (17:00),0.6 (07:50),10.7,23 (19:50),12 (19:50),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,17.4 (15:30),0.0 (07:20),8.7,26 (20:30),15 (20:30),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,22.1 (17:00),1.8 (08:00),12,19 (18:50),8 (16:20),0,0,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,22.8 (16:50),0.4 (07:50),11.6,23 (17:30),10 (17:10),0,0,0,0,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,17.5 (16:30),-3.2 (08:00),7.1,25 (18:20),16 (18:20),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,14.9 (15:50),-1.1 (07:30),6.9,37 (20:10),20 (23:50),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,14.2 (15:00),-3.0 (07:50),5.6,45 (19:00),20 (17:50),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,8.7 (16:20),-1.0 (04:10),3.8,42 (16:40),19 (17:50),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,14.8 (15:20),-2.1 (08:10),6.4,38 (13:50),15 (13:20),0,0,0,0,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,15.0 (15:00),-5.0 (07:40),5,41 (16:40),23 (23:59),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,11.1 (16:20),-0.5 (07:40),5.3,42 (14:50),30 (22:10),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,15.6 (16:50),-2.1 (07:30),6.8,30 (21:00),14 (20:50),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,14.5 (16:20),-0.9 (07:20),6.8,29 (21:00),22 (21:10),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,16.3 (17:10),0.9 (07:30),8.6,26 (23:50),10 (21:40),0,0,0,0,0,41.64083333333333,-4.754444444444444
