Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,19.1 (15:30),1.2 (05:20),10.2,63 (17:50),43 (17:50),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,14.7 (16:30),4.1 (07:00),9.4,32 (08:20),22 (08:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,18.2 (17:30),-1.5 (07:50),8.4,29 (20:20),18 (20:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,13.7 (17:30),5.7 (07:00),9.7,55 (13:00),24 (12:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,15.4 (13:00),3.6 (06:10),9.5,26 (14:20),13 (14:10),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,13.9 (13:20),-0.9 (06:20),6.5,32 (13:50),19 (14:30),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,18.3 (14:30),-2.9 (07:10),7.7,41 (15:50),29 (15:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,18.4 (14:10),-1.7 (06:20),8.3,40 (15:20),17 (15:20),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,13.2 (16:10),2.8 (07:20),8,30 (00:20),21 (00:20),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,9.0 (14:20),2.9 (08:00),6,40 (15:30),17 (14:30),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,14.0 (16:20),9.7 (04:20),11.8,45 (00:10),33 (02:30),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,11.1 (15:40),4.2 (07:30),7.7,28 (00:30),14 (16:20),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,12.5 (14:50),8.6 (23:00),10.6,31 (03:20),23 (03:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,14.4 (13:40),9.6 (22:10),12,34 (00:10),15 (04:10),0,0,0,0,0,43.375,-3.0216666666666665
