Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,36.1 (12:40),18.9 (07:10),27.5,30 (12:50),18 (13:40),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,32.5 (11:20),23.1 (06:50),27.8,28 (13:50),22 (13:40),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,40.4 (16:40),19.7 (07:40),30.1,39 (18:30),20 (17:30),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,30.7 (11:50),22.9 (03:50),26.8,17 (02:00),13 (02:00),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,33.7 (14:20),21.0 (03:00),27.4,19 (15:40),7 (15:30),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,37.8 (13:50),20.1 (07:00),28.9,32 (14:10),23 (14:10),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,36.9 (14:40),19.7 (06:20),28.3,28 (14:50),13 (17:00),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.3 (17:00),19.5 (03:10),21.9,21 (19:30),14 (19:50),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,27.4 (15:50),15.2 (08:00),21.3,17 (15:50),9 (16:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,23.5 (18:50),19.1 (07:10),21.3,25 (14:20),18 (14:10),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,21.7 (11:10),15.8 (07:30),18.8,24 (14:20),12 (13:50),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,22.7 (17:20),17.9 (06:50),20.3,35 (14:30),28 (14:30),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,26.6 (16:20),16.4 (07:20),21.5,18 (14:40),8 (14:30),0.1,0,0.1,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,27.1 (14:20),16.9 (07:20),22,28 (15:20),19 (15:20),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,22.5 (10:30),17.2 (06:40),19.9,31 (13:30),19 (15:30),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,24.2 (16:20),18.1 (06:40),21.2,35 (13:00),25 (13:00),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,22.7 (15:50),18.9 (06:20),20.8,41 (17:40),28 (12:40),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,22.9 (11:00),17.3 (08:20),20.1,32 (14:20),22 (14:30),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,24.2 (12:10),18.7 (08:00),21.5,30 (17:00),22 (15:40),1.2,0,0,1.2,0,43.42027777777778,-4.748055555555555
Cabo Peñas,Asturias,22.0 (17:50),19.1 (05:00),20.6,40 (18:40),26 (15:10),0,0,0,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,22.5 (17:00),17.6 (07:20),20.1,35 (16:40),21 (16:30),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,25.8 (15:10),18.1 (05:50),21.9,21 (17:40),11 (17:00),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,22.0 (15:00),16.1 (02:30),19.1,26 (17:20),13 (16:30),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,20.7 (13:30),18.6 (02:40),19.7,49 (16:30),34 (16:10),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,24.4 (16:00),17.1 (07:30),20.8,29 (21:50),17 (21:00),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,21.7 (15:20),16.2 (06:30),19,62 (23:20),48 (21:50),0,0,0,0,0,42.92472222222222,-9.29138888888889
Padrón,A Coruña,34.0 (17:20),14.7 (08:10),24.3,22 (08:40),13 (11:50),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,30.6 (15:50),14.7 (07:40),22.7,20 (13:20),8 (16:00),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,28.8 (18:10),15.4 (07:50),22.1,19 (16:50),11 (15:40),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,30.3 (13:40),17.3 (07:00),23.8,28 (18:10),17 (18:20),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,29.0 (15:50),12.0 (03:40),20.5,22 (18:20),9 (17:50),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,28.7 (14:30),11.1 (02:50),19.9,32 (17:10),21 (18:20),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,37.6 (18:50),14.0 (08:00),25.8,23 (19:40),13 (19:50),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,32.6 (17:50),11.7 (07:40),22.1,26 (16:40),13 (19:30),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,37.5 (17:50),15.3 (08:00),26.4,18 (16:20),8 (16:20),0,0,0,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,35.5 (15:00),7.4 (07:20),21.5,24 (15:40),14 (16:10),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,38.5 (17:10),14.4 (07:50),26.4,30 (20:10),19 (20:10),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,38.8 (16:30),13.0 (07:40),25.9,25 (15:00),9 (14:00),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,30.8 (17:00),19.3 (02:30),25,60 (17:10),28 (06:10),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,37.1 (17:00),13.4 (05:30),25.2,41 (16:00),17 (00:20),0,0,0,0,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,37.6 (17:10),12.5 (07:00),25,38 (13:40),16 (13:40),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,37.5 (17:50),14.7 (08:10),26.1,36 (01:30),26 (01:40),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,36.3 (17:20),12.7 (07:30),24.5,24 (23:10),10 (22:50),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,37.5 (17:10),13.9 (07:20),25.7,39 (18:10),27 (18:40),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,39.5 (17:10),16.8 (07:50),28.1,27 (18:10),12 (18:30),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,37.9 (17:00),17.0 (07:10),27.5,42 (18:10),21 (16:00),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,31.1 (16:40),20.0 (03:10),25.6,55 (18:00),30 (17:50),0,0,0,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,38.7 (16:00),20.7 (06:10),29.7,51 (15:30),32 (15:10),0,0,0,0,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,38.9 (18:10),16.8 (08:20),27.9,22 (20:00),11 (09:40),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,28.8 (14:40),8.8 (07:00),18.8,35 (16:50),26 (16:50),0,0,0,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,34.6 (18:00),14.4 (07:30),24.5,33 (16:50),19 (17:10),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,33.9 (18:10),12.4 (07:20),23.2,53 (16:10),19 (16:50),0,0,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,37.8 (19:00),15.1 (06:50),26.4,28 (17:40),14 (17:40),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,36.3 (15:30),9.9 (06:40),23.1,40 (16:40),20 (16:40),0,0,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,40.2 (17:10),13.5 (08:00),26.9,50 (17:10),36 (17:30),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,39.1 (17:10),17.2 (07:30),28.1,39 (17:40),16 (16:10),0,0,0,0,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,41.4 (16:40),15.7 (06:40),28.6,39 (15:30),26 (19:30),0,0,0,0,0,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,39.8 (16:50),14.2 (07:10),27,40 (15:00),21 (18:20),0,0,0,0,0,40.635,-6.6
Molina de Aragón,Guadalajara,36.7 (16:30),11.4 (07:40),24.1,43 (16:00),17 (16:40),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,42.2 (17:30),26.0 (08:20),34.1,74 (20:00),26 (19:50),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Aranjuez,Madrid,42.4 (17:00),18.6 (07:20),30.5,23 (17:10),13 (07:40),0,0,0,0,0,40.06722222222223,-3.546111111111111
Buitrago del Lozoya,Madrid,39.0 (16:20),14.2 (06:20),26.6,38 (17:20),19 (17:20),0,0,0,0,0,41.00694444444444,-3.613611111111111
Madrid Aeropuerto,Madrid,41.7 (18:20),18.9 (07:40),30.3,46 (17:20),23 (17:30),0,0,0,0,0,40.46666666666667,-3.5555555555555554
Sigüenza,Guadalajara,37.8 (16:40),11.9 (07:00),24.8,36 (17:40),16 (18:10),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,40.5 (17:40),19.6 (07:40),30.1,36 (16:30),19 (16:40),0,0,0,0,0,40.63027777777778,-3.15
Colmenar Viejo,Madrid,37.6 (15:50),23.5 (05:10),30.5,48 (17:00),28 (17:30),0,0,0,0,0,40.69611111111111,-3.765
Toledo,Toledo,44.2 (17:30),22.0 (07:40),33.1,50 (18:40),30 (18:40),0,0,0,0,0,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,34.5 (17:30),21.4 (07:10),27.9,43 (19:10),24 (19:30),0,0,0,0,0,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,40.0 (17:20),20.4 (07:50),30.2,36 (16:20),20 (16:10),0,0,0,0,0,40.42777777777778,-4.25
