Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Estaca de Bares,A Coruña,8.9 (14:50),5.0 (01:20),6.9,66 (22:30),48 (22:30),13.8,0.8,4.8,0.8,7.4,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,10.2 (14:40),2.8 (03:50),6.5,27 (15:00),14 (19:40),4.6,0,3,1.6,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,9.8 (13:20),2.9 (01:00),6.4,35 (19:20),20 (16:40),4.2,0.3,2.1,0.8,1,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,7.7 (14:10),4.0 (00:40),5.8,34 (19:20),23 (14:30),0.4,0,0.2,0.2,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,7.7 (16:30),-2.7 (06:00),2.5,11 (13:40),5 (11:30),0.1,0,0,0.1,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,5.8 (16:00),-0.6 (08:10),2.6,26 (13:30),20 (13:30),0.1,0.1,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,7.8 (15:00),-1.5 (06:30),3.2,14 (02:40),4 (03:30),0,0,0,0,0,42.876111111111115,-8.555833333333334
Hellín,Albacete,6.4 (15:20),-2.5 (08:30),2,26 (16:00),14 (17:00),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Albacete Base Aérea,Albacete,3.9 (16:40),-5.9 (23:50),-1,18 (15:00),10 (13:40),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,1.5 (16:30),-5.4 (08:50),-2,26 (12:30),19 (12:30),0.3,0,0.3,0,0,38.93583333333333,-1.66
Albacete,Albacete,5.2 (16:40),-4.5 (09:20),0.3,12 (13:20),4 (14:10),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,13.2 (15:50),4.4 (07:20),8.8,45 (03:30),32 (03:30),0,0,0,0,0,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,14.7 (14:40),3.9 (07:30),9.3,26 (04:20),12 (11:10),0,0,0,0,0,38.3725,-0.49416666666666664
Jávea/ Xàbia,Alacant/Alicante,13.8 (14:50),0.7 (23:40),7.3,30 (11:20),16 (11:20),0,0,0,0,0,38.78361111111111,0.16777777777777778
Adra,Almería,14.8 (11:30),8.7 (03:20),11.8,28 (14:10),17 (14:20),0,0,0,0,0,36.74722222222222,-3.0205555555555557
Roquetas de Mar,Almería,14.9 (14:10),3.6 (02:10),9.2,35 (15:50),23 (15:40),0,0,0,0,0,36.68694444444444,-2.7016666666666667
Abla,Almería,10.0 (12:50),0.5 (06:20),5.3,27 (22:50),14 (22:30),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,15.8 (14:00),5.2 (04:30),10.5,30 (14:20),22 (17:20),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Huércal-Overa,Almería,13.4 (13:30),1.8 (08:40),7.6,24 (01:00),16 (01:00),0,0,0,0,0,37.39055555555556,-1.9436111111111112
Vitoria Gasteiz Aeropuerto,Araba/Álava,2.5 (13:30),-0.8 (01:50),0.8,24 (02:30),14 (11:20),0,0,0,0,0,42.871944444444445,-2.7327777777777778
Llanes,Asturias,9.8 (15:30),4.5 (00:40),7.2,31 (22:00),23 (22:00),6.4,0.4,1,1.2,3.8,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,7.5 (14:20),2.0 (23:30),4.8,23 (14:00),12 (02:20),16.4,4.6,7.4,2.4,2,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,6.7 (14:40),2.3 (00:00),4.5,32 (08:50),21 (08:50),10.3,1.2,3,3.8,2.3,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,4.7 (16:10),0.5 (02:00),2.6,20 (16:40),12 (09:20),1.8,0.2,0.4,1.2,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,6.6 (13:50),1.9 (05:30),4.2,28 (09:10),15 (08:20),11.1,2.3,4.7,3.9,0.2,43.52472222222222,-7.0313888888888885
Ávila,Ávila,3.4 (14:50),-6.5 (09:10),-1.5,17 (16:50),10 (17:00),0,0,0,0,0,40.659166666666664,-4.680000000000001
Herrera del Duque,Badajoz,7.8 (16:20),-2.5 (23:50),2.7,11 (10:20),7 (16:50),0,0,0,0,0,39.169444444444444,-5.062222222222222
Don Benito,Badajoz,5.3 (16:00),-0.8 (23:50),2.3,14 (13:50),8 (00:10),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,5.6 (14:10),0.0 (22:50),2.8,21 (16:40),13 (10:30),0.2,0.2,0,0,0,38.23166666666667,-6.016944444444444
Badajoz Aeropuerto,Badajoz,3.9 (17:10),-1.3 (04:40),1.3,21 (16:30),13 (13:30),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,7.2 (17:00),0.5 (08:20),3.8,26 (17:10),22 (10:00),0,0,0,0,0,38.29861111111111,-6.765
Barcelona Aeropuerto,Barcelona,10.1 (13:40),0.6 (06:10),5.4,32 (10:50),22 (10:30),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,6.6 (16:20),-4.5 (07:00),1,22 (17:10),11 (14:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,10.0 (14:00),2.8 (07:40),6.4,28 (04:10),15 (03:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,11.4 (13:20),1.8 (23:50),6.6,18 (12:10),8 (03:20),0.3,0,0,0,0.3,41.587500000000006,2.54
Santa Susanna,Barcelona,8.1 (15:40),-1.3 (03:10),3.4,25 (11:30),10 (16:20),0,0,0,0,0,41.65083333333333,2.6969444444444446
Machichaco,Bizkaia,6.4 (14:10),3.3 (00:00),4.9,49 (02:30),34 (02:50),7,4,2.4,0.4,0.2,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,10.5 (16:50),4.4 (08:20),7.5,34 (03:20),20 (02:40),4.4,2.7,1.7,0,0,43.375,-3.0216666666666665
Bilbao Aeropuerto,Bizkaia,6.2 (16:30),2.3 (00:10),4.2,22 (18:20),15 (18:20),9,7.6,1.4,0,0,43.29805555555556,-2.906388888888889
Aranda de Duero,Burgos,3.3 (16:10),-5.3 (02:50),-1,19 (07:50),8 (16:00),0,0,0,0,0,41.66583333333333,-3.742777777777778
Palacios de la Sierra,Burgos,1.7 (15:50),-10.8 (03:50),-4.6,21 (13:40),11 (13:40),1,0,0,1,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,2.6 (16:10),-6.4 (02:00),-1.9,22 (12:10),14 (12:00),0,0,0,0,0,42.356944444444444,-3.620277777777778
Medina de Pomar,Burgos,3.3 (16:00),-3.4 (01:20),-0.1,17 (18:10),8 (06:50),1.6,0.4,1.2,0,0,42.919999999999995,-3.4827777777777778
Navalmoral de la Mata,Cáceres,9.3 (15:50),-5.8 (06:50),1.8,18 (11:40),9 (00:50),0,0,0,0,0,39.94583333333333,-5.5825
Cáceres,Cáceres,8.0 (16:10),-2.9 (08:50),2.5,10 (19:10),8 (18:50),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,8.9 (17:00),-1.8 (08:20),3.5,13 (13:30),7 (23:00),0,0,0,0,0,40.043055555555554,-6.085833333333333
Coria,Cáceres,9.0 (16:30),-2.5 (09:00),3.3,19 (15:30),10 (15:30),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,7.0 (15:00),-2.8 (08:10),2.1,17 (15:10),9 (15:50),0,0,0,0,0,39.414722222222224,-7.231111111111111
Grazalema,Cádiz,8.3 (13:20),1.1 (09:00),4.7,12 (00:20),6 (09:10),0,0,0,0,0,36.760555555555555,-5.3741666666666665
Jerez de la Frontera Aeropuerto,Cádiz,13.1 (14:40),1.4 (08:40),7.3,21 (17:20),15 (17:10),0,0,0,0,0,36.75055555555556,-6.055833333333333
San Fernando,Cádiz,13.0 (13:50),7.4 (06:00),10.2,17 (01:20),10 (23:00),1.1,1.1,0,0,0,36.46555555555556,-6.205555555555556
Cádiz,Cádiz,12.7 (17:30),8.1 (09:40),10.4,19 (21:20),13 (21:20),1,1,0,0,0,36.499722222222225,-6.257777777777778
Vejer de la Frontera,Cádiz,11.9 (14:30),6.1 (00:50),9,15 (23:10),7 (21:10),1.9,0.7,1.2,0,0,36.245555555555555,-5.965
