Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,28.8 (13:30),20.3 (04:40),24.5,24 (14:40),15 (15:30),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,28.2 (16:00),20.5 (07:00),24.4,39 (21:40),30 (21:40),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,30.1 (15:40),15.8 (08:30),23,37 (16:10),17 (16:10),4.4,0,0,4.4,0,41.72,1.840277777777778
Barcelona,Barcelona,27.5 (15:10),20.9 (06:20),24.2,39 (21:30),33 (21:20),0.2,0,0,0,0.2,41.39055555555556,2.2
Arenys de Mar,Barcelona,29.4 (12:30),19.1 (07:10),24.3,22 (18:50),9 (18:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,30.9 (15:20),17.8 (17:30),24.3,58 (16:20),30 (16:20),56.4,0,0,52.2,4.2,41.91166666666666,2.763333333333333
Porqueres,Girona,28.1 (14:30),17.8 (23:20),22.9,31 (16:20),14 (16:20),15.8,0,0,15.3,0.5,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.9 (16:00),18.0 (06:30),21.4,22 (16:50),15 (18:10),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,23.4 (16:10),13.6 (02:10),18.5,26 (16:10),13 (16:50),0.1,0,0.1,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,23.9 (15:10),17.4 (06:20),20.6,29 (18:00),18 (17:50),0.1,0,0,0.1,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,23.4 (14:40),15.4 (06:40),19.4,23 (16:00),12 (16:00),0.1,0,0,0.1,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,20.8 (13:30),17.9 (05:00),19.3,42 (16:20),28 (16:30),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,24.0 (16:20),16.7 (07:50),20.4,13 (17:50),4 (16:20),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,24.2 (16:30),17.9 (23:59),21.1,26 (14:50),19 (15:00),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,21.3 (13:10),17.4 (03:20),19.3,27 (16:30),18 (15:40),0.1,0.1,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,24.3 (17:40),18.2 (02:50),21.3,32 (15:40),20 (14:50),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,21.1 (16:50),18.1 (01:00),19.6,35 (14:00),26 (14:00),0.4,0,0.4,0,0,43.49111111111111,-3.8005555555555555
Llanes,Asturias,20.7 (16:30),18.1 (04:20),19.4,33 (14:50),19 (14:30),2.6,1.4,0.4,0.2,0.6,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,22.6 (15:20),15.4 (23:40),19,26 (15:10),14 (16:50),1.2,0,1,0.2,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,20.3 (17:10),16.9 (08:10),18.6,33 (10:20),23 (10:40),4.2,0,4.2,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,20.7 (17:50),16.8 (22:40),18.8,28 (05:30),17 (11:30),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,22.9 (16:00),16.3 (07:00),19.6,21 (15:50),12 (15:00),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,23.6 (12:40),16.1 (06:40),19.9,17 (10:10),9 (10:10),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,20.1 (18:40),15.5 (08:00),17.8,22 (04:00),16 (18:30),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,22.1 (13:50),16.0 (07:00),19.1,21 (15:50),12 (14:20),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,21.3 (15:50),15.9 (21:50),18.6,23 (22:10),19 (21:40),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,21.6 (16:10),14.3 (02:20),18,26 (15:10),15 (17:10),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,24.7 (17:40),15.5 (03:20),20.1,14 (07:30),10 (07:30),0,0,0,0,0,42.73833333333334,-8.627222222222223
Pontevedra,Pontevedra,24.1 (16:40),17.1 (23:59),20.6,23 (16:00),12 (17:30),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,23.7 (15:30),17.0 (22:20),20.4,37 (18:00),20 (18:00),0,0,0,0,0,42.23861111111111,-8.623888888888889
