Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Estaca de Bares,A Coruña,13.3 (12:10),10.4 (23:59),11.8,51 (03:40),43 (00:10),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,14.2 (15:20),10.3 (04:20),12.3,23 (09:30),14 (09:10),0.4,0,0,0,0.4,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,14.3 (14:50),11.1 (00:00),12.7,23 (23:40),18 (23:40),0.3,0,0.3,0,0,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,12.4 (12:30),9.8 (02:00),11.1,25 (23:40),19 (23:50),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,12.8 (16:10),2.7 (06:30),7.8,13 (06:50),10 (11:20),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,12.4 (17:20),1.6 (03:30),7,26 (09:30),21 (06:50),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,12.8 (16:30),4.4 (07:30),8.6,13 (22:10),5 (22:10),0,0,0,0,0,42.876111111111115,-8.555833333333334
Hellín,Albacete,14.9 (15:00),2.5 (03:10),8.7,28 (13:20),20 (23:59),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Albacete Base Aérea,Albacete,9.5 (13:40),-6.7 (07:40),1.4,14 (15:30),10 (23:59),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,7.3 (14:50),-1.2 (05:10),3.1,31 (15:40),21 (17:30),0,0,0,0,0,38.93583333333333,-1.66
Albacete,Albacete,8.6 (15:30),-5.5 (08:40),1.6,21 (18:20),10 (18:20),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,22.2 (16:10),3.0 (04:10),12.6,50 (19:40),33 (19:50),0,0,0,0,0,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,20.8 (14:40),2.1 (05:30),11.4,21 (22:20),10 (22:20),0,0,0,0,0,38.3725,-0.49416666666666664
Jávea/ Xàbia,Alacant/Alicante,20.2 (15:00),2.0 (08:20),11.1,28 (23:40),16 (22:30),0,0,0,0,0,38.78361111111111,0.16777777777777778
Abla,Almería,20.2 (14:20),3.2 (01:30),11.7,23 (06:20),10 (06:10),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,15.9 (14:50),6.8 (08:40),11.3,32 (02:20),23 (02:20),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Huércal-Overa,Almería,21.5 (13:20),0.6 (07:20),11.1,17 (15:40),10 (15:40),0,0,0,0,0,37.39055555555556,-1.9436111111111112
Vitoria Gasteiz Aeropuerto,Araba/Álava,9.6 (14:00),-2.3 (05:00),3.7,17 (11:50),11 (03:10),2.3,0,0,0.8,1.5,42.871944444444445,-2.7327777777777778
Llanes,Asturias,15.3 (13:10),6.9 (00:10),11.1,29 (19:00),19 (19:00),0.6,0,0,0,0.6,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,13.7 (14:00),1.2 (01:40),7.4,21 (14:20),10 (14:20),2.4,0,0,0,2.4,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,12.0 (17:00),3.8 (02:30),7.9,33 (09:50),21 (09:30),1.7,0,0,0,1.7,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,11.0 (15:30),2.8 (05:40),6.9,16 (08:00),14 (07:50),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,12.7 (15:40),4.7 (08:50),8.7,29 (08:20),15 (09:10),0.5,0,0,0,0.5,43.52472222222222,-7.0313888888888885
Puerto de Leitariegos,Asturias,5.2 (11:00),-0.9 (06:30),2.1,31 (09:30),24 (09:40),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ávila,Ávila,11.8 (14:10),-6.7 (09:10),2.6,16 (16:00),8 (15:40),0,0,0,0,0,40.659166666666664,-4.680000000000001
Herrera del Duque,Badajoz,16.2 (17:10),-3.1 (09:10),6.6,11 (15:50),7 (19:40),0,0,0,0,0,39.169444444444444,-5.062222222222222
Don Benito,Badajoz,14.4 (15:50),-2.3 (08:40),6,9 (02:30),6 (22:30),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,16.0 (15:40),5.1 (02:20),10.5,24 (06:20),18 (06:00),0,0,0,0,0,38.23166666666667,-6.016944444444444
Mérida,Badajoz,16.8 (16:50),-1.9 (09:00),7.4,14 (11:30),12 (11:40),0,0,0,0,0,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,15.2 (16:40),-2.9 (07:00),6.1,14 (11:00),10 (11:00),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,18.8 (16:00),-1.0 (07:40),8.9,19 (20:30),13 (18:50),0,0,0,0,0,38.29861111111111,-6.765
Barcelona Aeropuerto,Barcelona,15.4 (13:20),4.7 (04:10),10,32 (09:30),23 (09:40),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,13.7 (15:10),-0.7 (06:20),6.5,38 (16:30),21 (16:50),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,15.9 (13:50),6.8 (09:00),11.3,23 (08:20),15 (08:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,16.4 (12:20),3.9 (05:40),10.1,24 (03:00),10 (02:40),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,13.6 (15:30),0.0 (05:00),6.8,15 (13:20),8 (13:20),0,0,0,0,0,41.65083333333333,2.6969444444444446
Machichaco,Bizkaia,15.7 (07:10),9.4 (23:59),12.5,64 (08:00),46 (13:40),1.8,0,0.4,1.4,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,15.2 (15:20),6.2 (04:10),10.7,32 (13:40),21 (14:10),2.6,0,0.2,1.9,0.5,43.375,-3.0216666666666665
Güeñes,Bizkaia,8.1 (23:50),0.6 (05:00),4.4,8 (08:00),5 (08:20),4.9,0,0,3.5,1.4,43.20333333333333,-3.104722222222222
