Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,28.2 (13:50),16.5 (04:50),22.4,30 (12:50),19 (13:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,27.8 (17:10),19.7 (06:20),23.8,32 (12:20),22 (12:10),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,29.5 (15:10),14.1 (07:40),21.8,39 (16:00),19 (15:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,25.9 (17:30),19.7 (05:30),22.8,29 (12:50),23 (12:40),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,27.5 (12:40),17.3 (06:20),22.4,21 (15:10),8 (05:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,29.1 (13:50),14.0 (06:50),21.6,41 (14:30),31 (14:40),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,27.6 (14:10),14.3 (06:40),21,29 (15:10),17 (15:10),0.7,0,0,0,0.7,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.3 (17:20),14.2 (06:10),19.2,22 (17:20),14 (14:30),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,21.8 (16:10),10.1 (07:20),15.9,21 (18:20),10 (12:10),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,23.9 (18:20),13.5 (07:30),18.7,20 (17:10),13 (07:50),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,21.7 (16:10),11.4 (04:30),16.6,22 (16:10),13 (17:20),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,21.9 (17:40),15.1 (04:40),18.5,16 (09:30),10 (15:10),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,24.0 (15:20),15.4 (04:50),19.7,21 (17:00),12 (16:00),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,23.4 (16:20),11.3 (07:40),17.3,23 (17:20),10 (19:30),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,24.0 (15:20),11.9 (06:50),17.9,28 (16:20),18 (16:20),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,22.0 (15:30),14.3 (05:50),18.2,17 (15:50),12 (15:50),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,23.8 (13:20),12.1 (05:20),17.9,35 (14:00),19 (14:40),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,21.4 (12:20),15.6 (05:00),18.5,21 (15:20),17 (15:10),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,22.6 (14:10),15.9 (06:00),19.3,20 (16:20),12 (15:50),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,21.3 (13:40),16.3 (01:10),18.8,18 (11:10),13 (11:20),0.4,0,0,0.4,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,22.3 (17:40),14.5 (06:10),18.4,22 (14:20),13 (15:30),0,0,0,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,21.8 (19:30),15.2 (08:00),18.5,12 (17:40),2 (17:50),0,0,0,0,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,21.0 (15:40),13.7 (06:50),17.3,21 (07:20),11 (06:20),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,20.3 (13:00),13.9 (07:30),17.1,19 (14:20),12 (14:20),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,23.1 (17:00),12.2 (06:50),17.7,19 (16:20),9 (16:10),0.1,0,0.1,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,21.2 (16:40),16.0 (08:20),18.6,26 (02:10),20 (01:00),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,21.5 (15:10),15.4 (07:20),18.4,30 (15:10),19 (15:10),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,17.8 (11:00),14.4 (04:10),16.1,58 (19:40),37 (03:20),0.2,0.2,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,21.8 (15:50),12.2 (07:40),17,39 (18:10),25 (17:20),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,25.8 (16:30),13.3 (07:40),19.5,31 (12:50),20 (10:10),0.1,0.1,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,23.2 (15:10),13.7 (07:50),18.5,28 (19:50),10 (15:40),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,25.4 (17:00),13.1 (08:30),19.3,34 (16:50),19 (16:50),0,0,0,0,0,42.43833333333333,-8.615833333333333
Lugo Aeropuerto,Lugo,23.4 (16:30),9.3 (07:40),16.3,26 (10:00),15 (18:10),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,14.6 (17:00),6.3 (07:20),10.5,31 (19:10),23 (15:40),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,26.6 (17:30),15.0 (04:40),20.8,30 (19:40),15 (18:30),0.2,0.2,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,22.8 (18:20),13.3 (07:30),18,31 (16:20),13 (16:20),3.4,3.4,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,27.8 (17:40),15.8 (08:30),21.8,21 (11:00),9 (17:00),0,0,0,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,24.4 (17:30),12.9 (23:59),18.6,26 (17:20),15 (19:20),0.7,0.7,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,25.5 (17:10),6.4 (07:00),16,24 (20:20),14 (19:10),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,29.0 (17:00),10.3 (05:20),19.7,27 (15:50),10 (08:30),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,19.8 (15:40),8.1 (00:00),13.9,36 (19:10),20 (07:10),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,24.6 (16:10),9.0 (05:20),16.8,28 (13:50),15 (13:40),0.2,0,0.2,0,0,42.870555555555555,-4.52
