Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Barcelona Aeropuerto,Barcelona,14.6 (14:10),9.1 (07:30),11.9,21 (06:00),15 (06:10),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,16.6 (15:40),6.2 (03:50),11.4,22 (17:40),13 (17:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,14.4 (11:30),10.1 (08:00),12.3,21 (13:30),17 (13:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,16.4 (12:00),9.0 (05:20),12.7,13 (14:40),6 (12:50),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,13.9 (11:40),6.7 (06:50),10.3,21 (15:40),8 (12:00),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,16.5 (15:10),6.1 (07:40),11.3,18 (15:10),11 (14:50),2.7,0,0,0,2.7,41.91166666666666,2.763333333333333
Porqueres,Girona,15.9 (14:20),6.4 (03:20),11.1,18 (13:50),10 (13:40),1.8,0,0,1.1,0.7,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,13.3 (11:10),7.6 (06:50),10.5,22 (11:10),16 (11:30),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,8.9 (15:00),3.9 (07:50),6.4,20 (18:40),12 (18:50),0.1,0,0,0,0.1,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,14.2 (13:20),8.0 (07:50),11.1,30 (23:30),22 (23:59),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,11.2 (14:00),5.0 (07:40),8.1,15 (14:40),8 (17:00),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,12.5 (13:20),9.9 (19:20),11.2,24 (23:20),19 (23:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,15.3 (13:50),9.7 (01:50),12.5,22 (16:10),13 (17:00),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,10.7 (15:50),4.9 (05:50),7.8,18 (16:30),10 (17:40),0,0,0,0,0,43.20333333333333,-3.104722222222222
