Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Puerto de Leitariegos,Asturias,22.6 (18:10),9.1 (02:20),15.9,48 (14:10),21 (13:40),0.2,0,0,0,0.2,42.994166666666665,-6.4141666666666675
A Pobra de Trives,Ourense,29.1 (17:20),10.7 (07:00),19.9,36 (20:00),16 (20:00),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,32.9 (17:30),12.1 (07:40),22.5,32 (18:50),15 (18:50),0,0,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,30.9 (18:00),10.7 (07:30),20.8,24 (16:30),10 (16:20),0.1,0,0,0,0.1,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,28.7 (14:30),6.9 (07:20),17.8,28 (13:20),15 (12:10),0.6,0,0,0,0.6,42.07916666666667,-7.733611111111111
Soria,Soria,26.9 (18:10),11.4 (06:40),19.1,29 (20:50),14 (18:20),2.8,0,0,0,2.8,41.775,-2.4830555555555556
Aranda de Duero,Burgos,31.8 (17:00),14.0 (06:50),22.9,52 (22:40),18 (22:40),4.2,0,0.2,0.2,3.8,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,20.3 (18:30),11.0 (23:40),15.6,75 (23:10),36 (23:20),6.2,0,0,0,6.2,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,27.9 (17:00),9.1 (06:50),18.5,37 (13:30),19 (13:30),0,0,0,0,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,27.6 (17:00),11.1 (04:10),19.4,61 (18:50),27 (19:00),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,29.9 (16:40),10.8 (06:10),20.3,47 (18:50),26 (18:40),0.6,0,0,0,0.6,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,30.7 (17:30),11.9 (05:50),21.3,46 (19:30),18 (19:30),0.8,0,0,0,0.8,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,30.4 (16:00),11.4 (07:00),20.9,62 (17:40),26 (23:00),12.1,0,0,0,12.1,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,32.1 (16:40),13.8 (07:00),22.9,39 (17:10),18 (16:00),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,27.5 (15:30),14.3 (06:30),20.9,49 (20:50),26 (20:50),1.2,0,0,0,1.2,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,20.3 (17:10),10.0 (23:10),15.1,54 (21:50),31 (21:50),7.4,0,0,0,7.4,40.793055555555554,-4.010555555555555
Segovia,Segovia,28.2 (16:00),15.3 (22:40),21.8,70 (21:40),39 (21:40),1.4,0,0,0,1.4,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,18.5 (13:50),10.9 (05:00),14.7,51 (12:50),28 (11:00),1,0,0,0,1,40.355000000000004,-5.69
Zamora,Zamora,32.6 (16:20),14.6 (07:20),23.6,37 (17:40),15 (17:10),0.2,0,0,0,0.2,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,22.8 (18:20),6.1 (05:50),14.4,32 (14:00),22 (21:20),0.4,0,0,0,0.4,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,29.2 (18:40),12.5 (06:50),20.9,63 (20:00),38 (20:00),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,26.8 (17:00),9.0 (07:00),17.9,32 (17:30),19 (17:30),0,0,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,30.7 (17:30),14.5 (07:10),22.6,54 (20:30),23 (20:30),1,0,0,0,1,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,28.8 (17:10),10.3 (07:40),19.5,42 (19:10),20 (19:10),0,0,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,31.1 (15:30),11.8 (07:30),21.5,82 (20:30),42 (20:20),6.2,0,0,0,6.2,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,30.4 (15:30),15.0 (07:50),22.7,37 (15:30),19 (15:30),4.3,0,0,0,4.3,40.9575,-5.662222222222223
Vitigudino,Salamanca,30.5 (15:40),13.8 (06:50),22.2,47 (18:20),25 (19:20),0,0,0,0,0,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,30.3 (16:20),13.4 (06:50),21.8,48 (16:50),24 (18:40),0,0,0,0,0,40.635,-6.6
Molina de Aragón,Guadalajara,26.9 (14:30),12.5 (07:00),19.7,49 (22:10),23 (22:20),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,31.5 (17:20),15.8 (07:50),23.7,47 (20:10),23 (04:10),0.4,0,0,0,0.4,40.01138888888889,-3.0213888888888887
