Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,31.7 (13:10),22.3 (06:50),27,30 (14:20),18 (14:50),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,28.9 (13:00),23.8 (05:00),26.3,39 (14:40),28 (15:20),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,36.1 (17:30),18.8 (06:50),27.4,36 (15:20),21 (15:10),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,27.3 (10:30),22.8 (03:50),25,32 (16:40),27 (16:40),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,31.2 (10:10),21.1 (06:20),26.2,26 (14:50),6 (14:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,33.3 (13:50),19.6 (02:50),26.4,35 (15:30),22 (19:50),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,32.0 (15:00),19.1 (06:00),25.6,31 (13:20),14 (16:40),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.8 (18:40),16.6 (06:10),20.7,26 (08:30),15 (14:10),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,22.7 (17:00),11.0 (06:10),16.9,20 (17:00),11 (16:20),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,25.2 (19:00),15.6 (04:20),20.4,28 (19:50),17 (19:20),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,22.8 (14:10),12.7 (04:40),17.7,22 (14:20),11 (12:30),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,22.8 (14:40),17.2 (06:20),20,41 (23:50),30 (20:40),0.6,0,0.6,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,24.8 (14:50),18.1 (07:30),21.4,24 (22:10),13 (20:20),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,24.4 (13:30),13.6 (05:20),19,24 (16:40),11 (23:59),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,25.0 (14:10),15.9 (06:30),20.4,32 (16:00),22 (16:10),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,23.2 (13:20),17.7 (00:10),20.5,32 (20:00),21 (20:00),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,24.7 (13:30),17.0 (07:30),20.9,32 (14:20),21 (14:20),0.6,0.6,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,22.5 (18:20),17.6 (07:20),20.1,30 (16:40),21 (16:10),0.2,0,0.2,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,23.5 (12:40),17.2 (07:00),20.4,31 (15:10),23 (14:50),0.1,0.1,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,24.5 (12:30),16.7 (07:20),20.6,37 (23:40),20 (14:40),0.2,0,0.2,0,0,43.42027777777778,-4.748055555555555
Cabo Peñas,Asturias,20.5 (10:50),16.3 (07:50),18.4,41 (15:50),24 (15:30),0.1,0,0,0.1,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,21.4 (14:00),14.8 (07:30),18.1,42 (16:10),27 (16:30),0.4,0,0,0.4,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,23.2 (14:30),13.4 (07:20),18.3,31 (16:40),18 (16:40),0.8,0,0,0.8,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,24.2 (13:40),17.2 (06:40),20.7,33 (09:20),15 (09:10),3,0,0,3,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,20.5 (14:50),16.4 (07:00),18.4,66 (16:10),57 (15:30),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,22.7 (16:20),16.8 (05:30),19.8,37 (17:10),26 (20:10),0.8,0.4,0.4,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,20.3 (17:10),15.6 (05:10),17.9,42 (04:50),34 (05:10),2.8,2.8,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,19.8 (14:30),15.0 (01:50),17.4,32 (06:00),15 (11:10),3.3,1.3,1.4,0.6,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,23.4 (18:10),16.2 (06:30),19.8,22 (14:50),10 (14:50),1.3,0.8,0.4,0.1,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,20.7 (18:30),16.0 (09:30),18.4,22 (05:40),8 (00:50),5.7,0.8,2.4,2.5,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,22.6 (17:10),16.4 (03:20),19.5,24 (19:40),12 (17:10),10.6,2.4,7.8,0.4,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,21.3 (17:40),15.2 (23:30),18.2,39 (20:50),21 (14:00),1.6,0,1.6,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,20.1 (13:00),14.0 (07:40),17.1,27 (13:40),15 (16:00),8.4,0,1.4,3,4,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,16.8 (16:00),7.7 (03:20),12.2,32 (11:30),17 (14:20),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,24.5 (18:40),14.7 (06:50),19.6,32 (16:10),17 (16:20),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,21.2 (19:20),11.0 (02:40),16.1,35 (13:40),14 (13:40),0.2,0,0,0.2,0,42.339444444444446,-7.2825
Ourense,Ourense,25.0 (19:30),16.7 (05:10),20.9,23 (16:20),13 (12:40),0.2,0,0,0.2,0,42.32527777777778,-7.859722222222222
