Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,16.0 (13:10),8.3 (06:00),12.2,28 (13:00),17 (13:10),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,14.2 (12:50),10.5 (09:10),12.3,26 (13:10),20 (14:10),0.8,0,0.8,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,15.2 (14:20),7.2 (08:00),11.2,23 (15:30),12 (15:40),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,13.9 (14:40),10.7 (09:50),12.3,21 (14:20),18 (14:20),0.9,0,0.9,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,16.7 (13:20),9.4 (04:00),13.1,18 (13:50),8 (00:50),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,14.3 (13:20),8.1 (05:20),11.2,18 (14:20),9 (11:00),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,14.9 (15:10),5.9 (06:40),10.4,15 (15:20),11 (17:30),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,14.2 (12:30),6.6 (01:50),10.4,15 (15:10),8 (18:00),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,10.7 (13:10),7.5 (08:00),9.1,15 (13:20),12 (10:50),2.5,1.9,0.5,0,0.1,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,5.7 (13:20),3.4 (01:20),4.5,12 (14:20),8 (14:10),0.7,0.7,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,12.0 (14:30),6.9 (01:20),9.5,17 (16:20),10 (19:30),0.1,0.1,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,8.2 (13:20),3.8 (02:00),6,16 (16:10),8 (16:10),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,9.5 (17:20),7.3 (02:20),8.4,14 (14:20),8 (22:10),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,12.6 (18:00),7.8 (03:10),10.2,10 (14:30),7 (23:50),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,8.3 (15:10),4.6 (04:10),6.5,10 (14:20),6 (20:20),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,9.6 (17:50),5.3 (03:10),7.5,13 (14:00),9 (02:10),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,10.9 (16:40),7.6 (23:59),9.2,16 (13:40),10 (13:40),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,11.6 (13:20),7.2 (02:10),9.4,22 (17:20),16 (17:20),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,11.7 (13:40),8.3 (02:20),10,25 (03:10),18 (02:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,11.4 (14:50),7.7 (23:30),9.5,30 (15:20),19 (15:10),0.1,0,0,0,0.1,43.39333333333333,-4.392222222222222
Llanes,Asturias,12.3 (13:30),8.4 (22:00),10.3,24 (12:50),20 (12:30),0.2,0,0,0.2,0,43.42027777777778,-4.748055555555555
Asturias Aeropuerto,Asturias,9.6 (11:20),6.5 (08:40),8.1,30 (21:10),18 (21:10),1.3,0.1,0,0,1.2,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,8.0 (13:10),5.6 (20:10),6.8,19 (15:20),11 (15:20),0.4,0,0,0.4,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,9.9 (15:30),7.5 (06:50),8.7,26 (11:10),13 (22:20),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,10.2 (16:00),8.7 (08:00),9.4,56 (23:50),45 (23:59),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,11.9 (14:20),8.3 (08:20),10.1,41 (15:00),24 (18:50),0,0,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,11.2 (14:50),9.1 (00:30),10.2,64 (06:20),43 (03:30),0,0,0,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,12.6 (14:50),3.1 (23:59),7.9,33 (16:20),17 (15:30),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,15.1 (13:50),2.8 (08:30),9,43 (11:40),30 (11:40),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,13.2 (14:50),4.7 (06:20),8.9,34 (17:20),13 (19:00),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,16.4 (16:10),4.2 (07:50),10.3,33 (14:20),21 (14:20),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,15.7 (14:10),4.8 (07:30),10.3,39 (20:10),25 (21:10),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,10.4 (11:40),-1.5 (08:00),4.4,28 (12:10),13 (20:00),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,3.5 (13:00),-1.7 (23:59),0.9,30 (16:10),21 (16:20),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,16.2 (16:00),1.9 (08:00),9.1,26 (16:40),12 (16:40),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,10.8 (15:40),1.7 (04:00),6.3,26 (15:40),13 (22:00),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,16.4 (16:00),4.5 (04:40),10.4,23 (18:00),9 (12:50),0,0,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,15.4 (14:40),1.0 (06:30),8.2,22 (17:10),10 (19:00),0,0,0,0,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,11.3 (16:20),-0.2 (05:40),5.6,23 (19:50),15 (19:50),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,12.4 (14:40),4.2 (05:20),8.3,22 (16:50),11 (16:40),8.4,4,0,0,4.4,41.775,-2.4830555555555556
Aranda de Duero,Burgos,13.5 (14:10),2.5 (06:30),8,25 (16:50),11 (16:50),0,0,0,0,0,41.66583333333333,-3.742777777777778
Cervera de Pisuerga,Palencia,8.0 (14:00),-1.6 (07:40),3.2,24 (18:30),12 (18:20),0.6,0,0,0,0.6,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,11.9 (12:50),2.3 (08:20),7.1,29 (15:30),18 (01:00),6,0,0,6,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,10.2 (13:30),1.4 (03:20),5.8,36 (20:00),26 (19:50),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,13.5 (16:30),1.4 (07:50),7.4,38 (18:40),19 (18:40),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,13.1 (15:40),-0.2 (07:50),6.5,33 (22:10),26 (22:20),4.9,0,0,0,4.9,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,15.7 (15:30),3.0 (08:10),9.3,28 (23:10),11 (23:10),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,12.8 (13:30),3.9 (23:40),8.4,26 (14:10),16 (14:10),1.4,0,0,1.4,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,6.4 (10:50),-0.5 (05:50),3,32 (00:30),21 (03:20),1,0,0,1,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,13.3 (14:20),4.1 (07:30),8.7,29 (16:10),22 (16:10),0.2,0,0,0.2,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,16.4 (16:50),2.2 (08:00),9.3,23 (23:10),12 (23:59),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,2.9 (13:00),-3.8 (07:50),-0.4,24 (13:00),17 (14:00),0,0,0,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,13.5 (16:10),1.6 (07:50),7.6,30 (14:50),19 (15:30),0.3,0,0,0,0.3,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,13.9 (14:10),-3.2 (07:40),5.3,23 (21:50),13 (19:50),2.5,0,0.1,2.4,0,42.3775,-6.196666666666667
Benavente,Zamora,15.2 (16:20),1.5 (08:10),8.3,38 (23:30),16 (23:30),4,0,0,1.8,2.2,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,15.3 (16:00),-2.0 (07:40),6.7,33 (16:50),18 (15:30),0.4,0,0,0,0.4,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,15.5 (15:30),-0.1 (08:10),7.7,26 (16:00),18 (16:10),0,0,0,0,0,40.95944444444445,-5.498333333333333
