Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,24.3 (15:10),14.2 (08:10),19.2,50 (13:40),33 (15:20),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,19.7 (15:40),15.3 (04:20),17.5,41 (03:40),31 (14:10),0.6,0.6,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,23.7 (16:30),13.3 (07:50),18.5,34 (20:20),18 (21:00),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,18.3 (10:40),14.4 (03:00),16.3,43 (14:50),32 (15:00),0.1,0.1,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,21.1 (12:20),13.3 (23:50),17.2,34 (13:00),16 (13:20),0,0,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,19.0 (12:20),12.1 (23:59),15.6,37 (14:20),17 (14:20),0,0,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,20.8 (13:10),12.2 (06:30),16.5,30 (05:40),18 (05:50),2,0,0,2,0,41.91166666666666,2.763333333333333
Porqueres,Girona,18.3 (13:50),11.9 (06:40),15.1,22 (18:10),9 (17:40),1.8,1.7,0.1,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,18.4 (16:40),11.6 (03:20),15,39 (12:40),22 (14:10),5,2.2,2.8,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,13.6 (15:10),6.2 (23:59),9.9,25 (12:10),17 (12:20),0.9,0.2,0.6,0.1,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,19.8 (15:20),10.2 (06:30),15,40 (11:40),23 (11:50),2.2,0.8,1.3,0.1,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,16.2 (14:30),8.3 (23:59),12.3,29 (11:50),12 (16:20),0.5,0.2,0.3,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,16.0 (18:10),11.3 (06:20),13.7,46 (10:20),32 (11:40),4.6,1,3.6,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,17.8 (15:20),11.3 (23:50),14.5,25 (12:00),13 (11:20),2.2,1.1,1.1,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,17.5 (16:00),9.1 (23:59),13.3,20 (14:10),8 (14:10),0.6,0.2,0.3,0.1,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,17.8 (16:30),10.0 (23:59),13.9,41 (16:30),20 (12:40),1.7,1,0.7,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,17.1 (16:40),11.0 (23:40),14.1,30 (14:20),22 (12:30),2.1,1.2,0.9,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,18.7 (15:10),10.6 (02:10),14.7,32 (13:00),22 (12:50),0.3,0,0.3,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,15.6 (12:10),11.8 (23:59),13.7,32 (09:10),23 (09:20),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,16.2 (14:50),9.4 (07:30),12.8,26 (11:40),19 (11:40),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.3 (17:40),11.0 (06:20),14.1,27 (11:50),20 (11:50),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.6 (17:20),7.6 (06:00),12.6,30 (14:10),16 (13:20),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,15.8 (13:50),8.1 (07:40),12,24 (19:20),16 (22:00),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.4 (13:40),8.0 (08:00),12.7,27 (14:40),15 (15:10),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,18.1 (16:40),7.5 (07:30),12.8,25 (18:00),12 (15:30),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,15.5 (12:00),11.7 (05:50),13.6,32 (02:10),27 (03:40),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,16.6 (16:20),11.8 (07:10),14.2,28 (20:00),20 (18:30),0.2,0.2,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,17.0 (15:40),11.0 (23:59),14,32 (19:50),27 (19:50),0,0,0,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,20.4 (18:30),6.6 (04:10),13.5,22 (19:20),15 (22:30),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,22.6 (17:40),6.4 (06:50),14.5,31 (13:20),17 (13:20),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,21.2 (16:20),7.1 (08:00),14.2,24 (20:20),9 (19:30),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,22.5 (18:00),7.9 (07:10),15.2,25 (16:00),15 (13:40),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,20.6 (15:10),8.3 (06:50),14.5,33 (19:10),26 (19:10),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,20.1 (16:40),5.0 (06:20),12.6,21 (19:50),10 (19:40),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Ponferrada,León,24.4 (18:50),5.7 (07:40),15,22 (19:20),10 (19:20),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,21.0 (17:50),4.0 (07:00),12.5,27 (16:00),12 (16:10),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,25.4 (17:50),5.9 (07:50),15.6,20 (11:50),8 (14:10),0.4,0,0,0.4,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,24.9 (18:30),4.6 (07:10),14.7,15 (21:50),6 (16:40),0,0,0,0,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,20.1 (18:50),1.6 (07:10),10.9,23 (17:30),15 (17:10),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,18.0 (17:40),6.3 (06:00),12.2,36 (19:40),19 (19:30),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,19.4 (16:50),5.1 (07:10),12.2,27 (17:40),12 (17:40),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,13.5 (18:10),3.5 (07:30),8.5,51 (06:20),16 (16:30),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,17.3 (14:50),1.5 (06:30),9.4,30 (00:10),18 (13:40),0,0,0,0,0,42.870555555555555,-4.52
Burgos Aeropuerto,Burgos,16.5 (18:00),3.4 (07:20),10,38 (14:10),24 (18:10),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,19.7 (18:20),2.2 (06:50),11,22 (17:00),9 (23:40),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,18.2 (18:30),3.6 (06:40),10.9,31 (10:40),19 (09:40),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,21.2 (18:40),5.4 (06:50),13.3,23 (12:00),10 (15:20),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,19.8 (18:20),6.3 (07:20),13,30 (16:10),15 (16:20),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,14.3 (15:30),2.8 (07:20),8.6,42 (01:20),21 (00:20),0,0,0,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,19.6 (18:00),4.9 (07:30),12.3,25 (16:10),14 (23:40),0,0,0,0,0,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,14.8 (15:50),3.0 (03:40),8.9,30 (16:30),19 (03:10),0,0,0,0,0,40.355000000000004,-5.69
Zamora,Zamora,23.2 (18:40),5.8 (07:20),14.5,48 (13:10),13 (09:50),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,11.7 (17:20),0.9 (07:20),6.3,35 (19:10),29 (19:10),0,0,0,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,20.4 (19:40),2.8 (07:00),11.6,26 (17:30),17 (02:40),0,0,0,0,0,42.58833333333334,-5.651111111111112
Benavente,Zamora,21.9 (18:30),4.6 (07:10),13.2,23 (09:20),11 (16:10),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,22.7 (18:20),3.0 (07:30),12.9,60 (10:30),10 (10:40),0,0,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,22.2 (19:10),6.2 (06:30),14.2,30 (09:50),22 (10:10),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,23.6 (18:50),8.1 (07:10),15.9,26 (10:50),12 (13:10),0,0,0,0,0,40.9575,-5.662222222222223
Saelices El Chico,Salamanca,24.2 (18:10),7.7 (05:30),16,41 (12:30),27 (10:00),0,0,0,0,0,40.635,-6.6
Molina de Aragón,Guadalajara,20.7 (16:40),7.5 (03:50),14.1,30 (17:30),14 (17:20),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,25.5 (17:00),12.0 (07:30),18.8,33 (16:40),17 (11:40),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Madrid Aeropuerto,Madrid,25.8 (19:40),11.4 (05:50),18.6,35 (00:40),25 (00:40),0,0,0,0,0,40.46666666666667,-3.5555555555555554
Sigüenza,Guadalajara,19.1 (16:40),6.8 (07:00),13,31 (15:40),13 (08:40),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,24.3 (18:40),11.0 (06:50),17.6,32 (07:00),18 (07:10),0,0,0,0,0,40.63027777777778,-3.15
Colmenar Viejo,Madrid,22.5 (18:00),9.8 (07:10),16.2,33 (13:10),15 (19:30),0,0,0,0,0,40.69611111111111,-3.765
Toledo,Toledo,28.9 (19:00),13.3 (07:40),21.1,32 (22:20),20 (22:10),0,0,0,0,0,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,15.8 (18:30),3.2 (06:30),9.5,62 (01:30),45 (01:30),0,0,0,0,0,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,25.5 (17:40),11.4 (06:10),18.4,45 (04:50),21 (04:40),0,0,0,0,0,40.42777777777778,-4.25
Talavera de la Reina,Toledo,30.9 (18:30),11.3 (06:30),21.1,36 (11:10),21 (11:30),0,0,0,0,0,39.95861111111111,-4.863611111111111
Navalmoral de la Mata,Cáceres,29.1 (18:10),10.6 (07:10),19.9,53 (16:30),16 (11:20),0,0,0,0,0,39.94583333333333,-5.5825
Trujillo,Cáceres,27.7 (17:30),10.4 (06:30),19.1,27 (17:20),13 (17:20),0,0,0,0,0,39.4825,-5.854166666666666
Cáceres,Cáceres,27.6 (17:30),12.6 (07:40),20.1,28 (17:50),15 (19:20),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,29.3 (17:40),13.9 (06:50),21.6,40 (05:20),16 (05:00),0,0,0,0,0,40.043055555555554,-6.085833333333333
Coria,Cáceres,29.4 (18:50),13.1 (07:40),21.3,30 (04:00),18 (20:00),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,27.4 (17:40),10.8 (07:30),19.1,34 (17:40),14 (19:10),0,0,0,0,0,39.414722222222224,-7.231111111111111
Quintanar de la Orden,Toledo,26.7 (18:40),12.2 (07:30),19.5,25 (18:00),12 (19:40),0,0,0,0,0,39.597500000000004,-3.0469444444444442
Madridejos,Toledo,26.4 (17:30),10.9 (06:20),18.6,38 (18:10),17 (01:40),0,0,0,0,0,39.49194444444444,-3.5283333333333333
San Clemente,Cuenca,27.7 (18:00),9.4 (07:00),18.6,39 (18:40),18 (18:50),0,0,0,0,0,39.416666666666664,-2.4205555555555556
Tomelloso,Ciudad Real,29.2 (18:10),13.4 (07:00),21.3,28 (18:00),12 (18:00),0,0,0,0,0,39.16916666666666,-3.0075
Ciudad Real,Ciudad Real,29.3 (19:30),13.5 (07:10),21.4,21 (16:20),10 (16:20),0,0,0,0,0,38.98916666666667,-3.9202777777777778
Valdepeñas,Ciudad Real,28.1 (16:20),13.1 (07:10),20.6,23 (19:10),9 (19:50),0,0,0,0,0,38.75055555555556,-3.391388888888889
Viso del Marqués,Ciudad Real,29.4 (17:10),12.2 (07:10),20.8,26 (13:50),14 (02:00),0,0,0,0,0,38.518055555555556,-3.5666666666666664
Puebla de Don Rodrigo,Ciudad Real,30.3 (17:50),10.4 (07:30),20.3,22 (17:00),10 (11:50),0,0,0,0,0,39.08861111111111,-4.616388888888888
Herrera del Duque,Badajoz,30.4 (18:50),13.5 (07:40),21.9,20 (17:00),12 (16:50),0,0,0,0,0,39.169444444444444,-5.062222222222222
Hinojosa del Duque,Córdoba,30.3 (17:00),10.9 (07:20),20.6,33 (17:20),16 (00:50),0,0,0,0,0,38.49861111111111,-5.1211111111111105
Don Benito,Badajoz,31.3 (18:30),12.4 (07:30),21.8,21 (17:30),13 (08:50),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,28.6 (17:40),11.3 (07:20),20,30 (16:30),17 (17:10),0,0,0,0,0,38.23166666666667,-6.016944444444444
Mérida,Badajoz,31.7 (18:10),11.4 (07:00),21.6,22 (18:40),10 (16:10),0,0,0,0,0,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,30.5 (18:50),12.5 (07:20),21.5,26 (18:00),17 (19:30),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,29.6 (16:40),11.1 (07:30),20.4,31 (18:10),17 (00:40),0,0,0,0,0,38.29861111111111,-6.765
Alajar,Huelva,29.2 (17:10),14.1 (05:40),21.7,57 (04:00),40 (05:30),0,0,0,0,0,37.868611111111115,-6.675000000000001
"Huelva, Ronda Este",Huelva,34.2 (18:10),14.8 (07:50),24.5,34 (20:20),18 (19:50),0,0,0,0,0,37.27833333333333,-6.911666666666667
Ceuta,Ceuta,27.4 (11:20),18.6 (01:00),23,23 (23:30),13 (19:30),0,0,0,0,0,35.88861111111111,-5.3469444444444445
Baza,Granada,32.6 (16:30),12.5 (07:20),22.5,39 (15:50),25 (20:10),0,0,0,0,0,37.505833333333335,-2.735
Arroyo del Ojanco,Jaén,31.7 (16:50),15.0 (07:30),23.4,0 (00:10),0 (00:10),0,0,0,0,0,38.31472222222222,-2.8897222222222223
Santa Elena,Jaén,31.1 (18:30),15.5 (06:30),23.3,35 (18:50),17 (18:50),0,0,0,0,0,38.34444444444445,-3.5352777777777775
Andújar,Jaén,36.5 (17:00),13.7 (07:20),25.1,24 (11:40),13 (21:00),0,0,0,0,0,38.02305555555555,-4.063888888888889
Villanueva de Córdoba,Córdoba,28.9 (17:50),12.4 (07:40),20.6,37 (18:10),15 (05:30),0,0,0,0,0,38.33305555555556,-4.608888888888888
Córdoba Aeropuerto,Córdoba,34.3 (18:10),14.2 (07:10),24.2,32 (01:10),17 (01:50),0,0,0,0,0,37.848888888888894,-4.846666666666667
Doña Mencía,Córdoba,30.3 (17:50),15.9 (05:10),23.1,23 (14:30),12 (17:50),0,0,0,0,0,37.55611111111111,-4.353888888888888
Granada Base Aérea,Granada,32.7 (16:40),12.3 (07:00),22.5,35 (16:30),21 (16:50),0,0,0,0,0,37.13722222222222,-3.631388888888889
Granada Aeropuerto,Granada,33.5 (16:20),10.6 (07:00),22.1,33 (17:00),19 (19:50),0,0,0,0,0,37.189722222222215,-3.7894444444444444
Écija,Sevilla,33.9 (18:50),16.5 (07:10),25.2,21 (17:00),12 (00:40),0,0,0,0,0,37.51611111111111,-5.085
Cazalla de la Sierra,Sevilla,29.6 (18:40),12.1 (07:40),20.9,26 (16:20),14 (09:10),0,0,0,0,0,37.92638888888889,-5.769722222222222
Sevilla Aeropuerto,Sevilla,34.0 (18:10),16.9 (07:10),25.4,30 (14:30),16 (09:30),0,0,0,0,0,37.416666666666664,-5.879166666666667
Morón de la Frontera,Sevilla,34.8 (18:50),16.9 (06:20),25.8,28 (11:40),15 (09:20),0,0,0,0,0,37.16444444444444,-5.6113888888888885
"Moguer, El Arenosillo",Huelva,28.4 (12:20),15.7 (07:30),22,33 (20:10),16 (00:10),0,0,0,0,0,37.09805555555556,-6.7380555555555555
Grazalema,Cádiz,28.4 (14:40),12.0 (07:30),20.2,21 (17:00),8 (17:20),0,0,0,0,0,36.760555555555555,-5.3741666666666665
Jerez de la Frontera Aeropuerto,Cádiz,35.4 (17:20),15.8 (02:10),25.6,39 (10:20),28 (10:10),0,0,0,0,0,36.75055555555556,-6.055833333333333
San Fernando,Cádiz,29.9 (13:30),19.0 (07:30),24.4,29 (17:40),19 (16:30),0,0,0,0,0,36.46555555555556,-6.205555555555556
Cádiz,Cádiz,28.5 (18:50),19.3 (07:10),23.9,35 (18:30),25 (07:00),0,0,0,0,0,36.499722222222225,-6.257777777777778
Vejer de la Frontera,Cádiz,33.0 (15:10),18.5 (23:30),25.8,34 (04:00),20 (05:40),0,0,0,0,0,36.245555555555555,-5.965
Melilla,Melilla,26.2 (11:40),16.9 (07:20),21.6,27 (14:10),20 (14:10),0,0,0,0,0,35.27638888888889,-2.956388888888889
Tarifa,Cádiz,24.6 (13:30),13.9 (04:50),19.3,61 (23:30),40 (18:50),0,0,0,0,0,36.013888888888886,-5.598888888888888
Estepona,Málaga,23.5 (17:20),16.0 (06:40),19.8,28 (23:50),19 (23:50),0,0,0,0,0,36.41694444444444,-5.155
Málaga Aeropuerto,Málaga,25.8 (09:10),19.0 (00:20),22.4,41 (05:30),29 (04:40),0,0,0,0,0,36.66611111111111,-4.482222222222222
"Málaga, Centro Meteorológico",Málaga,26.2 (09:50),18.4 (00:30),22.3,36 (15:40),24 (15:40),0,0,0,0,0,36.717777777777776,-4.4816666666666665
"Málaga, Puerto",Málaga,22.3 (03:00),17.2 (06:50),19.8,30 (15:50),19 (16:50),0,0,0,0,0,36.71666666666667,-4.419722222222222
Adra,Almería,25.0 (14:10),17.3 (08:10),21.1,25 (16:30),14 (16:30),0,0,0,0,0,36.74722222222222,-3.0205555555555557
Roquetas de Mar,Almería,23.6 (15:10),17.5 (04:20),20.6,46 (17:00),26 (16:40),0,0,0,0,0,36.68694444444444,-2.7016666666666667
Abla,Almería,27.3 (15:10),16.1 (23:59),21.7,40 (12:40),19 (11:50),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,29.4 (14:40),16.9 (04:10),23.1,54 (20:00),41 (19:20),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Huércal-Overa,Almería,24.1 (09:00),16.0 (07:00),20.1,34 (14:40),19 (14:10),0,0,0,0,0,37.39055555555556,-1.9436111111111112
Águilas,Murcia,25.5 (12:40),16.6 (07:20),21.1,43 (14:40),26 (15:50),0,0,0,0,0,37.41722222222222,-1.5869444444444445
Cartagena,Murcia,22.8 (14:30),16.2 (07:00),19.5,42 (10:00),24 (15:50),0,0,0,0,0,37.60111111111111,-0.9877777777777778
San Javier Aeropuerto,Murcia,23.3 (15:40),16.4 (05:50),19.8,54 (09:40),39 (09:40),0,0,0,0,0,37.788888888888884,-0.8033333333333333
Hellín,Albacete,27.5 (16:00),15.2 (23:59),21.3,33 (01:00),21 (01:00),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Caravaca de La Cruz,Murcia,28.5 (14:00),14.4 (04:50),21.4,32 (15:40),22 (15:40),0,0,0,0,0,38.1025,-1.8772222222222223
Cieza,Murcia,27.3 (13:30),17.5 (05:50),22.4,42 (16:30),24 (20:10),0,0,0,0,0,38.23277777777778,-1.3805555555555555
Murcia,Murcia,25.9 (12:30),17.8 (05:30),21.8,43 (14:50),26 (14:50),0,0,0,0,0,38.00194444444445,-1.1708333333333334
Lorca,Murcia,27.6 (15:10),16.2 (03:50),21.9,28 (14:30),12 (09:20),0,0,0,0,0,37.65472222222222,-1.6872222222222222
Yecla,Murcia,25.8 (16:10),14.5 (07:20),20.1,53 (01:20),30 (01:30),0,0,0,0,0,38.60166666666667,-1.159722222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,23.2 (09:50),16.7 (02:00),20,54 (12:00),38 (11:40),0,0,0,0,0,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,23.9 (10:40),17.4 (06:50),20.6,51 (13:40),28 (13:50),0,0,0,0,0,38.3725,-0.49416666666666664
Cuenca,Cuenca,25.6 (16:50),10.7 (07:10),18.2,28 (17:40),14 (17:40),0,0,0,0,0,40.06722222222223,-2.1319444444444446
Albacete Base Aérea,Albacete,29.0 (18:10),12.5 (07:10),20.8,33 (22:30),22 (20:30),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,25.8 (17:20),11.5 (07:10),18.6,31 (19:40),22 (19:40),0,0,0,0,0,38.93583333333333,-1.66
Albacete,Albacete,28.9 (18:20),14.1 (07:40),21.5,24 (20:50),10 (20:30),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Xàtiva,València/Valencia,25.5 (15:40),16.0 (07:50),20.8,35 (11:20),19 (10:00),0,0,0,0,0,39.001666666666665,-0.5236111111111111
Utiel,València/Valencia,24.0 (17:10),10.4 (07:10),17.2,33 (14:30),21 (20:30),0,0,0,0,0,39.57555555555556,-1.2447222222222223
