Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,28.6 (15:20),18.4 (05:00),23.5,30 (13:20),19 (16:10),1.3,0,0,0,1.3,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,26.7 (16:10),19.7 (06:30),23.2,35 (16:00),27 (14:50),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,31.3 (16:00),15.4 (07:20),23.3,36 (16:40),16 (16:20),0,0,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,25.2 (17:40),20.3 (04:40),22.8,36 (14:30),31 (14:20),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,28.3 (11:40),18.1 (05:30),23.2,33 (16:20),15 (16:40),0,0,0,0,0,41.587500000000006,2.54
Girona Aeropuerto,Girona,31.7 (14:30),15.5 (04:30),23.6,58 (18:00),45 (18:00),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,32.0 (15:20),15.7 (06:30),23.8,35 (18:20),16 (15:50),0,0,0,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,23.8 (15:10),17.7 (00:00),20.8,30 (17:30),19 (17:30),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,25.5 (14:30),13.1 (06:50),19.3,28 (17:00),16 (17:10),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,25.1 (16:50),16.4 (06:40),20.8,29 (12:10),17 (16:50),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,21.1 (13:00),13.7 (04:30),17.4,23 (13:30),12 (13:40),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,20.5 (16:10),15.3 (04:40),17.9,29 (18:20),23 (18:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,23.2 (13:10),15.1 (06:20),19.2,22 (13:20),14 (13:20),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,23.2 (12:50),11.2 (06:50),17.2,23 (16:40),8 (16:40),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,22.6 (12:30),12.5 (06:20),17.6,32 (16:00),21 (16:00),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,20.9 (12:40),14.4 (05:10),17.6,30 (13:10),14 (17:10),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,21.6 (17:30),13.7 (06:50),17.7,28 (12:10),18 (12:00),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,19.7 (12:00),15.5 (06:40),17.6,20 (12:40),16 (12:30),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,20.6 (15:10),15.2 (07:30),17.9,15 (17:50),8 (12:00),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,20.8 (14:20),16.8 (07:20),18.8,14 (19:00),10 (14:20),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,19.0 (11:30),16.4 (06:50),17.7,16 (16:50),10 (11:00),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,17.4 (15:30),14.5 (23:59),15.9,30 (23:30),19 (23:50),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.4 (12:30),14.2 (08:20),15.8,15 (04:20),9 (14:20),0.8,0,0.4,0,0.4,43.35333333333333,-5.874166666666667
Castropol,Asturias,18.6 (15:10),15.1 (07:30),16.9,19 (05:30),8 (05:30),0.7,0,0,0,0.7,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,17.3 (11:20),12.4 (23:59),14.8,42 (21:10),36 (21:10),1.4,0,0,0,1.4,43.78611111111111,-7.684722222222223
