España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,18.6 (14:20),6.5 (08:40),12.6,39 (22:10),27 (22:20),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,15.6 (16:30),9.9 (07:50),12.8,26 (10:40),19 (11:00),0.1,0.1,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,15.1 (15:00),4.2 (07:50),9.7,23 (17:30),11 (17:30),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,15.4 (15:50),10.8 (07:50),13.1,19 (10:40),12 (20:00),0.3,0.2,0.1,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,17.5 (12:50),9.5 (05:40),13.5,28 (21:10),13 (21:10),0.4,0,0.4,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,17.1 (14:00),6.5 (00:10),11.8,39 (15:50),27 (20:50),0.5,0,0.5,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,16.0 (14:10),5.1 (07:20),10.5,30 (18:10),16 (18:10),0.5,0,0.3,0.1,0.1,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,13.9 (14:00),10.6 (05:30),12.3,18 (16:30),13 (16:30),2.7,2.7,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,9.3 (15:20),6.5 (08:10),7.9,25 (06:10),13 (11:30),7.1,5.2,1.7,0.2,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,14.2 (14:30),10.8 (05:20),12.5,45 (00:10),31 (15:40),6.8,2.5,4,0,0.3,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,12.3 (15:30),9.0 (05:10),10.7,17 (17:40),8 (16:00),9.8,5.7,4.1,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,14.1 (15:00),10.9 (03:20),12.5,33 (06:00),24 (04:50),2,1.2,0.8,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,14.2 (13:00),9.0 (23:40),11.6,22 (06:50),10 (01:30),6.2,2.8,3.2,0.1,0.1,43.20333333333333,-3.104722222222222
Castro Urdiales,Cantabria,14.9 (12:20),11.7 (00:20),13.3,37 (06:20),27 (06:20),6,0,6,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,15.4 (12:40),11.0 (21:50),13.2,39 (13:50),21 (13:50),1.8,0,1.7,0,0.1,43.42388888888889,-3.8255555555555554
Santander,Cantabria,14.6 (11:50),11.9 (05:30),13.3,46 (14:00),32 (14:00),2.8,0,2.6,0,0.2,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,14.9 (12:30),10.8 (21:30),12.8,37 (01:30),22 (01:30),9.9,9.3,0,0,0.6,43.39333333333333,-4.392222222222222
"Gijón, Campus",Asturias,14.7 (16:00),9.3 (23:59),12,22 (16:50),10 (17:10),6,1.6,3.2,1.2,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,14.3 (13:10),10.1 (06:10),12.2,30 (11:10),13 (17:10),3.7,0.7,1.9,0.7,0.4,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,12.8 (14:30),8.7 (06:30),10.8,24 (18:10),10 (18:10),5,0.4,3.2,0.4,1,43.35333333333333,-5.874166666666667
Cabo Busto,Asturias,15.4 (14:00),10.9 (06:10),13.1,27 (18:20),15 (08:50),0.2,0,0,0,0.2,43.56916666666667,-6.47
Castropol,Asturias,15.6 (16:40),10.1 (05:10),12.9,17 (17:00),9 (19:40),4.6,0.1,3.9,0,0.6,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,14.2 (10:50),11.6 (04:20),12.9,51 (21:40),40 (21:10),1.8,0.4,0,1.4,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,15.7 (12:40),11.2 (08:30),13.4,33 (15:50),21 (19:10),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,14.5 (13:30),10.1 (02:00),12.3,51 (18:00),33 (18:00),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,14.3 (15:50),6.6 (00:00),10.5,32 (12:30),14 (12:40),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,17.7 (13:50),7.7 (00:30),12.7,33 (15:10),19 (03:30),0,0,0,0,0,42.73833333333334,-8.627222222222223
Pontevedra,Pontevedra,18.5 (14:30),7.5 (05:30),13,35 (15:10),15 (12:40),0,0,0,0,0,42.43833333333333,-8.615833333333333
Lugo Aeropuerto,Lugo,13.8 (14:20),3.5 (05:20),8.7,26 (15:30),13 (15:30),0,0,0,0,0,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,6.9 (15:20),2.5 (23:59),4.7,49 (03:30),23 (04:40),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,10.3 (17:20),1.1 (03:00),5.7,10 (14:30),6 (14:30),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,12.7 (14:50),1.2 (08:00),6.9,25 (00:30),10 (00:30),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,18.7 (15:10),4.6 (00:00),11.7,21 (15:20),8 (14:50),0,0,0,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,14.0 (15:40),-0.7 (00:00),6.7,28 (16:10),17 (16:10),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,11.0 (15:00),4.3 (23:59),7.7,56 (13:10),32 (13:00),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,11.3 (13:50),1.2 (23:59),6.3,54 (15:20),22 (15:00),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,1.7 (15:00),-1.9 (23:59),-0.1,53 (03:30),30 (03:10),0,0,0,0,0,41.19194444444444,-3.475277777777778
Cervera de Pisuerga,Palencia,9.5 (14:40),4.1 (08:30),6.8,41 (14:20),21 (14:30),1.2,0.4,0.6,0,0.2,42.870555555555555,-4.52
Burgos Aeropuerto,Burgos,8.9 (15:30),5.0 (07:20),6.9,45 (14:00),35 (14:00),0.2,0,0,0,0.2,42.356944444444444,-3.620277777777778
Autilla del Pino,Palencia,11.2 (13:20),1.0 (01:30),6.1,36 (15:40),26 (15:40),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,11.0 (15:00),-1.0 (04:00),5,26 (15:40),10 (16:40),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,8.1 (13:30),2.5 (01:50),5.3,36 (13:20),21 (13:30),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,1.3 (13:20),-1.5 (23:59),-0.1,55 (02:10),27 (00:30),0.4,0,0.4,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,8.4 (14:00),2.6 (23:59),5.5,25 (17:30),13 (04:20),0,0,0,0,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,9.9 (16:00),1.6 (08:10),5.7,11 (02:00),6 (02:00),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,4.0 (15:10),1.8 (22:00),2.9,56 (04:20),23 (07:00),4,1.8,1.6,0,0.6,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,14.0 (14:50),3.0 (00:00),8.5,30 (15:10),19 (16:00),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,13.7 (14:30),-1.0 (04:20),6.3,27 (17:10),15 (17:00),0,0,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,13.8 (15:50),-0.5 (08:00),6.7,19 (16:20),8 (16:00),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,14.8 (15:20),-2.9 (07:40),6,49 (17:40),12 (13:30),0,0,0,0,0,41.94138888888889,-6.279722222222222
