España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,30.5 (14:50),19.4 (07:20),24.9,30 (14:50),21 (17:00),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,28.9 (17:20),20.8 (05:30),24.8,41 (16:20),30 (17:00),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,34.3 (19:00),16.0 (07:40),25.1,31 (19:20),15 (14:50),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,27.2 (18:10),20.6 (05:50),23.9,46 (18:20),31 (16:30),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,28.2 (13:30),17.6 (00:00),22.9,27 (14:20),15 (12:30),0,0,0,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,29.3 (14:30),14.8 (06:40),22,35 (16:20),23 (12:50),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,26.9 (15:20),14.5 (06:20),20.7,22 (15:20),13 (15:20),0.1,0.1,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,28.6 (17:00),17.9 (05:20),23.3,35 (18:10),20 (18:10),2.5,0,0,0,2.5,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,27.3 (15:50),12.4 (06:30),19.8,30 (18:10),17 (18:10),0.3,0,0,0,0.3,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,27.6 (16:50),17.0 (06:10),22.3,51 (20:20),35 (20:20),0.1,0,0,0,0.1,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,28.4 (14:50),14.0 (06:50),21.2,28 (17:50),15 (17:50),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,25.3 (14:10),17.4 (06:30),21.3,60 (20:10),47 (20:00),0.6,0,0,0,0.6,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,27.9 (13:40),17.6 (06:40),22.8,0 (00:10),0 (00:10),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,28.5 (15:00),14.4 (07:10),21.4,29 (17:30),13 (21:10),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,29.0 (14:30),15.6 (06:10),22.3,45 (20:00),27 (17:40),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,25.4 (15:00),16.4 (06:00),20.9,46 (19:00),30 (19:00),0,0,0,0,0,43.39472222222222,-3.233888888888889
