España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Estaca de Bares,A Coruña,11.5 (15:30),8.2 (03:40),9.8,31 (19:00),24 (19:00),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,11.6 (14:20),3.9 (04:20),7.8,18 (18:20),12 (00:30),0,0,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,12.5 (14:30),5.5 (00:10),9,22 (17:10),15 (01:00),0,0,0,0,0,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,9.3 (14:10),6.5 (03:10),7.9,27 (02:40),20 (02:40),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,10.1 (16:40),-2.5 (07:00),3.8,15 (14:40),9 (14:00),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,9.8 (16:20),-2.2 (09:20),3.8,24 (10:00),18 (04:00),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,12.1 (17:00),-1.4 (08:40),5.4,13 (00:20),6 (07:20),0,0,0,0,0,42.876111111111115,-8.555833333333334
Hellín,Albacete,10.5 (14:30),1.0 (01:50),5.8,28 (13:10),18 (13:10),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Albacete Base Aérea,Albacete,5.6 (14:20),-9.5 (08:10),-2,14 (13:40),11 (13:30),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,3.5 (14:30),-4.0 (08:50),-0.3,37 (14:00),26 (13:20),0,0,0,0,0,38.93583333333333,-1.66
Albacete,Albacete,6.0 (16:20),-7.5 (07:40),-0.8,15 (00:50),5 (00:40),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,15.2 (14:30),3.9 (08:40),9.5,26 (02:10),19 (02:10),0,0,0,0,0,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,14.7 (14:00),1.0 (07:00),7.8,15 (13:10),9 (14:40),0,0,0,0,0,38.3725,-0.49416666666666664
Jávea/ Xàbia,Alacant/Alicante,15.7 (13:10),-0.9 (08:00),7.4,17 (03:00),12 (07:10),0,0,0,0,0,38.78361111111111,-0.16777777777777778
Roquetas de Mar,Almería,14.9 (15:10),1.7 (06:50),8.3,36 (13:20),24 (13:40),0,0,0,0,0,36.68694444444444,-2.7016666666666667
Abla,Almería,16.4 (14:40),2.4 (08:40),9.4,31 (02:00),10 (03:40),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,15.8 (14:00),6.6 (06:30),11.2,33 (14:30),25 (15:10),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Huércal-Overa,Almería,17.4 (13:30),0.5 (08:40),8.9,14 (15:50),6 (15:10),0,0,0,0,0,37.39055555555556,-1.9436111111111112
Vitoria Gasteiz Aeropuerto,Araba/Álava,7.5 (16:10),-1.8 (23:10),2.9,21 (08:00),15 (10:40),0,0,0,0,0,42.871944444444445,-2.7327777777777778
Llanes,Asturias,13.2 (14:50),5.3 (23:50),9.3,16 (20:10),13 (21:20),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,12.7 (15:30),0.1 (23:59),6.4,15 (15:40),9 (15:40),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,11.8 (14:50),2.0 (08:40),6.9,32 (04:40),22 (08:40),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,9.4 (15:40),0.8 (09:10),5.1,14 (00:10),10 (09:00),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,13.0 (16:00),0.6 (06:40),6.8,30 (08:00),15 (06:50),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Ávila,Ávila,9.1 (14:40),-8.9 (08:50),0.1,13 (15:50),7 (15:20),0,0,0,0,0,40.659166666666664,-4.680000000000001
Herrera del Duque,Badajoz,11.6 (16:30),-4.9 (07:10),3.4,12 (16:30),9 (17:00),0,0,0,0,0,39.169444444444444,-5.062222222222222
Don Benito,Badajoz,11.8 (16:40),-3.6 (08:40),4.1,12 (23:20),8 (21:10),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,11.1 (16:10),0.4 (07:30),5.8,15 (03:10),13 (03:10),0,0,0,0,0,38.23166666666667,-6.016944444444444
Mérida,Badajoz,13.2 (16:40),-5.0 (08:40),4.1,8 (11:50),7 (00:40),0,0,0,0,0,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,13.0 (16:40),-4.5 (08:40),4.3,10 (21:20),5 (17:00),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,14.6 (15:50),-3.5 (08:00),5.6,22 (19:10),18 (19:10),0,0,0,0,0,38.29861111111111,-6.765
