España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,13.3 (12:40),9.1 (14:40),11.2,72 (13:00),47 (12:40),81.8,1.6,2.4,73.9,3.9,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,16.3 (17:30),11.7 (19:50),14,67 (11:30),54 (15:30),33.4,0.1,0,10.1,23.2,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,13.5 (15:40),7.2 (06:10),10.3,30 (16:50),13 (17:00),25.2,0.4,0.2,4.2,20.4,41.72,-1.840277777777778
Barcelona,Barcelona,15.2 (20:30),11.2 (05:00),13.2,75 (16:30),54 (15:20),12.1,0,0,5,7.1,41.39055555555556,-2.2
Arenys de Mar,Barcelona,13.9 (16:00),10.3 (23:59),12.1,40 (11:50),17 (11:50),31.1,0,0,6.8,24.3,41.587500000000006,-2.54
Girona Aeropuerto,Girona,12.7 (15:10),6.8 (00:00),9.8,35 (22:40),24 (14:10),28.5,0,0,0,28.5,41.91166666666666,-2.763333333333333
Porqueres,Girona,12.7 (15:50),6.8 (00:00),9.8,38 (23:30),14 (23:30),10.7,0,0,0,10.7,42.10444444444445,-2.763611111111111
Zumarraga,Gipuzkoa,5.4 (14:40),2.5 (22:20),4,23 (11:20),9 (11:30),8,0,0,2.8,5.2,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,9.9 (11:50),7.8 (21:40),8.8,32 (02:30),18 (10:30),9.9,0,0,0.6,9.3,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,7.7 (00:20),5.8 (23:40),6.8,20 (01:20),10 (01:20),7.6,0,0,0.5,7.1,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,9.9 (00:00),8.1 (21:10),9,57 (00:10),47 (00:20),7,0,0,0,7,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,8.2 (11:20),6.1 (23:30),7.1,26 (12:10),10 (12:10),4.2,0,0,0,4.2,43.20333333333333,-3.104722222222222
Castro Urdiales,Cantabria,11.0 (17:50),8.2 (23:00),9.6,43 (00:30),26 (02:50),9.5,0,0,0,9.5,43.39472222222222,-3.233888888888889
