España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,14.2 (13:50),3.9 (05:00),9,21 (14:20),14 (15:20),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,13.3 (13:40),8.1 (03:50),10.7,33 (16:20),26 (17:00),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,17.4 (16:00),4.3 (09:40),10.8,25 (17:40),13 (18:10),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,12.4 (12:00),8.9 (04:00),10.6,31 (14:20),25 (14:40),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,14.6 (13:40),7.0 (02:20),10.8,23 (14:30),12 (14:30),0,0,0,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,13.2 (13:20),4.9 (01:50),9,35 (15:30),23 (16:10),0,0,0,0,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,15.4 (14:50),5.8 (00:00),10.6,32 (15:20),23 (16:40),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,16.2 (15:30),5.7 (23:59),11,23 (13:10),14 (13:10),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,22.4 (16:30),7.1 (06:30),14.7,52 (12:50),34 (14:10),0,0,0,0,0,43.356944444444444,-1.7922222222222222
