España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Barcelona Aeropuerto,Barcelona,11.6 (15:10),6.1 (23:20),8.9,41 (02:00),25 (00:40),5.6,4,0.2,1.4,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,12.7 (15:40),3.3 (23:59),8,40 (16:50),20 (16:40),0.2,0,0,0,0.2,41.72,-1.840277777777778
Barcelona,Barcelona,10.8 (15:00),6.0 (01:40),8.4,31 (00:50),22 (00:50),1,0.8,0,0.2,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,12.3 (13:40),4.8 (03:50),8.6,55 (23:40),18 (23:50),6.2,5.6,0,0.6,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,11.3 (14:20),3.3 (07:20),7.3,54 (22:10),15 (22:10),0.5,0,0,0.5,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,12.1 (13:40),1.6 (04:10),6.9,55 (16:10),39 (16:10),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,11.8 (14:00),1.2 (04:00),6.5,40 (15:20),20 (16:50),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,10.1 (19:00),6.5 (06:50),8.3,48 (20:50),38 (20:50),14,3,9.6,1.4,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,5.4 (11:50),2.8 (22:30),4.1,50 (08:40),23 (08:40),34.8,2.3,24,6,2.5,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,11.4 (20:30),8.6 (12:00),10,64 (22:30),50 (21:50),11.3,0.7,9.4,1.2,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,8.1 (12:00),6.3 (06:40),7.2,41 (23:00),20 (22:00),39.6,0.8,30.1,8.5,0.2,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,9.7 (12:30),7.8 (01:00),8.8,69 (11:00),52 (12:10),12.2,2,8.8,1.4,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,13.8 (13:20),9.1 (23:20),11.5,61 (12:50),30 (12:50),12.2,0.2,8.4,3.2,0.4,43.375,-3.0216666666666665
Bilbao Aeropuerto,Bizkaia,11.0 (17:00),7.3 (02:20),9.2,54 (12:50),37 (12:50),24.5,0.3,18.6,5.6,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,10.4 (13:10),8.3 (02:10),9.3,71 (20:50),40 (12:20),17.6,0.4,8.6,8.6,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,10.9 (17:10),8.2 (00:00),9.5,54 (13:40),33 (13:40),18.5,0.9,10.4,7.2,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,10.6 (12:30),8.4 (01:50),9.5,67 (13:20),44 (14:00),12.6,0.8,7,4.8,0,43.49111111111111,-3.8005555555555555
Llanes,Asturias,11.5 (14:20),8.0 (06:30),9.8,45 (23:10),33 (23:10),12.8,0.8,4.8,7.2,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,11.3 (14:10),7.0 (05:50),9.2,36 (19:20),18 (14:40),3.4,0.2,1.6,1.6,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,10.4 (15:00),5.9 (06:10),8.1,45 (20:40),27 (20:20),2.5,0.7,0.3,1.3,0.2,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,8.6 (16:40),4.5 (06:00),6.6,50 (16:40),28 (16:40),11.6,0,2.8,6,2.8,43.35333333333333,-5.874166666666667
Castropol,Asturias,11.7 (16:30),7.6 (06:40),9.6,44 (21:20),19 (21:20),2,0,0.4,1,0.6,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,11.7 (15:00),9.6 (02:50),10.7,78 (22:50),65 (22:50),0.2,0,0,0.2,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,12.9 (12:00),9.1 (05:30),11,50 (18:50),32 (21:30),0,0,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,12.8 (14:50),9.4 (02:50),11.1,83 (22:50),54 (23:40),0.3,0,0,0.3,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,11.7 (12:40),4.6 (06:20),8.1,41 (20:10),19 (12:50),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,15.6 (12:40),6.0 (04:00),10.8,46 (12:10),28 (12:10),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,13.9 (12:40),6.2 (07:10),10,41 (10:10),15 (17:40),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,16.1 (12:50),8.2 (01:10),12.2,49 (07:40),24 (07:40),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,17.0 (13:50),5.3 (03:30),11.2,61 (15:10),36 (16:10),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,8.8 (16:30),3.9 (01:40),6.4,44 (23:30),21 (23:20),1.6,0,0.4,1,0.2,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,1.8 (17:20),-2.8 (23:30),-0.5,91 (16:00),49 (15:10),1,0,0.8,0.2,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,14.1 (17:20),1.3 (07:10),7.7,40 (16:00),18 (12:40),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,11.4 (11:50),0.9 (04:10),6.1,36 (19:10),18 (19:10),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,14.1 (12:10),4.5 (07:10),9.3,39 (12:30),16 (12:40),0,0,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,15.1 (13:40),2.7 (04:50),8.9,53 (21:20),22 (21:20),0,0,0,0,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,10.1 (12:30),-2.0 (05:50),4.1,49 (13:00),32 (13:30),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,6.9 (12:00),-0.1 (22:50),3.4,54 (01:30),31 (01:30),1.8,0,0,1.8,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,10.1 (15:10),2.1 (23:59),6.1,68 (16:30),31 (16:20),0,0,0,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,-0.3 (17:20),-6.1 (23:59),-3.2,76 (20:20),46 (10:50),5,0,0,4.8,0.2,41.19194444444444,-3.475277777777778
Palacios de la Sierra,Burgos,7.4 (13:10),0.3 (23:50),3.9,69 (12:50),38 (14:00),0.2,0,0,0.2,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,8.5 (13:50),0.4 (23:59),4.5,70 (23:40),46 (23:50),1.8,0,0,1,0.8,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,13.8 (15:10),-1.2 (07:00),6.3,65 (17:10),35 (17:10),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,12.4 (15:10),0.5 (02:30),6.4,65 (16:30),45 (19:30),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,13.4 (16:30),2.9 (03:10),8.1,50 (21:30),19 (21:50),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,7.8 (18:40),-0.5 (03:50),3.7,52 (19:30),26 (19:30),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,-1.2 (18:30),-6.0 (02:40),-3.6,76 (11:00),31 (18:30),4.2,0,0,4.2,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,6.9 (18:20),0.1 (03:50),3.5,57 (18:20),28 (18:20),1,0,0.6,0.4,0,40.945277777777775,-4.126388888888888
"La Covatilla, estación de esquí",Salamanca,0.2 (19:30),-6.8 (02:30),-3.3,67 (07:50),48 (07:50),0,0,0,0,0,40.355000000000004,-5.69
Zamora,Zamora,16.0 (17:20),0.0 (07:00),8,48 (17:10),27 (17:10),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,1.3 (17:30),-2.8 (22:30),-0.8,86 (18:50),43 (20:30),11.4,0,1.4,8.2,1.8,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,12.8 (15:50),0.7 (03:30),6.8,55 (13:00),35 (16:10),0,0,0,0,0,42.58833333333334,-5.651111111111112
