España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Estaca de Bares,A Coruña,20.4 (17:10),14.3 (01:10),17.3,67 (16:20),46 (16:20),0,0,0,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,19.0 (15:50),13.6 (03:30),16.3,79 (15:30),35 (14:40),0.2,0,0,0.2,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,15.3 (15:20),12.6 (04:50),14,77 (09:00),51 (08:50),0.2,0,0,0,0.2,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,12.9 (13:50),11.2 (04:50),12,80 (05:40),46 (05:30),0.4,0.2,0,0,0.2,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,16.9 (16:20),9.7 (07:30),13.3,46 (13:40),24 (13:40),0,0,0,0,0,42.88805555555555,-8.410555555555556
Santiago de Compostela,A Coruña,16.6 (16:40),10.9 (05:10),13.8,33 (14:30),13 (14:20),0,0,0,0,0,42.876111111111115,-8.555833333333334
Hellín,Albacete,15.8 (16:40),4.9 (08:20),10.4,25 (14:30),15 (14:30),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Albacete Base Aérea,Albacete,16.2 (16:10),-1.0 (07:20),7.6,30 (12:40),20 (12:30),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,14.8 (14:30),0.7 (07:20),7.8,33 (19:00),24 (19:00),0,0,0,0,0,38.93583333333333,-1.66
Albacete,Albacete,17.0 (15:40),1.6 (08:20),9.3,32 (16:30),9 (19:50),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,17.2 (12:40),8.8 (02:40),13,39 (16:20),30 (14:30),0.9,0,0,0,0.9,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,18.2 (12:00),7.4 (08:20),12.8,35 (15:20),21 (16:10),4.6,0,0,0,4.6,38.3725,-0.49416666666666664
Jávea/ Xàbia,Alacant/Alicante,17.7 (12:40),7.2 (04:00),12.5,30 (10:20),19 (10:30),0,0,0,0,0,38.78361111111111,-0.16777777777777778
Roquetas de Mar,Almería,18.3 (13:20),8.5 (06:50),13.4,50 (15:40),31 (15:50),0,0,0,0,0,36.68694444444444,-2.7016666666666667
Abla,Almería,17.1 (14:00),5.8 (08:00),11.5,38 (16:20),19 (16:30),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,20.7 (13:00),8.6 (07:10),14.7,54 (15:00),39 (15:30),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Huércal-Overa,Almería,17.7 (14:10),6.7 (06:40),12.2,32 (16:00),12 (11:20),0,0,0,0,0,37.39055555555556,-1.9436111111111112
Vitoria Gasteiz Aeropuerto,Araba/Álava,15.3 (15:00),0.0 (05:00),7.7,37 (16:10),23 (14:10),0,0,0,0,0,42.871944444444445,-2.7327777777777778
Llanes,Asturias,16.0 (13:10),8.3 (07:40),12.2,16 (00:20),12 (00:20),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,19.8 (15:20),5.2 (07:00),12.5,37 (20:40),17 (20:10),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,20.2 (15:00),9.3 (06:40),14.8,32 (04:30),23 (07:00),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,20.3 (15:00),8.5 (05:30),14.4,21 (17:00),11 (19:30),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,21.8 (16:30),10.2 (02:40),16,44 (16:20),19 (06:50),0,0,0,0,0,43.52472222222222,-7.0313888888888885
Puerto de Leitariegos,Asturias,10.6 (11:50),1.7 (08:10),6.2,60 (18:20),28 (18:20),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ávila,Ávila,13.2 (15:20),-0.2 (07:00),6.5,32 (16:10),18 (16:30),0,0,0,0,0,40.659166666666664,-4.680000000000001
Herrera del Duque,Badajoz,19.6 (16:30),3.2 (06:50),11.4,21 (13:40),13 (13:50),0,0,0,0,0,39.169444444444444,-5.062222222222222
Don Benito,Badajoz,20.1 (17:10),5.2 (06:50),12.7,22 (16:50),13 (12:40),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,18.1 (16:00),6.7 (01:30),12.4,29 (22:50),21 (20:40),0,0,0,0,0,38.23166666666667,-6.016944444444444
Mérida,Badajoz,20.2 (16:30),5.6 (07:00),12.9,20 (11:10),17 (11:00),0,0,0,0,0,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,20.7 (16:00),4.4 (07:50),12.6,22 (17:50),17 (17:50),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,20.5 (14:50),4.6 (06:30),12.5,22 (15:30),17 (17:20),0,0,0,0,0,38.29861111111111,-6.765
Barcelona Aeropuerto,Barcelona,13.1 (00:00),8.2 (23:20),10.7,42 (04:10),33 (03:50),0.4,0,0.4,0,0,41.29277777777778,-2.0700000000000003
Barcelona,Barcelona,12.3 (00:30),8.3 (23:30),10.3,43 (03:20),38 (03:30),1.4,0,1.4,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,11.6 (00:00),6.9 (21:50),9.3,22 (05:20),9 (05:20),2.5,1.4,1.1,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,10.4 (00:00),5.3 (22:30),7.8,16 (08:00),8 (04:20),4.1,2.2,1.7,0.2,0,41.65083333333333,-2.6969444444444446
Punta Galea,Bizkaia,20.2 (14:40),9.5 (02:10),14.9,44 (21:00),21 (20:50),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,17.3 (14:50),3.5 (08:30),10.4,33 (23:00),16 (23:00),0.2,0.2,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,19.6 (14:50),5.5 (04:40),12.6,58 (13:30),37 (13:40),0,0,0,0,0,43.29805555555556,-2.906388888888889
Aranda de Duero,Burgos,14.5 (16:40),-1.0 (07:00),6.8,21 (12:40),10 (13:20),0,0,0,0,0,41.66583333333333,-3.742777777777778
Palacios de la Sierra,Burgos,13.8 (15:20),-1.5 (07:00),6.2,29 (14:00),13 (02:20),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,13.8 (14:30),0.4 (01:50),7.1,32 (14:40),20 (14:20),0,0,0,0,0,42.356944444444444,-3.620277777777778
Medina de Pomar,Burgos,15.6 (14:20),0.5 (04:00),8.1,33 (17:40),18 (18:40),0,0,0,0,0,42.919999999999995,-3.4827777777777778
Navalmoral de la Mata,Cáceres,18.6 (17:20),4.1 (08:40),11.4,27 (11:40),15 (11:40),0,0,0,0,0,39.94583333333333,-5.5825
Cáceres,Cáceres,19.1 (15:30),4.8 (08:50),12,27 (12:40),19 (12:40),0,0,0,0,0,39.47138888888889,-6.338888888888889
Plasencia,Cáceres,18.7 (16:50),6.8 (08:40),12.8,30 (15:50),13 (22:00),0,0,0,0,0,40.043055555555554,-6.085833333333333
Coria,Cáceres,19.1 (17:10),6.0 (08:50),12.6,30 (12:40),19 (12:20),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,18.5 (16:50),5.4 (06:30),12,30 (13:30),16 (12:40),0,0,0,0,0,39.414722222222224,-7.231111111111111
Grazalema,Cádiz,17.8 (12:00),4.3 (01:00),11,33 (23:10),14 (15:30),0,0,0,0,0,36.760555555555555,-5.3741666666666665
Jerez de la Frontera Aeropuerto,Cádiz,21.8 (16:00),3.9 (08:40),12.8,30 (18:10),20 (02:10),0,0,0,0,0,36.75055555555556,-6.055833333333333
San Fernando,Cádiz,21.5 (15:10),9.6 (05:40),15.6,58 (23:59),27 (21:10),0,0,0,0,0,36.46555555555556,-6.205555555555556
Cádiz,Cádiz,20.8 (15:00),11.3 (07:20),16,67 (23:20),47 (23:20),0,0,0,0,0,36.499722222222225,-6.257777777777778
Vejer de la Frontera,Cádiz,19.2 (13:50),10.9 (08:10),15.1,48 (14:30),22 (22:50),0,0,0,0,0,36.245555555555555,-5.965
Tarifa,Cádiz,15.8 (11:40),8.9 (01:40),12.3,74 (22:20),50 (23:30),0,0,0,0,0,36.013888888888886,-5.598888888888888
Castro Urdiales,Cantabria,19.8 (14:20),8.2 (06:40),14,64 (23:40),44 (23:50),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,21.4 (14:10),2.9 (08:00),12.1,55 (22:10),35 (22:10),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,21.3 (14:00),9.2 (07:10),15.2,57 (21:30),34 (21:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,18.4 (17:10),6.9 (06:40),12.6,30 (01:40),16 (06:20),0,0,0,0,0,43.39333333333333,-4.392222222222222
Reinosa,Cantabria,11.7 (23:59),-2.2 (05:20),4.7,55 (12:20),29 (08:40),0,0,0,0,0,42.99194444444444,-4.160555555555556
Castellón - Almassora,Castelló/Castellón,16.6 (12:30),7.5 (08:00),12.1,28 (22:20),15 (22:10),0.2,0,0,0,0.2,39.95722222222223,-0.07194444444444445
Ceuta,Ceuta,17.8 (13:00),12.3 (06:00),15,38 (23:50),21 (23:50),0,0,0,0,0,35.88861111111111,-5.3469444444444445
Tomelloso,Ciudad Real,16.9 (16:50),-0.1 (08:10),8.4,31 (18:20),23 (17:50),0,0,0,0,0,39.16916666666666,-3.0075
Ciudad Real,Ciudad Real,16.4 (15:20),2.3 (08:10),9.3,21 (15:50),12 (16:20),0,0,0,0,0,38.98916666666667,-3.9202777777777778
Valdepeñas,Ciudad Real,16.6 (16:00),1.3 (08:30),9,17 (15:20),10 (23:20),0,0,0,0,0,38.75055555555556,-3.391388888888889
Viso del Marqués,Ciudad Real,16.7 (16:30),2.4 (08:50),9.6,21 (23:59),18 (23:59),0,0,0,0,0,38.518055555555556,-3.5666666666666664
Puebla de Don Rodrigo,Ciudad Real,19.2 (15:10),2.0 (07:20),10.6,33 (13:10),20 (13:10),0.1,0,0.1,0,0,39.08861111111111,-4.616388888888888
Hinojosa del Duque,Córdoba,19.6 (17:00),2.1 (07:40),10.9,13 (14:30),9 (23:30),0,0,0,0,0,38.49861111111111,-5.1211111111111105
Villanueva de Córdoba,Córdoba,19.5 (16:40),6.7 (07:50),13.1,24 (12:50),13 (10:30),0,0,0,0,0,38.33305555555556,-4.608888888888888
