España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,15.7 (14:40),10.6 (23:59),13.2,15 (13:00),11 (13:00),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,16.2 (13:10),10.6 (06:00),13.4,35 (13:50),26 (13:50),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,14.2 (16:20),4.2 (04:40),9.2,15 (10:10),8 (17:10),0.2,0,0,0,0.2,41.72,-1.840277777777778
Barcelona,Barcelona,15.2 (15:50),12.5 (07:10),13.8,27 (13:50),14 (12:50),0.1,0,0.1,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,16.6 (13:20),11.0 (22:00),13.8,26 (14:30),12 (14:30),0,0,0,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,16.3 (14:10),6.6 (02:50),11.4,41 (14:00),28 (14:30),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,16.8 (15:10),4.4 (02:50),10.6,15 (16:00),10 (16:00),0.7,0,0.7,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,18.9 (15:00),13.8 (07:10),16.3,42 (12:00),27 (12:00),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,16.9 (13:10),14.5 (23:40),15.7,58 (01:50),36 (01:40),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,15.2 (14:50),10.4 (23:30),12.8,52 (02:40),16 (10:20),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,16.5 (00:30),14.1 (22:10),15.3,65 (11:50),35 (12:20),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,15.5 (14:30),10.1 (00:10),12.8,40 (14:40),22 (14:40),0.1,0,0.1,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,17.1 (16:10),13.9 (21:30),15.5,48 (02:10),30 (11:30),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,17.0 (05:10),15.1 (23:00),16.1,72 (08:40),39 (11:50),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,17.6 (01:30),14.9 (08:50),16.3,61 (09:50),37 (10:00),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,17.4 (00:50),11.7 (08:00),14.5,54 (22:10),33 (18:20),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,14.8 (14:50),8.6 (09:00),11.7,28 (14:00),21 (14:00),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.5 (15:10),9.2 (08:20),12.8,30 (13:00),13 (13:00),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,15.5 (15:20),4.3 (07:10),9.9,21 (18:20),13 (18:20),0,0,0,0,0,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,13.8 (08:00),11.6 (01:40),12.7,33 (10:10),19 (10:10),0.1,0,0,0.1,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,14.3 (14:20),8.7 (05:40),11.5,30 (06:00),18 (06:00),0.2,0,0.2,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,14.3 (16:50),6.9 (03:40),10.6,22 (09:00),10 (04:30),0,0,0,0,0,43.35333333333333,-5.874166666666667
Cabo Busto,Asturias,14.4 (14:00),9.8 (02:10),12.1,36 (09:30),27 (09:40),0.2,0,0.2,0,0,43.56916666666667,-6.47
Castropol,Asturias,14.7 (01:40),10.7 (09:40),12.7,43 (00:50),20 (08:30),8.4,0,4.4,4,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,14.5 (14:30),11.1 (07:00),12.8,60 (12:50),44 (07:00),2.2,0,2.2,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,15.4 (14:40),11.6 (06:20),13.5,46 (05:30),25 (05:30),4.6,4.2,0.4,0,0,43.365833333333335,-8.421388888888888
