España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,30.4 (14:00),19.6 (08:00),25,28 (14:00),18 (14:00),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,29.4 (16:30),23.8 (07:50),26.6,39 (15:00),29 (00:50),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,32.2 (17:20),18.9 (08:10),25.6,27 (17:50),16 (17:50),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,28.1 (16:10),23.8 (07:10),25.9,38 (01:40),32 (01:40),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,29.6 (15:40),22.3 (06:20),25.9,30 (14:10),13 (13:40),0,0,0,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,32.5 (17:10),20.7 (08:00),26.6,48 (17:40),37 (17:50),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,32.8 (15:20),19.3 (07:30),26,29 (18:20),16 (18:20),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,26.7 (13:40),19.8 (08:20),23.3,28 (16:20),17 (17:00),28.8,0,0,0,28.8,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,25.2 (14:00),14.8 (08:10),20,24 (18:50),14 (19:10),31.5,0,0,0,31.5,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,24.9 (17:30),19.1 (23:30),22,40 (04:10),24 (21:10),27.3,0,0,0,27.3,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,26.0 (13:20),16.5 (08:30),21.3,26 (13:50),12 (14:00),13.6,0,0,0,13.6,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,23.3 (11:00),18.3 (23:59),20.8,43 (21:40),29 (23:10),2.4,0,0,0,2.4,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,24.4 (15:10),14.8 (08:20),19.6,24 (16:30),9 (19:30),8.5,0,0,0.1,8.4,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,26.3 (13:00),18.0 (08:20),22.1,32 (15:20),24 (15:50),2.6,0,0,0,2.6,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,23.7 (10:20),17.9 (07:40),20.8,35 (16:10),23 (15:40),3.3,0,0,0.3,3,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,23.7 (14:50),18.4 (03:40),21.1,32 (16:30),22 (16:30),16.1,0,0,0,16.1,43.42388888888889,-3.8255555555555554
Santander,Cantabria,21.7 (14:30),18.2 (02:40),20,33 (10:40),24 (10:50),4.4,0,0,0.8,3.6,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,21.8 (10:40),17.7 (22:00),19.8,30 (21:50),19 (21:50),7,0.1,0,0,6.9,43.39333333333333,-4.392222222222222
Llanes,Asturias,20.8 (12:20),18.1 (07:50),19.4,27 (20:50),15 (20:50),4.4,0,0,0,4.4,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,20.2 (17:30),17.7 (07:30),19,13 (15:20),9 (15:20),48.8,3.8,41.8,2,1.2,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,19.9 (17:10),18.0 (10:30),18.9,21 (11:30),12 (10:20),26.3,0.4,11.3,14.6,0,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,19.6 (17:10),17.4 (08:40),18.5,17 (07:00),9 (15:10),46.3,0.9,26.8,18.6,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,18.0 (18:10),16.6 (07:20),17.3,19 (14:10),11 (16:40),12.8,1.4,1.8,7.6,2,43.35333333333333,-5.874166666666667
Castropol,Asturias,22.1 (16:20),17.8 (08:40),19.9,23 (12:40),13 (12:30),7,1.5,5.4,0.1,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,20.1 (16:30),17.3 (21:10),18.7,29 (04:40),22 (04:40),0.6,0,0.2,0,0.4,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,20.9 (15:10),17.4 (06:30),19.1,33 (14:50),22 (14:50),0,0,0,0,0,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,20.7 (14:00),16.0 (23:00),18.4,46 (07:50),33 (06:00),0,0,0,0,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,23.0 (16:20),15.3 (23:59),19.2,32 (13:30),17 (20:10),0,0,0,0,0,42.88805555555555,-8.410555555555556
Padrón,A Coruña,25.0 (17:40),16.6 (23:59),20.8,31 (13:50),21 (15:10),0.2,0.1,0.1,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,24.2 (14:40),16.8 (23:59),20.5,26 (14:50),10 (14:10),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,25.0 (18:30),17.2 (06:20),21.1,23 (15:50),11 (16:00),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,23.1 (15:50),16.5 (00:20),19.8,33 (16:30),22 (16:20),0,0,0,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,19.6 (16:40),15.6 (23:59),17.6,25 (15:50),12 (16:20),18.8,1.4,13.8,3.6,0,43.11138888888889,-7.4575000000000005
Ponferrada,León,24.3 (17:40),15.3 (07:10),19.8,21 (16:50),11 (17:00),0.2,0,0,0,0.2,42.56388888888888,-6.6
A Pobra de Trives,Ourense,21.4 (14:50),13.8 (08:10),17.6,24 (16:30),11 (16:10),0.8,0.8,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,25.4 (17:00),17.2 (06:30),21.3,20 (17:00),6 (15:30),3.6,1.4,2.2,0,0,42.32527777777778,-7.859722222222222
Xinzo de Limia,Ourense,22.4 (18:10),13.1 (06:30),17.8,28 (17:30),19 (17:30),0.2,0.1,0.1,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,22.1 (16:50),12.1 (09:20),17.1,25 (17:20),14 (16:20),0.2,0,0.2,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,20.6 (15:00),13.8 (08:00),17.2,24 (17:10),10 (17:10),0.6,0,0.6,0,0,41.66583333333333,-3.742777777777778
"La Pinilla, estación de esquí",Segovia,15.1 (16:50),8.7 (23:20),11.9,67 (00:10),35 (00:40),0.2,0,0.2,0,0,41.19194444444444,-3.475277777777778
