España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,28.8 (13:30),20.3 (07:40),24.5,32 (15:40),18 (14:10),4.6,4.6,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,27.3 (12:20),22.2 (23:50),24.8,28 (17:30),19 (10:10),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,28.8 (14:20),16.0 (23:50),22.4,51 (20:00),25 (20:10),3.4,0,0,0,3.4,41.72,-1.840277777777778
Barcelona,Barcelona,26.4 (12:00),21.8 (23:30),24.1,27 (13:20),23 (13:10),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,29.0 (13:10),19.7 (02:30),24.4,23 (13:10),9 (04:20),0,0,0,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,31.1 (14:00),16.7 (06:30),23.9,33 (15:30),26 (16:50),1.6,0,0,0,1.6,41.91166666666666,-2.763333333333333
Porqueres,Girona,29.4 (14:30),16.8 (07:30),23.1,29 (16:40),14 (16:40),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.6 (16:30),17.5 (06:30),21.1,21 (12:30),15 (14:20),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,24.9 (14:20),11.4 (05:50),18.1,20 (16:30),12 (16:40),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,25.4 (14:10),16.2 (06:50),20.8,18 (16:20),12 (08:30),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,24.1 (15:10),13.7 (04:30),18.9,22 (17:00),12 (14:40),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,22.6 (14:10),17.7 (06:50),20.2,24 (03:40),17 (16:50),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,25.6 (15:30),12.5 (07:00),19.1,21 (15:30),8 (15:40),0,0,0,0,0,43.20333333333333,-3.104722222222222
