España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,18.6 (12:50),6.4 (03:50),12.5,22 (13:20),14 (13:20),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,18.5 (14:10),12.5 (00:00),15.5,26 (16:30),21 (04:00),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,18.0 (17:30),9.5 (07:50),13.8,25 (20:10),13 (19:50),0.8,0.6,0.2,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,16.3 (15:00),12.5 (00:40),14.4,27 (00:30),23 (01:10),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,18.4 (13:40),11.2 (23:59),14.8,15 (15:10),5 (15:00),0.1,0,0.1,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,17.0 (13:50),8.6 (23:40),12.8,19 (06:00),10 (14:20),0,0,0,0,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,19.4 (15:00),11.0 (23:59),15.2,24 (17:10),16 (16:40),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,18.8 (14:30),9.2 (23:59),14,20 (16:10),12 (16:20),2,2,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,20.0 (15:40),5.1 (06:50),12.5,59 (14:30),42 (12:10),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,13.4 (15:30),2.9 (02:00),8.1,41 (12:30),17 (11:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,20.4 (15:40),7.3 (02:40),13.8,62 (12:10),35 (13:00),0.2,0,0.2,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,17.9 (16:00),5.0 (02:10),11.4,59 (11:40),28 (11:40),0.1,0,0.1,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,20.0 (16:30),8.3 (03:30),14.2,42 (12:20),20 (09:50),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,20.2 (15:40),8.9 (01:00),14.6,45 (09:50),21 (13:30),0.1,0,0.1,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,18.5 (15:30),3.2 (02:50),10.9,46 (13:50),18 (16:10),0.1,0.1,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,20.0 (16:10),7.2 (01:50),13.6,63 (11:00),36 (11:40),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,21.1 (15:30),8.7 (00:10),14.9,65 (09:30),37 (09:30),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,20.3 (16:40),4.4 (00:30),12.3,63 (11:50),43 (12:00),0,0,0,0,0,43.42388888888889,-3.8255555555555554
