España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,16.2 (15:40),7.4 (01:30),11.8,22 (14:00),13 (14:00),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,16.0 (11:20),10.0 (05:10),13,21 (14:30),14 (07:20),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,15.6 (14:40),8.1 (07:40),11.9,18 (19:30),9 (19:20),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,15.4 (13:10),10.8 (05:10),13.1,19 (13:40),14 (14:20),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,16.0 (15:00),9.3 (05:20),12.7,18 (15:00),9 (14:20),0,0,0,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,14.0 (12:30),7.2 (05:30),10.6,29 (16:20),15 (16:20),0,0,0,0,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,15.6 (13:40),7.0 (23:59),11.3,35 (13:30),26 (15:00),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,14.9 (14:30),6.9 (23:59),10.9,21 (15:20),11 (14:50),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,16.9 (13:30),7.0 (07:30),11.9,18 (14:10),14 (14:10),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,15.7 (14:40),5.7 (07:50),10.7,18 (12:50),8 (14:10),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,19.6 (14:50),9.7 (04:20),14.7,22 (07:40),16 (16:10),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,19.0 (13:50),6.7 (08:00),12.8,26 (15:50),15 (15:50),0,0,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,15.8 (11:20),10.9 (08:00),13.3,25 (20:00),19 (17:30),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,18.2 (11:30),10.8 (23:40),14.5,26 (16:40),14 (16:40),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,19.6 (15:00),6.1 (05:40),12.9,17 (11:40),8 (11:40),0,0,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,20.9 (16:10),7.8 (04:50),14.3,26 (18:00),19 (18:00),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,16.8 (14:20),8.4 (08:00),12.6,19 (14:00),10 (14:00),0,0,0,0,0,43.39472222222222,-3.233888888888889
San Vicente de la Barquera,Cantabria,14.6 (13:40),6.8 (06:30),10.7,35 (16:30),22 (17:10),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.3 (14:40),7.9 (07:40),12.1,33 (17:40),27 (17:00),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.8 (15:50),4.0 (07:40),10.9,31 (17:40),17 (13:50),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,17.0 (13:20),7.6 (02:00),12.3,33 (17:20),23 (17:20),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,18.8 (15:30),7.0 (07:20),12.9,25 (15:00),16 (14:40),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,16.6 (15:00),7.8 (04:10),12.2,20 (08:10),12 (08:20),0.1,0.1,0,0,0,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,13.6 (14:10),10.6 (04:20),12.1,53 (23:59),39 (20:20),0.2,0,0.2,0,0,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.2 (13:20),11.5 (05:40),14.4,20 (17:40),14 (17:40),0,0,0,0,0,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,14.8 (13:00),10.7 (22:50),12.8,40 (08:20),19 (20:40),1.9,1.3,0.6,0,0,43.160555555555554,-9.210833333333333
Santiago de Compostela Aeropuerto,A Coruña,18.4 (16:30),8.3 (09:50),13.3,18 (17:20),13 (19:50),0.6,0,0,0,0.6,42.88805555555555,-8.410555555555556
Padrón,A Coruña,16.8 (15:50),6.6 (08:00),11.7,24 (07:20),19 (07:10),0,0,0,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,18.5 (17:00),8.7 (07:00),13.6,18 (18:20),9 (18:20),0,0,0,0,0,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,16.6 (16:30),9.9 (08:20),13.3,22 (07:00),15 (06:50),0,0,0,0,0,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,15.9 (15:50),9.6 (07:40),12.8,22 (18:00),14 (17:20),0.1,0,0.1,0,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,18.8 (16:00),4.2 (01:40),11.5,41 (18:10),14 (18:10),4,0.2,0,0,3.8,43.11138888888889,-7.4575000000000005
Puerto de Leitariegos,Asturias,12.0 (15:10),2.7 (06:10),7.4,33 (13:50),21 (11:30),0,0,0,0,0,42.994166666666665,-6.4141666666666675
Ponferrada,León,18.4 (16:10),4.5 (08:10),11.4,23 (22:30),13 (22:30),0,0,0,0,0,42.56388888888888,-6.6
A Pobra de Trives,Ourense,14.2 (15:30),5.2 (08:10),9.7,23 (18:20),14 (14:00),0,0,0,0,0,42.339444444444446,-7.2825
Ourense,Ourense,20.1 (16:10),7.7 (07:10),13.9,22 (17:10),11 (16:00),0.4,0.4,0,0,0,42.32527777777778,-7.859722222222222
"Carballiño, O",Ourense,19.2 (16:10),6.5 (08:20),12.9,17 (16:20),6 (17:00),0,0,0,0,0,42.421388888888885,-8.092500000000001
Xinzo de Limia,Ourense,14.9 (13:30),3.8 (04:20),9.3,33 (16:50),20 (16:20),0,0,0,0,0,42.07916666666667,-7.733611111111111
Soria,Soria,15.8 (15:00),0.5 (08:30),8.2,17 (20:30),10 (18:30),0,0,0,0,0,41.775,-2.4830555555555556
Aranda de Duero,Burgos,16.4 (14:50),2.3 (07:10),9.3,26 (12:20),14 (17:40),0,0,0,0,0,41.66583333333333,-3.742777777777778
Cervera de Pisuerga,Palencia,17.2 (13:50),1.3 (07:10),9.3,30 (14:30),19 (13:40),0.6,0,0,0.6,0,42.870555555555555,-4.52
Palacios de la Sierra,Burgos,14.9 (16:00),-0.9 (08:10),7,25 (20:20),16 (20:10),0,0,0,0,0,41.959722222222226,-3.131666666666667
Burgos Aeropuerto,Burgos,15.6 (14:00),1.5 (05:50),8.6,26 (16:10),21 (17:30),0,0,0,0,0,42.356944444444444,-3.620277777777778
Carrión de los Condes,Palencia,15.9 (16:00),3.2 (01:10),9.5,21 (17:20),11 (23:59),0,0,0,0,0,42.350833333333334,-4.617222222222223
Autilla del Pino,Palencia,16.6 (16:00),2.3 (06:40),9.5,25 (11:00),19 (11:00),0,0,0,0,0,41.995555555555555,-4.602777777777778
Valladolid,Valladolid,18.5 (15:30),4.0 (08:10),11.3,34 (20:00),18 (20:10),0,0,0,0,0,41.64083333333333,-4.754444444444444
Ávila,Ávila,13.6 (15:20),5.4 (09:00),9.5,32 (16:10),16 (12:20),0,0,0,0,0,40.659166666666664,-4.680000000000001
Puerto de Navacerrada,Madrid,8.7 (14:30),1.3 (23:59),5,36 (09:00),24 (00:40),0,0,0,0,0,40.793055555555554,-4.010555555555555
Segovia,Segovia,15.6 (14:10),4.9 (08:00),10.3,34 (16:30),22 (16:40),0,0,0,0,0,40.945277777777775,-4.126388888888888
Zamora,Zamora,17.9 (17:00),4.1 (08:20),11,23 (15:00),13 (14:00),0,0,0,0,0,41.51555555555556,-5.735277777777778
Puerto de San Isidro,León,10.8 (15:00),-0.7 (07:30),5.1,34 (18:20),23 (18:20),0,0,0,0,0,43.06222222222222,-5.376944444444444
"León, Virgen del Camino",León,16.0 (16:20),4.9 (02:10),10.5,26 (13:30),15 (13:30),0,0,0,0,0,42.58833333333334,-5.651111111111112
Lagunas de Somoza,León,15.0 (15:40),0.2 (07:00),7.6,23 (15:10),15 (15:10),0,0,0,0,0,42.3775,-6.196666666666667
Benavente,Zamora,16.9 (16:10),4.0 (07:20),10.4,23 (14:40),12 (13:10),0,0,0,0,0,42.01083333333333,-5.666666666666667
Villardeciervos,Zamora,15.5 (16:30),0.3 (08:00),7.9,53 (09:00),13 (11:50),0,0,0,0,0,41.94138888888889,-6.279722222222222
Salamanca Aeropuerto,Salamanca,18.2 (15:30),0.9 (08:10),9.6,52 (17:10),26 (17:10),0,0,0,0,0,40.95944444444445,-5.498333333333333
Salamanca,Salamanca,18.7 (16:00),4.3 (07:40),11.5,17 (23:10),9 (23:10),0,0,0,0,0,40.9575,-5.662222222222223
Vitigudino,Salamanca,16.2 (16:30),4.7 (05:10),10.5,19 (07:30),13 (07:30),0,0,0,0,0,41.01138888888889,-6.437777777777778
Saelices El Chico,Salamanca,16.9 (14:20),3.2 (07:10),10,30 (14:10),18 (14:10),0,0,0,0,0,40.635,-6.6
Molina de Aragón,Guadalajara,16.2 (16:40),-0.6 (08:00),7.8,24 (16:50),12 (18:20),0,0,0,0,0,40.84166666666667,-1.8788888888888888
Tarancón,Cuenca,18.3 (16:30),6.6 (03:20),12.4,33 (05:00),20 (04:20),0,0,0,0,0,40.01138888888889,-3.0213888888888887
Aranjuez,Madrid,16.7 (16:00),5.1 (05:30),10.9,28 (11:10),20 (11:20),0,0,0,0,0,40.06722222222223,-3.546111111111111
Buitrago del Lozoya,Madrid,13.8 (14:20),0.7 (07:20),7.3,17 (14:50),9 (14:10),0,0,0,0,0,41.00694444444444,-3.613611111111111
Madrid Aeropuerto,Madrid,13.2 (17:40),3.2 (07:00),8.2,17 (15:10),8 (03:50),0,0,0,0,0,40.46666666666667,-3.5555555555555554
