España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Barcelona Aeropuerto,Barcelona,11.9 (15:50),5.4 (22:10),8.6,61 (17:20),46 (17:20),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,9.0 (15:10),0.1 (05:50),4.6,51 (14:40),26 (13:30),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,10.7 (15:50),5.3 (07:00),8,60 (17:50),32 (17:50),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,13.2 (13:20),4.1 (06:30),8.6,31 (09:50),14 (06:50),0,0,0,0,0,41.587500000000006,-2.54
Girona Aeropuerto,Girona,11.5 (14:20),-1.2 (06:50),5.1,26 (17:30),17 (17:30),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,9.9 (13:40),-1.7 (07:50),4.1,25 (20:10),13 (20:10),0.2,0,0.2,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,10.2 (06:50),7.5 (10:30),8.8,54 (04:40),28 (16:40),18.3,3.2,2.2,3.6,9.3,43.356944444444444,-1.7922222222222222
Zumaia,Gipuzkoa,10.7 (23:10),6.9 (08:20),8.8,94 (09:20),56 (16:30),17.3,1.5,4.2,3.6,8,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,7.9 (22:00),2.9 (03:10),5.4,42 (12:30),14 (06:40),55.7,9.1,11.6,15.3,19.7,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,10.2 (22:10),6.0 (06:50),8.1,100 (16:20),75 (08:20),15,0.8,5.6,4,4.6,43.45388888888889,-2.7527777777777778
Güeñes,Bizkaia,10.2 (23:59),2.7 (02:30),6.4,51 (23:40),26 (23:40),61.4,11.2,13.8,13.3,23.1,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,10.1 (21:40),5.6 (01:50),7.9,72 (12:30),37 (11:10),37.9,7.6,3.5,5,21.8,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,12.7 (23:30),7.0 (05:10),9.8,74 (11:40),46 (11:10),35.9,4.3,6.1,5.8,19.7,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,13.0 (23:00),6.9 (01:40),10,71 (09:50),41 (23:10),33,2.3,2.3,12.4,16,43.42388888888889,-3.8255555555555554
Santander,Cantabria,13.3 (23:50),7.5 (05:00),10.4,84 (03:50),56 (10:30),32.6,3,1,13,15.6,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,12.8 (23:10),6.3 (04:20),9.6,89 (03:00),56 (03:00),24.5,4.8,5.7,7.2,6.8,43.39333333333333,-4.392222222222222
Llanes,Asturias,12.8 (21:10),6.6 (08:20),9.7,75 (05:10),49 (03:10),24.2,3.4,9.6,5,6.2,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,12.7 (23:10),6.0 (06:20),9.3,56 (04:20),25 (03:30),22.6,3.2,6,8.2,5.2,43.52305555555555,-5.621111111111111
Cabo Peñas,Asturias,13.1 (22:50),7.8 (10:30),10.5,74 (22:50),46 (21:20),18,0.2,4.3,8.2,5.3,43.655833333333334,-5.8486111111111105
Asturias Aeropuerto,Asturias,12.1 (23:00),5.8 (08:00),9,71 (23:20),52 (23:20),16.9,0.7,5.9,4.5,5.8,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,9.2 (23:40),3.0 (00:40),6.1,44 (23:40),24 (23:50),17.6,2.2,5.2,5,5.2,43.35333333333333,-5.874166666666667
Cabo Busto,Asturias,12.8 (22:10),6.4 (05:10),9.6,95 (03:50),68 (02:10),12,3.4,3.6,3,2,43.56916666666667,-6.47
Castropol,Asturias,11.6 (22:10),4.4 (06:40),8,41 (04:00),16 (00:50),13.1,1,4.2,2,5.9,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,13.2 (20:20),7.7 (02:10),10.4,76 (20:30),57 (20:30),7,1.8,1.2,3.4,0.6,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,12.5 (17:00),8.5 (07:20),10.5,49 (01:00),30 (01:00),14,0,3.4,9.8,0.8,43.365833333333335,-8.421388888888888
Fisterra,A Coruña,11.3 (15:00),7.1 (05:30),9.2,64 (16:10),43 (16:20),2.2,0.4,0.4,1.4,0,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,9.7 (18:30),0.7 (04:20),5.2,35 (20:00),21 (20:00),5.2,0.2,0.9,3.7,0.4,42.88805555555555,-8.410555555555556
Padrón,A Coruña,9.7 (20:30),2.1 (08:30),5.9,17 (04:50),11 (04:50),3.7,0,0.3,3.2,0.2,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,10.1 (20:10),2.6 (04:00),6.4,18 (20:30),6 (16:00),0.8,0.1,0.2,0.3,0.2,42.876111111111115,-8.555833333333334
Pontevedra,Pontevedra,9.9 (22:50),2.1 (05:40),6,19 (07:00),13 (07:00),3.4,0,0,3,0.4,42.43833333333333,-8.615833333333333
Vigo Aeropuerto,Pontevedra,10.9 (21:20),1.6 (05:50),6.2,39 (21:10),23 (21:20),1.8,0,0,1.8,0,42.23861111111111,-8.623888888888889
Lugo Aeropuerto,Lugo,8.8 (22:50),0.3 (05:10),4.6,19 (00:40),9 (13:50),6,1.4,1,2.4,1.2,43.11138888888889,-7.4575000000000005
