España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,16.2 (15:50),6.3 (00:40),11.3,21 (02:40),14 (02:40),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,16.5 (11:20),8.5 (08:00),12.5,39 (17:20),26 (17:40),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,18.8 (15:50),5.2 (04:00),12,24 (17:30),12 (18:50),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,14.8 (12:10),9.0 (07:30),11.9,33 (13:00),24 (12:50),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,17.7 (11:30),7.9 (04:00),12.8,24 (15:40),12 (15:50),0,0,0,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,15.2 (13:10),5.8 (08:00),10.5,35 (15:40),24 (15:40),0,0,0,0,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,18.3 (14:40),3.1 (08:00),10.7,39 (15:40),31 (15:40),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,18.4 (15:00),4.2 (06:00),11.3,26 (13:40),15 (13:50),0,0,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,21.7 (15:50),6.4 (06:40),14.1,41 (23:59),27 (23:59),0,0,0,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,15.6 (14:00),5.7 (02:10),10.7,44 (13:10),14 (22:10),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,22.4 (15:10),7.8 (05:00),15.1,53 (22:30),27 (22:30),0.2,0,0,0.2,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,18.4 (14:00),5.1 (04:30),11.7,44 (13:10),19 (13:10),0.1,0,0.1,0,0,43.20944444444445,-2.413333333333333
Punta Galea,Bizkaia,20.1 (13:20),9.8 (01:40),15,39 (15:30),15 (14:50),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,17.2 (13:00),5.4 (07:50),11.3,54 (13:50),31 (12:20),0.1,0.1,0,0,0,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,20.4 (14:40),6.6 (04:10),13.5,55 (13:40),31 (13:40),0.2,0,0,0.2,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,20.2 (15:30),8.4 (06:40),14.3,45 (20:10),23 (20:10),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,20.7 (15:00),2.5 (07:40),11.6,55 (23:00),33 (21:30),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,20.3 (15:40),10.2 (07:30),15.2,57 (21:40),33 (23:50),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,17.5 (22:20),5.6 (08:30),11.5,35 (06:40),15 (01:50),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,16.4 (14:20),7.1 (07:40),11.7,19 (16:50),15 (16:50),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,16.3 (14:20),2.2 (08:20),9.2,18 (13:30),11 (13:50),0.4,0,0,0,0.4,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,17.4 (14:20),5.8 (07:30),11.6,30 (23:59),21 (07:40),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.9 (14:20),4.2 (08:30),11,26 (13:50),14 (17:40),0.2,0,0,0,0.2,43.35333333333333,-5.874166666666667
Castropol,Asturias,18.8 (16:10),6.0 (08:20),12.4,50 (16:40),21 (16:40),0.3,0,0,0,0.3,43.52472222222222,-7.0313888888888885
A Coruña,A Coruña,16.9 (16:10),9.7 (07:40),13.3,55 (13:20),27 (14:30),4.2,0,0,0,4.2,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,15.2 (15:50),11.1 (08:20),13.2,75 (23:59),51 (23:59),2,0,0,0.9,1.1,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,13.0 (15:50),9.7 (08:30),11.3,74 (15:50),55 (23:59),9,0,0,7.4,1.6,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,13.5 (13:40),5.6 (07:40),9.5,65 (19:00),36 (19:00),12.1,0,0,5.4,6.7,42.88805555555555,-8.410555555555556
Padrón,A Coruña,14.4 (14:40),7.5 (06:30),10.9,48 (18:40),20 (14:40),10.6,0,0,4.5,6.1,42.73833333333334,-8.627222222222223
